"Espoon väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"049 13 Kilo-Karakallio","Suomi ja saame","Väestö yhteensä",11286,11359,11432,11338,11288,11145,11040,10830
"049 13 Kilo-Karakallio","Ruotsi","Väestö yhteensä",757,757,784,758,744,760,734,709
"049 13 Kilo-Karakallio","Muu kieli","Väestö yhteensä",2624,2898,3236,3476,3657,3953,4229,4357
"049 131 Nuijala","Kaikki äidinkielet","Väestö yhteensä",6260,6454,6800,6920,6920,6895,6960,6837
"049 131 Nuijala","Suomi ja saame","Väestö yhteensä",4894,4942,5132,5136,5059,4945,4914,4793
"049 131 Nuijala","Ruotsi","Väestö yhteensä",270,264,262,265,249,251,239,231
"049 131 Nuijala","Muu kieli","Väestö yhteensä",1096,1248,1406,1519,1612,1699,1807,1813
"049 132 Kuninkainen","Kaikki äidinkielet","Väestö yhteensä",2860,3009,3095,3157,3276,3538,3594,3642
"049 132 Kuninkainen","Suomi ja saame","Väestö yhteensä",2031,2117,2081,2063,2133,2233,2233,2229
"049 132 Kuninkainen","Ruotsi","Väestö yhteensä",201,216,240,233,239,261,253,244
"049 132 Kuninkainen","Muu kieli","Väestö yhteensä",628,676,774,861,904,1044,1108,1169
"049 133 Karakallio","Kaikki äidinkielet","Väestö yhteensä",5547,5551,5557,5495,5493,5425,5449,5417
"049 133 Karakallio","Suomi ja saame","Väestö yhteensä",4361,4300,4219,4139,4096,3967,3893,3808
"049 133 Karakallio","Ruotsi","Väestö yhteensä",286,277,282,260,256,248,242,234
"049 133 Karakallio","Muu kieli","Väestö yhteensä",900,974,1056,1096,1141,1210,1314,1375
"049 14 Laaksolahti","Kaikki äidinkielet","Väestö yhteensä",10559,10801,10989,11093,11163,11240,11286,11222
"049 14 Laaksolahti","Suomi ja saame","Väestö yhteensä",9344,9581,9678,9731,9749,9718,9691,9568
"049 14 Laaksolahti","Ruotsi","Väestö yhteensä",767,756,760,747,736,713,717,702
"049 14 Laaksolahti","Muu kieli","Väestö yhteensä",448,464,551,615,678,809,878,952
"049 141 Veininlaakso","Kaikki äidinkielet","Väestö yhteensä",3704,3748,3905,3977,4000,4047,4051,4059
"049 141 Veininlaakso","Suomi ja saame","Väestö yhteensä",3269,3315,3422,3477,3500,3521,3503,3467
"049 141 Veininlaakso","Ruotsi","Väestö yhteensä",274,274,276,278,279,262,248,243
"049 141 Veininlaakso","Muu kieli","Väestö yhteensä",161,159,207,222,221,264,300,349
"049 142 Lähderanta","Kaikki äidinkielet","Väestö yhteensä",1522,1733,1781,1766,1766,1759,1757,1722
"049 142 Lähderanta","Suomi ja saame","Väestö yhteensä",1232,1430,1461,1438,1433,1401,1389,1356
