"Vantaan väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"092 22 Keimola","Kaikki äidinkielet","Väestö yhteensä",162,185,183,903,1011,1200,1522,1649
"092 22 Keimola","Suomi ja saame","Väestö yhteensä",129,144,142,752,834,980,1190,1212
"092 22 Keimola","Ruotsi","Väestö yhteensä",26,28,26,42,42,34,40,38
"092 22 Keimola","Muu kieli","Väestö yhteensä",7,13,15,109,135,186,292,399
"092 23 Kivistö","Kaikki äidinkielet","Väestö yhteensä",3452,3711,4960,5894,6549,7505,8909,10368
"092 23 Kivistö","Suomi ja saame","Väestö yhteensä",3235,3477,4583,5366,5926,6714,7700,8633
"092 23 Kivistö","Ruotsi","Väestö yhteensä",112,119,134,145,148,171,194,224
"092 23 Kivistö","Muu kieli","Väestö yhteensä",105,115,243,383,475,620,1015,1511
"092 24 Lapinkylä","Kaikki äidinkielet","Väestö yhteensä",1174,1212,1215,1220,1291,1343,1353,1359
"092 24 Lapinkylä","Suomi ja saame","Väestö yhteensä",1076,1106,1101,1103,1160,1211,1219,1226
"092 24 Lapinkylä","Ruotsi","Väestö yhteensä",41,39,43,44,44,39,43,44
"092 24 Lapinkylä","Muu kieli","Väestö yhteensä",57,67,71,73,87,93,91,89
"092 25 Myllymäki","Kaikki äidinkielet","Väestö yhteensä",281,284,280,270,282,260,255,246
"092 25 Myllymäki","Suomi ja saame","Väestö yhteensä",260,257,255,244,255,238,229,212
"092 25 Myllymäki","Ruotsi","Väestö yhteensä",12,16,12,13,12,10,10,10
"092 25 Myllymäki","Muu kieli","Väestö yhteensä",9,11,13,13,15,12,16,24
"092 30 Vestra","Kaikki äidinkielet","Väestö yhteensä",378,367,354,353,349,343,341,343
"092 30 Vestra","Suomi ja saame","Väestö yhteensä",321,311,308,304,300,296,294,296
"092 30 Vestra","Ruotsi","Väestö yhteensä",44,41,34,32,31,31,32,29
"092 30 Vestra","Muu kieli","Väestö yhteensä",13,15,12,17,18,16,15,18
"092 31 Luhtaanmäki","Kaikki äidinkielet","Väestö yhteensä",283,291,288,295,292,286,279,276
"092 31 Luhtaanmäki","Suomi ja saame","Väestö yhteensä",240,248,246,251,243,239,237,230
"092 31 Luhtaanmäki","Ruotsi","Väestö yhteensä",39,37,33,34,33,33,30,29
"092 31 Luhtaanmäki","Muu kieli","Väestö yhteensä",4,6,9,10,16,14,12,17
"092 32 Riipilä","Kaikki äidinkielet","Väestö yhteensä",679,701,705,690,698,692,694,689
"092 32 Riipilä","Suomi ja saame","Väestö yhteensä",626,648,651,630,628,610,604,605
"092 32 Riipilä","Ruotsi","Väestö yhteensä",26,24,23,26,28,29,27,29
"092 32 Riipilä","Muu kieli","Väestö yhteensä",27,29,31,34,42,53,63,55
"092 33 Seutula","Kaikki äidinkielet","Väestö yhteensä",872,900,878,880,847,822,799,777
"092 33 Seutula","Suomi ja saame","Väestö yhteensä",756,780,741,728,689,662,649,638
"092 33 Seutula","Ruotsi","Väestö yhteensä",52,49,49,46,44,44,44,41
"092 33 Seutula","Muu kieli","Väestö yhteensä",64,71,88,106,114,116,106,98
"092 34 Kiila","Kaikki äidinkielet","Väestö yhteensä",426,422,406,414,425,408,400,389
"092 34 Kiila","Suomi ja saame","Väestö yhteensä",375,365,346,349,357,336,326,314
"092 34 Kiila","Ruotsi","Väestö yhteensä",28,30,30,30,29,28,26,28
"092 34 Kiila","Muu kieli","Väestö yhteensä",23,27,30,35,39,44,48,47
"092 3 Aviapoliksen suuralue","Kaikki äidinkielet","Väestö yhteensä",18327,18849,18829,19055,19143,19382,19883,20023
"092 3 Aviapoliksen suuralue","Suomi ja saame","Väestö yhteensä",15815,16070,15923,15889,15863,15953,16157,16117
"092 3 Aviapoliksen suuralue","Ruotsi","Väestö yhteensä",565,534,518,522,535,513,536,534
"092 3 Aviapoliksen suuralue","Muu kieli","Väestö yhteensä",1947,2245,2388,2644,2745,2916,3190,3372
"092 40 Ylästö","Kaikki äidinkielet","Väestö yhteensä",4799,4759,4753,4777,4915,4948,5106,5117
"092 40 Ylästö","Suomi ja saame","Väestö yhteensä",4345,4311,4280,4285,4390,4396,4525,4542
"092 40 Ylästö","Ruotsi","Väestö yhteensä",241,228,233,238,239,227,234,232
"092 40 Ylästö","Muu kieli","Väestö yhteensä",213,220,240,254,286,325,347,343
"092 41 Viinikkala","Kaikki äidinkielet","Väestö yhteensä",87,79,71,72,71,73,67,73
"092 41 Viinikkala","Suomi ja saame","Väestö yhteensä",67,62,56,55,51,54,49,49
"092 41 Viinikkala","Ruotsi","Väestö yhteensä",11,9,8,10,10,11,11,10
"092 41 Viinikkala","Muu kieli","Väestö yhteensä",9,8,7,7,10,8,7,14
"092 50 Tammisto","Kaikki äidinkielet","Väestö yhteensä",3392,3456,3458,3469,3453,3474,3440,3446
"092 50 Tammisto","Suomi ja saame","Väestö yhteensä",2983,3019,3027,2997,2964,2988,2950,2968
"092 50 Tammisto","Ruotsi","Väestö yhteensä",92,86,83,76,75,76,70,73
"092 50 Tammisto","Muu kieli","Väestö yhteensä",317,351,348,396,414,410,420,405
"092 51 Pakkala","Kaikki äidinkielet","Väestö yhteensä",9509,9981,10013,10243,10275,10249,10402,10299
"092 51 Pakkala","Suomi ja saame","Väestö yhteensä",8012,8272,8196,8263,8206,8122,8105,7910
"092 51 Pakkala","Ruotsi","Väestö yhteensä",209,200,183,190,201,184,204,196
