"Helsingin väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"091 103 Kampinmalmin peruspiiri","Kaikki äidinkielet","Väestö yhteensä",33006,34625,35414,36820,39617,40934,41714,43220
"091 103 Kampinmalmin peruspiiri","Suomi ja saame","Väestö yhteensä",26787,28045,28509,29454,31557,32500,32808,33687
"091 103 Kampinmalmin peruspiiri","Ruotsi","Väestö yhteensä",3068,3129,3200,3388,3582,3642,3720,3811
"091 103 Kampinmalmin peruspiiri","Muu kieli","Väestö yhteensä",3151,3451,3705,3978,4478,4792,5186,5722
"091 40 Kamppi","Kaikki äidinkielet","Väestö yhteensä",11395,11545,11709,12016,12228,12287,12258,12405
"091 40 Kamppi","Suomi ja saame","Väestö yhteensä",9192,9203,9281,9533,9646,9687,9540,9630
"091 40 Kamppi","Ruotsi","Väestö yhteensä",1034,1057,1080,1097,1122,1114,1143,1138
"091 40 Kamppi","Muu kieli","Väestö yhteensä",1169,1285,1348,1386,1460,1486,1575,1637
"091 130 Etu-Töölö","Kaikki äidinkielet","Väestö yhteensä",14124,14203,14559,14750,14992,15152,15075,14960
"091 130 Etu-Töölö","Suomi ja saame","Väestö yhteensä",11490,11617,11871,12036,12216,12390,12300,12172
"091 130 Etu-Töölö","Ruotsi","Väestö yhteensä",1676,1630,1671,1623,1611,1612,1613,1584
"091 130 Etu-Töölö","Muu kieli","Väestö yhteensä",958,956,1017,1091,1165,1150,1162,1204
"091 201 Ruoholahti","Kaikki äidinkielet","Väestö yhteensä",3026,3003,3051,2987,3029,3020,2964,2934
"091 201 Ruoholahti","Suomi ja saame","Väestö yhteensä",2416,2405,2399,2318,2322,2290,2192,2129
"091 201 Ruoholahti","Ruotsi","Väestö yhteensä",120,112,115,118,128,124,138,136
"091 201 Ruoholahti","Muu kieli","Väestö yhteensä",490,486,537,551,579,606,634,669
"091 202 Lapinlahti","Kaikki äidinkielet","Väestö yhteensä",28,29,28,28,26,26,26,25
"091 202 Lapinlahti","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 202 Lapinlahti","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 202 Lapinlahti","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"091 203 Jätkäsaari","Kaikki äidinkielet","Väestö yhteensä",4433,5845,6067,7039,9342,10449,11391,12896
"091 203 Jätkäsaari","Suomi ja saame","Väestö yhteensä",3665,4796,4935,5544,7351,8111,8754,9735
"091 203 Jätkäsaari","Ruotsi","Väestö yhteensä",237,328,332,548,719,790,824,951
"091 203 Jätkäsaari","Muu kieli","Väestö yhteensä",531,721,800,947,1272,1548,1813,2210
"091 104 Taka-Töölön peruspiiri","Kaikki äidinkielet","Väestö yhteensä",15048,14965,15244,15487,15492,15548,15734,15478
"091 104 Taka-Töölön peruspiiri","Suomi ja saame","Väestö yhteensä",12458,12469,12677,12833,12809,12851,12921,12755
"091 104 Taka-Töölön peruspiiri","Ruotsi","Väestö yhteensä",1578,1474,1494,1524,1497,1486,1533,1526
"091 104 Taka-Töölön peruspiiri","Muu kieli","Väestö yhteensä",1012,1022,1073,1130,1186,1211,1280,1197
"091 140 Taka-Töölö","Kaikki äidinkielet","Väestö yhteensä",15048,14965,15244,15487,15492,15548,15734,15478
"091 140 Taka-Töölö","Suomi ja saame","Väestö yhteensä",12458,12469,12677,12833,12809,12851,12921,12755
"091 140 Taka-Töölö","Ruotsi","Väestö yhteensä",1578,1474,1494,1524,1497,1486,1533,1526
"091 140 Taka-Töölö","Muu kieli","Väestö yhteensä",1012,1022,1073,1130,1186,1211,1280,1197
"091 105 Lauttasaaren peruspiiri","Kaikki äidinkielet","Väestö yhteensä",21932,22306,22617,23226,24197,24326,24467,24822
"091 105 Lauttasaaren peruspiiri","Suomi ja saame","Väestö yhteensä",17388,17627,17821,18331,19176,19218,19330,19610
"091 105 Lauttasaaren peruspiiri","Ruotsi","Väestö yhteensä",3053,3125,3188,3209,3272,3312,3327,3356
"091 105 Lauttasaaren peruspiiri","Muu kieli","Väestö yhteensä",1491,1554,1608,1686,1749,1796,1810,1856
"091 310 Lauttasaari (Ent.)","Kaikki äidinkielet","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 310 Lauttasaari (Ent.)","Suomi ja saame","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 310 Lauttasaari (Ent.)","Ruotsi","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 310 Lauttasaari (Ent.)","Muu kieli","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 311 Kotkavuori","Kaikki äidinkielet","Väestö yhteensä",7854,7946,7960,8117,8506,8550,8528,8454
"091 311 Kotkavuori","Suomi ja saame","Väestö yhteensä",6189,6253,6253,6423,6798,6801,6797,6735
"091 311 Kotkavuori","Ruotsi","Väestö yhteensä",1083,1078,1106,1069,1107,1132,1121,1124
"091 311 Kotkavuori","Muu kieli","Väestö yhteensä",582,615,601,625,601,617,610,595
"091 312 Vattuniemi","Kaikki äidinkielet","Väestö yhteensä",7118,7398,7696,8043,8411,8509,8563,8817
"091 312 Vattuniemi","Suomi ja saame","Väestö yhteensä",5900,6076,6261,6498,6793,6830,6834,7012
"091 312 Vattuniemi","Ruotsi","Väestö yhteensä",802,884,932,1010,1041,1056,1065,1098
"091 312 Vattuniemi","Muu kieli","Väestö yhteensä",416,438,503,535,577,623,664,707
"091 313 Myllykallio","Kaikki äidinkielet","Väestö yhteensä",6960,6962,6961,7066,7280,7267,7376,7551
"091 313 Myllykallio","Suomi ja saame","Väestö yhteensä",5299,5298,5307,5410,5585,5587,5699,5863
"091 313 Myllykallio","Ruotsi","Väestö yhteensä",1168,1163,1150,1130,1124,1124,1141,1134
"091 313 Myllykallio","Muu kieli","Väestö yhteensä",493,501,504,526,571,556,536,554
"091 314 Koivusaari","Kaikki äidinkielet","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 314 Koivusaari","Suomi ja saame","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 314 Koivusaari","Ruotsi","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 314 Koivusaari","Muu kieli","Väestö yhteensä",0,0,0,0,0,0,0,0
"091 2 Läntinen suurpiiri","Kaikki äidinkielet","Väestö yhteensä",104955,106287,107085,108318,109306,110438,111890,111929
"091 2 Läntinen suurpiiri","Suomi ja saame","Väestö yhteensä",86033,86411,86430,86451,86531,86807,87604,87268
"091 2 Läntinen suurpiiri","Ruotsi","Väestö yhteensä",6724,6697,6671,6655,6584,6658,6630,6632
"091 2 Läntinen suurpiiri","Muu kieli","Väestö yhteensä",12198,13179,13984,15212,16191,16973,17656,18029
"091 201 Reijolan peruspiiri","Kaikki äidinkielet","Väestö yhteensä",16982,17208,17405,17406,17401,17486,17540,17101
"091 201 Reijolan peruspiiri","Suomi ja saame","Väestö yhteensä",14148,14141,14247,14133,14143,14108,14173,13821
"091 201 Reijolan peruspiiri","Ruotsi","Väestö yhteensä",1277,1264,1279,1279,1230,1307,1297,1271
"091 201 Reijolan peruspiiri","Muu kieli","Väestö yhteensä",1557,1803,1879,1994,2028,2071,2070,2009
"091 150 Meilahti","Kaikki äidinkielet","Väestö yhteensä",5023,5062,5091,5109,5111,5146,5198,5142
"091 150 Meilahti","Suomi ja saame","Väestö yhteensä",4267,4273,4327,4311,4326,4358,4436,4384
"091 150 Meilahti","Ruotsi","Väestö yhteensä",462,447,440,445,435,431,431,421
"091 150 Meilahti","Muu kieli","Väestö yhteensä",294,342,324,353,350,357,331,337
"091 160 Ruskeasuo (Ent.)","Kaikki äidinkielet","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 160 Ruskeasuo (Ent.)","Suomi ja saame","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 160 Ruskeasuo (Ent.)","Ruotsi","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 160 Ruskeasuo (Ent.)","Muu kieli","Väestö yhteensä",.,.,.,.,.,.,.,.
"091 161 Vanha Ruskeasuo","Kaikki äidinkielet","Väestö yhteensä",2803,2911,3000,2967,2963,2990,2992,2908
"091 161 Vanha Ruskeasuo","Suomi ja saame","Väestö yhteensä",2332,2400,2452,2406,2410,2449,2438,2394
"091 161 Vanha Ruskeasuo","Ruotsi","Väestö yhteensä",262,269,293,291,284,286,295,268
"091 161 Vanha Ruskeasuo","Muu kieli","Väestö yhteensä",209,242,255,270,269,255,259,246
"091 162 Pikku Huopalahti","Kaikki äidinkielet","Väestö yhteensä",7270,7319,7373,7342,7341,7290,7260,7023
"091 162 Pikku Huopalahti","Suomi ja saame","Väestö yhteensä",5950,5862,5836,5742,5733,5647,5632,5428
"091 162 Pikku Huopalahti","Ruotsi","Väestö yhteensä",403,391,394,392,370,369,346,344
"091 162 Pikku Huopalahti","Muu kieli","Väestö yhteensä",917,1066,1143,1208,1238,1274,1282,1251
"091 180 Laakso","Kaikki äidinkielet","Väestö yhteensä",1886,1916,1941,1988,1986,2060,2090,2028
"091 180 Laakso","Suomi ja saame","Väestö yhteensä",1599,1606,1632,1674,1674,1654,1667,1615
"091 180 Laakso","Ruotsi","Väestö yhteensä",150,157,152,151,141,221,225,238
