municipal,district,name_population,Year,all,finnish_sami,other,swedish,5874358,5878088,5911249,5934892,5934906,5952975,5958354,5961860,5961890,5961894,5968821,5975374,5978639,5980222,5980260,name_district,non_official_lang_percentage,time_to_fastest_cbd,id
49,115,Lintulaakso,2014,1157.0,1013.0,92.0,52.0,24,42,30,4,19,27,45,21,39,46,40,32,41,41,42,Lintulaakso,0.07951598962834917,4,049115
49,115,Lintulaakso,2015,1167.0,1023.0,94.0,50.0,25,42,37,9,22,29,47,21,36,42,40,36,44,35,43,Lintulaakso,0.0805484147386461,9,049115
49,115,Lintulaakso,2016,1146.0,1004.0,94.0,48.0,25,42,37,9,22,29,47,21,36,42,40,36,44,35,43,Lintulaakso,0.08202443280977312,9,049115
49,115,Lintulaakso,2017,1117.0,993.0,81.0,43.0,25,42,37,9,22,29,47,21,36,42,40,36,44,35,43,Lintulaakso,0.07251566696508505,9,049115
49,115,Lintulaakso,2018,1094.0,979.0,73.0,42.0,49,39,30,8,22,27,49,26,38,44,40,35,43,42,40,Lintulaakso,0.06672760511882998,8,049115
49,115,Lintulaakso,2019,1102.0,994.0,66.0,42.0,49,39,30,8,22,27,49,26,38,44,40,35,43,42,40,Lintulaakso,0.05989110707803993,8,049115
49,115,Lintulaakso,2020,1097.0,986.0,67.0,44.0,49,39,30,8,22,27,49,26,38,44,40,35,43,42,40,Lintulaakso,0.061075660893345485,8,049115
49,116,Uusmäki,2013,1108.0,958.0,87.0,63.0,30,44,35,15,15,27,43,28,39,43,41,32,40,47,41,Uusmäki,0.07851985559566788,15,049116
49,116,Uusmäki,2014,1394.0,1232.0,95.0,67.0,30,44,35,15,15,27,43,28,39,43,41,32,40,47,41,Uusmäki,0.06814921090387374,15,049116
49,116,Uusmäki,2015,1699.0,1485.0,134.0,80.0,31,40,37,15,17,27,46,26,42,44,41,32,40,41,44,Uusmäki,0.0788699234844026,15,049116
49,116,Uusmäki,2016,2024.0,1775.0,169.0,80.0,31,40,37,15,17,27,46,26,42,44,41,32,40,41,44,Uusmäki,0.08349802371541502,15,049116
49,116,Uusmäki,2017,2228.0,1934.0,205.0,89.0,31,40,37,15,17,27,46,26,42,44,41,32,40,41,44,Uusmäki,0.09201077199281867,15,049116
49,116,Uusmäki,2018,2389.0,2048.0,239.0,102.0,47,41,39,14,16,28,50,31,43,45,41,33,41,48,43,Uusmäki,0.10004185851820846,14,049116
49,116,Uusmäki,2019,2761.0,2329.0,319.0,113.0,47,41,39,14,16,28,50,31,43,45,41,33,41,48,43,Uusmäki,0.11553784860557768,14,049116
49,116,Uusmäki,2020,2898.0,2403.0,373.0,122.0,47,41,39,14,16,28,50,31,43,45,41,33,41,48,43,Uusmäki,0.12870945479641133,14,049116
49,117,Lintumetsä,2013,2451.0,2096.0,282.0,73.0,42,45,39,14,20,32,50,23,45,51,46,37,45,47,45,Lintumetsä,0.11505507955936352,14,049117
49,117,Lintumetsä,2014,2534.0,2152.0,318.0,64.0,42,45,39,14,20,32,50,23,45,51,46,37,45,47,45,Lintumetsä,0.1254932912391476,14,049117
49,117,Lintumetsä,2015,2592.0,2181.0,349.0,62.0,44,42,40,12,22,29,50,21,46,48,45,37,45,44,43,Lintumetsä,0.13464506172839505,12,049117
49,117,Lintumetsä,2016,2606.0,2146.0,390.0,70.0,44,42,40,12,22,29,50,21,46,48,45,37,45,44,43,Lintumetsä,0.1496546431312356,12,049117
49,117,Lintumetsä,2017,2662.0,2186.0,411.0,65.0,44,42,40,12,22,29,50,21,46,48,45,37,45,44,43,Lintumetsä,0.15439519158527423,12,049117
49,117,Lintumetsä,2018,2660.0,2198.0,394.0,68.0,51,47,45,13,22,35,55,26,48,50,47,39,47,44,40,Lintumetsä,0.1481203007518797,13,049117
49,117,Lintumetsä,2019,2765.0,2269.0,423.0,73.0,51,47,45,13,22,35,55,26,48,50,47,39,47,44,40,Lintumetsä,0.15298372513562386,13,049117
49,117,Lintumetsä,2020,2832.0,2293.0,463.0,76.0,51,47,45,13,22,35,55,26,48,50,47,39,47,44,40,Lintumetsä,0.16348870056497175,13,049117
49,118,Perkkaa,2013,3731.0,2821.0,789.0,121.0,22,30,30,6,9,16,35,12,30,36,31,23,32,32,31,Perkkaa,0.2114714553738944,6,049118
49,118,Perkkaa,2014,3812.0,2809.0,892.0,111.0,22,30,30,6,9,16,35,12,30,36,31,23,32,32,31,Perkkaa,0.23399790136411333,6,049118
49,118,Perkkaa,2015,3771.0,2730.0,933.0,108.0,21,29,27,6,10,16,37,13,33,35,30,24,32,27,31,Perkkaa,0.24741447891805887,6,049118
49,118,Perkkaa,2016,3836.0,2668.0,1065.0,103.0,21,29,27,6,10,16,37,13,33,35,30,24,32,27,31,Perkkaa,0.27763295099061525,6,049118
49,118,Perkkaa,2017,3810.0,2628.0,1093.0,89.0,21,29,27,6,10,16,37,13,33,35,30,24,32,27,31,Perkkaa,0.2868766404199475,6,049118
49,118,Perkkaa,2018,4438.0,3072.0,1264.0,102.0,44,28,27,6,10,16,40,17,34,36,32,24,32,31,31,Perkkaa,0.28481297881928797,6,049118
49,118,Perkkaa,2019,5749.0,3970.0,1620.0,159.0,44,28,27,6,10,16,40,17,34,36,32,24,32,31,31,Perkkaa,0.28178813706731604,6,049118
49,118,Perkkaa,2020,6852.0,4658.0,2031.0,163.0,44,28,27,6,10,16,40,17,34,36,32,24,32,31,31,Perkkaa,0.29640980735551664,6,049118
49,131,Nuijala,2013,6260.0,4894.0,1096.0,270.0,32,30,31,8,24,18,39,24,34,36,33,25,33,21,28,Nuijala,0.17507987220447285,8,049131
49,131,Nuijala,2014,6454.0,4942.0,1248.0,264.0,32,30,31,8,24,18,39,24,34,36,33,25,33,21,28,Nuijala,0.1933684536721413,8,049131
49,131,Nuijala,2015,6800.0,5132.0,1406.0,262.0,31,30,28,7,23,17,38,24,34,36,33,25,33,19,29,Nuijala,0.20676470588235293,7,049131
49,131,Nuijala,2016,6920.0,5136.0,1519.0,265.0,31,30,28,7,23,17,38,24,34,36,33,25,33,19,29,Nuijala,0.2195086705202312,7,049131
49,131,Nuijala,2017,6920.0,5059.0,1612.0,249.0,31,30,28,7,23,17,38,24,34,36,33,25,33,19,29,Nuijala,0.2329479768786127,7,049131
49,131,Nuijala,2018,6895.0,4945.0,1699.0,251.0,46,32,27,7,25,17,42,29,36,37,35,25,33,20,36,Nuijala,0.24641044234952864,7,049131
49,131,Nuijala,2019,6960.0,4914.0,1807.0,239.0,46,32,27,7,25,17,42,29,36,37,35,25,33,20,36,Nuijala,0.2596264367816092,7,049131
49,131,Nuijala,2020,6837.0,4793.0,1813.0,231.0,46,32,27,7,25,17,42,29,36,37,35,25,33,20,36,Nuijala,0.2651747842621033,7,049131
49,132,Kuninkainen,2013,2860.0,2031.0,628.0,201.0,37,30,31,8,23,18,39,24,34,36,33,25,33,24,34,Kuninkainen,0.21958041958041957,8,049132
49,132,Kuninkainen,2014,3009.0,2117.0,676.0,216.0,37,30,31,8,23,18,39,24,34,36,33,25,33,24,34,Kuninkainen,0.22465935526753075,8,049132
49,132,Kuninkainen,2015,3095.0,2081.0,774.0,240.0,32,30,28,7,17,17,38,22,34,36,33,25,33,25,35,Kuninkainen,0.25008077544426494,7,049132
49,132,Kuninkainen,2016,3157.0,2063.0,861.0,233.0,32,30,28,7,17,17,38,22,34,36,33,25,33,25,35,Kuninkainen,0.2727272727272727,7,049132
49,132,Kuninkainen,2017,3276.0,2133.0,904.0,239.0,32,30,28,7,17,17,38,22,34,36,33,25,33,25,35,Kuninkainen,0.27594627594627597,7,049132
49,132,Kuninkainen,2018,3538.0,2233.0,1044.0,261.0,46,32,27,7,24,17,42,28,36,37,35,25,33,26,36,Kuninkainen,0.29508196721311475,7,049132
49,132,Kuninkainen,2019,3594.0,2233.0,1108.0,253.0,46,32,27,7,24,17,42,28,36,37,35,25,33,26,36,Kuninkainen,0.3082915971062883,7,049132
49,132,Kuninkainen,2020,3642.0,2229.0,1169.0,244.0,46,32,27,7,24,17,42,28,36,37,35,25,33,26,36,Kuninkainen,0.3209774848984075,7,049132
49,133,Karakallio,2013,5547.0,4361.0,900.0,286.0,37,38,39,11,23,25,49,24,42,44,41,33,41,25,37,Karakallio,0.16224986479177933,11,049133
49,133,Karakallio,2014,5551.0,4300.0,974.0,277.0,37,38,39,11,23,25,49,24,42,44,41,33,41,25,37,Karakallio,0.17546388038191316,11,049133
49,133,Karakallio,2015,5557.0,4219.0,1056.0,282.0,36,39,35,9,17,24,45,22,41,43,40,32,40,27,38,Karakallio,0.190030592046068,9,049133
49,133,Karakallio,2016,5495.0,4139.0,1096.0,260.0,36,39,35,9,17,24,45,22,41,43,40,32,40,27,38,Karakallio,0.1994540491355778,9,049133
49,133,Karakallio,2017,5493.0,4096.0,1141.0,256.0,36,39,35,9,17,24,45,22,41,43,40,32,40,27,38,Karakallio,0.20771891498270526,9,049133
49,133,Karakallio,2018,5425.0,3967.0,1210.0,248.0,58,41,36,10,24,26,51,28,45,46,44,34,42,28,43,Karakallio,0.22304147465437787,10,049133
49,133,Karakallio,2019,5449.0,3893.0,1314.0,242.0,58,41,36,10,24,26,51,28,45,46,44,34,42,28,43,Karakallio,0.24114516425032115,10,049133
49,133,Karakallio,2020,5417.0,3808.0,1375.0,234.0,58,41,36,10,24,26,51,28,45,46,44,34,42,28,43,Karakallio,0.2538305335056304,10,049133
49,141,Veininlaakso,2013,3704.0,3269.0,161.0,274.0,50,47,49,15,24,33,53,29,48,53,50,40,48,32,45,Veininlaakso,0.043466522678185744,15,049141
49,141,Veininlaakso,2014,3748.0,3315.0,159.0,274.0,50,47,49,15,24,33,53,29,48,53,50,40,48,32,45,Veininlaakso,0.042422625400213444,15,049141
49,141,Veininlaakso,2015,3905.0,3422.0,207.0,276.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,42,Veininlaakso,0.0530089628681178,13,049141
49,141,Veininlaakso,2016,3977.0,3477.0,222.0,278.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,42,Veininlaakso,0.05582097058083983,13,049141
49,141,Veininlaakso,2017,4000.0,3500.0,221.0,279.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,42,Veininlaakso,0.05525,13,049141
49,141,Veininlaakso,2018,4047.0,3521.0,264.0,262.0,58,49,44,14,26,34,58,37,52,54,51,42,50,39,49,Veininlaakso,0.06523350630096368,14,049141
49,141,Veininlaakso,2019,4051.0,3503.0,300.0,248.0,58,49,44,14,26,34,58,37,52,54,51,42,50,39,49,Veininlaakso,0.0740557886941496,14,049141
49,141,Veininlaakso,2020,4059.0,3467.0,349.0,243.0,58,49,44,14,26,34,58,37,52,54,51,42,50,39,49,Veininlaakso,0.08598176890859818,14,049141
49,142,Lähderanta,2013,1522.0,1232.0,109.0,181.0,51,53,54,20,24,40,55,35,50,55,50,41,50,33,45,Lähderanta,0.07161629434954007,20,049142
49,142,Lähderanta,2014,1733.0,1430.0,126.0,177.0,51,53,54,20,24,40,55,35,50,55,50,41,50,33,45,Lähderanta,0.0727062896710906,20,049142
49,142,Lähderanta,2015,1781.0,1461.0,136.0,184.0,49,53,47,20,28,36,58,34,54,56,53,45,53,44,42,Lähderanta,0.0763615946097698,20,049142
49,142,Lähderanta,2016,1766.0,1438.0,160.0,168.0,49,53,47,20,28,36,58,34,54,56,53,45,53,44,42,Lähderanta,0.09060022650056625,20,049142
49,142,Lähderanta,2017,1766.0,1433.0,172.0,161.0,49,53,47,20,28,36,58,34,54,56,53,45,53,44,42,Lähderanta,0.09739524348810873,20,049142
49,142,Lähderanta,2018,1759.0,1401.0,201.0,157.0,58,52,50,20,26,40,64,37,57,59,57,45,54,42,50,Lähderanta,0.11426947129050596,20,049142
49,142,Lähderanta,2019,1757.0,1389.0,207.0,161.0,58,52,50,20,26,40,64,37,57,59,57,45,54,42,50,Lähderanta,0.11781445645987479,20,049142
49,142,Lähderanta,2020,1722.0,1356.0,216.0,150.0,58,52,50,20,26,40,64,37,57,59,57,45,54,42,50,Lähderanta,0.1254355400696864,20,049142
49,143,Jupperi,2013,5333.0,4843.0,178.0,312.0,49,47,49,15,21,33,51,32,46,51,46,38,46,35,48,Jupperi,0.033377086067879244,15,049143
49,143,Jupperi,2014,5320.0,4836.0,179.0,305.0,49,47,49,15,21,33,51,32,46,51,46,38,46,35,48,Jupperi,0.03364661654135338,15,049143
49,143,Jupperi,2015,5303.0,4795.0,208.0,300.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,46,Jupperi,0.03922308127475014,13,049143
49,143,Jupperi,2016,5350.0,4816.0,233.0,301.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,46,Jupperi,0.04355140186915888,13,049143
49,143,Jupperi,2017,5397.0,4816.0,285.0,296.0,39,48,39,13,21,28,48,27,44,47,43,36,44,39,46,Jupperi,0.0528071150639244,13,049143
49,143,Jupperi,2018,5434.0,4796.0,344.0,294.0,55,49,44,14,23,34,58,37,52,54,50,42,50,39,51,Jupperi,0.06330511593669488,14,049143
49,143,Jupperi,2019,5478.0,4799.0,371.0,308.0,55,49,44,14,23,34,58,37,52,54,50,42,50,39,51,Jupperi,0.06772544724351953,14,049143
49,143,Jupperi,2020,5441.0,4745.0,387.0,309.0,55,49,44,14,23,34,58,37,52,54,50,42,50,39,51,Jupperi,0.07112663113398272,14,049143
49,151,Viherlaakso,2013,5029.0,4076.0,484.0,469.0,39,36,37,14,26,23,46,27,39,42,38,31,39,28,40,Viherlaakso,0.09624179757407039,14,049151
49,151,Viherlaakso,2014,5148.0,4103.0,589.0,456.0,39,36,37,14,26,23,46,27,39,42,38,31,39,28,40,Viherlaakso,0.11441336441336442,14,049151
49,151,Viherlaakso,2015,5120.0,4077.0,598.0,445.0,37,36,34,12,22,23,43,24,39,42,38,31,39,27,37,Viherlaakso,0.116796875,12,049151
49,151,Viherlaakso,2016,5088.0,4032.0,623.0,433.0,37,36,34,12,22,23,43,24,39,42,38,31,39,27,37,Viherlaakso,0.12244496855345911,12,049151
49,151,Viherlaakso,2017,5061.0,3987.0,652.0,422.0,37,36,34,12,22,23,43,24,39,42,38,31,39,27,37,Viherlaakso,0.12882829480339852,12,049151
49,151,Viherlaakso,2018,4973.0,3861.0,695.0,417.0,51,38,33,12,26,23,47,29,41,43,40,31,39,28,38,Viherlaakso,0.13975467524633017,12,049151
49,151,Viherlaakso,2019,4926.0,3806.0,704.0,416.0,51,38,33,12,26,23,47,29,41,43,40,31,39,28,38,Viherlaakso,0.14291514413317094,12,049151
49,151,Viherlaakso,2020,5042.0,3871.0,730.0,441.0,51,38,33,12,26,23,47,29,41,43,40,31,39,28,38,Viherlaakso,0.14478381594605316,12,049151
49,152,Lippajärvi,2013,4235.0,3530.0,309.0,396.0,44,50,51,20,29,35,59,33,53,56,52,42,51,35,41,Lippajärvi,0.0729634002361275,20,049152
49,152,Lippajärvi,2014,4216.0,3478.0,330.0,408.0,44,50,51,20,29,35,59,33,53,56,52,42,51,35,41,Lippajärvi,0.07827324478178369,20,049152
49,152,Lippajärvi,2015,4120.0,3366.0,330.0,424.0,50,48,47,19,29,36,57,32,54,56,53,43,53,37,39,Lippajärvi,0.08009708737864078,19,049152
49,152,Lippajärvi,2016,4033.0,3241.0,378.0,414.0,50,48,47,19,29,36,57,32,54,56,53,43,53,37,39,Lippajärvi,0.093726754277213,19,049152
49,152,Lippajärvi,2017,3961.0,3184.0,395.0,382.0,50,48,47,19,29,36,57,32,54,56,53,43,53,37,39,Lippajärvi,0.09972229235041656,19,049152
49,152,Lippajärvi,2018,3952.0,3118.0,462.0,372.0,60,50,45,20,31,35,57,40,51,54,53,42,51,32,51,Lippajärvi,0.11690283400809717,20,049152
49,152,Lippajärvi,2019,3954.0,3103.0,480.0,371.0,60,50,45,20,31,35,57,40,51,54,53,42,51,32,51,Lippajärvi,0.12139605462822459,20,049152
49,152,Lippajärvi,2020,3998.0,3109.0,515.0,374.0,60,50,45,20,31,35,57,40,51,54,53,42,51,32,51,Lippajärvi,0.1288144072036018,20,049152
49,161,Sepänkylä,2013,1376.0,913.0,130.0,333.0,29,36,37,12,30,23,45,27,39,42,38,28,37,21,28,Sepänkylä,0.09447674418604651,12,049161
49,161,Sepänkylä,2014,1360.0,906.0,131.0,323.0,29,36,37,12,30,23,45,27,39,42,38,28,37,21,28,Sepänkylä,0.09632352941176471,12,049161
49,161,Sepänkylä,2015,1361.0,899.0,141.0,321.0,27,36,34,12,26,23,43,24,39,42,38,31,39,19,29,Sepänkylä,0.10360029390154299,12,049161
49,161,Sepänkylä,2016,1350.0,866.0,149.0,335.0,27,36,34,12,26,23,43,24,39,42,38,31,39,19,29,Sepänkylä,0.11037037037037037,12,049161
49,161,Sepänkylä,2017,1372.0,879.0,163.0,330.0,27,36,34,12,26,23,43,24,39,42,38,31,39,19,29,Sepänkylä,0.11880466472303207,12,049161
49,161,Sepänkylä,2018,1387.0,883.0,161.0,343.0,51,38,33,12,30,23,44,30,37,40,35,28,36,20,36,Sepänkylä,0.11607786589762076,12,049161
49,161,Sepänkylä,2019,1416.0,900.0,160.0,356.0,51,38,33,12,30,23,44,30,37,40,35,28,36,20,36,Sepänkylä,0.11299435028248588,12,049161
49,161,Sepänkylä,2020,1481.0,969.0,167.0,345.0,51,38,33,12,30,23,44,30,37,40,35,28,36,20,36,Sepänkylä,0.11276164753544902,12,049161
49,211,Tapiolan keskus,2013,2913.0,2470.0,280.0,163.0,37,45,42,14,28,31,32,9,26,28,25,20,28,13,14,Tapiolan Keskus,0.09612083762444215,9,049211
49,211,Tapiolan keskus,2014,2987.0,2539.0,274.0,174.0,37,45,42,14,28,31,32,9,26,28,25,20,28,13,14,Tapiolan Keskus,0.09173083361232005,9,049211
49,211,Tapiolan keskus,2015,3121.0,2611.0,324.0,186.0,36,47,42,12,25,29,35,9,28,30,27,22,28,12,14,Tapiolan Keskus,0.10381288048702339,9,049211
49,211,Tapiolan keskus,2016,3617.0,3043.0,354.0,220.0,36,47,42,12,25,29,35,9,28,30,27,22,28,12,14,Tapiolan Keskus,0.09787116394802323,9,049211
49,211,Tapiolan keskus,2017,3802.0,3215.0,365.0,222.0,36,47,42,12,25,29,35,9,28,30,27,22,28,12,14,Tapiolan Keskus,0.09600210415570752,9,049211
49,211,Tapiolan keskus,2018,3861.0,3238.0,400.0,223.0,58,41,40,12,28,30,30,10,24,25,23,20,27,12,17,Tapiolan Keskus,0.1036001036001036,10,049211
49,211,Tapiolan keskus,2019,4006.0,3327.0,446.0,233.0,58,41,40,12,28,30,30,10,24,25,23,20,27,12,17,Tapiolan Keskus,0.11133300049925113,10,049211
49,211,Tapiolan keskus,2020,4232.0,3483.0,508.0,241.0,58,41,40,12,28,30,30,10,24,25,23,20,27,12,17,Tapiolan Keskus,0.12003780718336483,10,049211
49,212,Länsikorkee,2013,3885.0,3263.0,292.0,330.0,47,46,42,25,37,34,33,11,26,28,25,20,28,13,14,Länsikorkee,0.07516087516087516,11,049212
49,212,Länsikorkee,2014,3991.0,3340.0,327.0,324.0,47,46,42,25,37,34,33,11,26,28,25,20,28,13,14,Länsikorkee,0.08193435229265848,11,049212
49,212,Länsikorkee,2015,4027.0,3363.0,330.0,334.0,40,48,45,22,35,36,35,9,28,30,27,22,28,14,14,Länsikorkee,0.0819468587037497,9,049212
49,212,Länsikorkee,2016,4019.0,3351.0,336.0,332.0,40,48,45,22,35,36,35,9,28,30,27,22,28,14,14,Länsikorkee,0.08360288629012193,9,049212
49,212,Länsikorkee,2017,4030.0,3373.0,339.0,318.0,40,48,45,22,35,36,35,9,28,30,27,22,28,14,14,Länsikorkee,0.08411910669975187,9,049212
49,212,Länsikorkee,2018,4184.0,3495.0,353.0,336.0,53,37,40,24,38,32,30,10,24,25,23,20,27,7,16,Länsikorkee,0.08436902485659656,7,049212
49,212,Länsikorkee,2019,4556.0,3802.0,415.0,339.0,53,37,40,24,38,32,30,10,24,25,23,20,27,7,16,Länsikorkee,0.09108867427568042,7,049212
49,212,Länsikorkee,2020,4908.0,4086.0,497.0,325.0,53,37,40,24,38,32,30,10,24,25,23,20,27,7,16,Länsikorkee,0.10126324368378158,7,049212
49,213,Otsolahti,2013,2659.0,2310.0,201.0,148.0,36,42,40,13,27,28,31,6,24,26,23,21,27,14,13,Otsolahti,0.07559232794283566,6,049213
49,213,Otsolahti,2014,2696.0,2347.0,204.0,145.0,36,42,40,13,27,28,31,6,24,26,23,21,27,14,13,Otsolahti,0.07566765578635015,6,049213
49,213,Otsolahti,2015,2730.0,2354.0,224.0,152.0,36,47,40,12,25,29,34,7,27,29,26,22,28,13,14,Otsolahti,0.08205128205128205,7,049213
49,213,Otsolahti,2016,2784.0,2382.0,247.0,155.0,36,47,40,12,25,29,34,7,27,29,26,22,28,13,14,Otsolahti,0.08872126436781609,7,049213
49,213,Otsolahti,2017,2790.0,2360.0,270.0,160.0,36,47,40,12,25,29,34,7,27,29,26,22,28,13,14,Otsolahti,0.0967741935483871,7,049213
49,213,Otsolahti,2018,2779.0,2374.0,253.0,152.0,50,38,37,12,28,27,27,10,21,22,20,17,24,17,14,Otsolahti,0.09103994242533285,10,049213
49,213,Otsolahti,2019,2823.0,2361.0,306.0,156.0,50,38,37,12,28,27,27,10,21,22,20,17,24,17,14,Otsolahti,0.10839532412327312,10,049213
49,213,Otsolahti,2020,2813.0,2322.0,329.0,162.0,50,38,37,12,28,27,27,10,21,22,20,17,24,17,14,Otsolahti,0.11695698542481336,10,049213
49,214,Niittykumpu,2013,4027.0,3450.0,304.0,273.0,42,42,41,26,43,34,30,18,23,25,22,20,26,11,12,Niittykumpu,0.07549043953315122,11,049214
