OID_;Join_Count;TARGET_FID;municipal;district;name;pt_m_tt_2013_5874358;pt_m_t_2013_5874358;pt_m_d_2013_5874358;pt_m_tt_2013_5878088;pt_m_t_2013_5878088;pt_m_d_2013_5878088;pt_m_tt_2013_5911249;pt_m_t_2013_5911249;pt_m_d_2013_5911249;pt_m_tt_2013_5934892;pt_m_t_2013_5934892;pt_m_d_2013_5934892;pt_m_tt_2013_5934906;pt_m_t_2013_5934906;pt_m_d_2013_5934906;pt_m_tt_2013_5952975;pt_m_t_2013_5952975;pt_m_d_2013_5952975;pt_m_tt_2013_5958354;pt_m_t_2013_5958354;pt_m_d_2013_5958354;pt_m_tt_2013_5961860;pt_m_t_2013_5961860;pt_m_d_2013_5961860;pt_m_tt_2013_5961890;pt_m_t_2013_5961890;pt_m_d_2013_5961890;pt_m_tt_2013_5961894;pt_m_t_2013_5961894;pt_m_d_2013_5961894;pt_m_tt_2013_5968821;pt_m_t_2013_5968821;pt_m_d_2013_5968821;pt_m_tt_2013_5975374;pt_m_t_2013_5975374;pt_m_d_2013_5975374;pt_m_tt_2013_5978639;pt_m_t_2013_5978639;pt_m_d_2013_5978639;pt_m_tt_2013_5980222;pt_m_t_2013_5980222;pt_m_d_2013_5980222;pt_m_tt_2013_5980260;pt_m_t_2013_5980260;pt_m_d_2013_5980260;pt_m_tt_2015_5874358;pt_m_t_2015_5874358;pt_m_d_2015_5874358;pt_m_tt_2015_5878088;pt_m_t_2015_5878088;pt_m_d_2015_5878088;pt_m_tt_2015_5911249;pt_m_t_2015_5911249;pt_m_d_2015_5911249;pt_m_tt_2015_5934892;pt_m_t_2015_5934892;pt_m_d_2015_5934892;pt_m_tt_2015_5934906;pt_m_t_2015_5934906;pt_m_d_2015_5934906;pt_m_tt_2015_5952975;pt_m_t_2015_5952975;pt_m_d_2015_5952975;pt_m_tt_2015_5958354;pt_m_t_2015_5958354;pt_m_d_2015_5958354;pt_m_tt_2015_5961860;pt_m_t_2015_5961860;pt_m_d_2015_5961860;pt_m_tt_2015_5961890;pt_m_t_2015_5961890;pt_m_d_2015_5961890;pt_m_tt_2015_5961894;pt_m_t_2015_5961894;pt_m_d_2015_5961894;pt_m_tt_2015_5968821;pt_m_t_2015_5968821;pt_m_d_2015_5968821;pt_m_tt_2015_5975374;pt_m_t_2015_5975374;pt_m_d_2015_5975374;pt_m_tt_2015_5978639;pt_m_t_2015_5978639;pt_m_d_2015_5978639;pt_m_tt_2015_5980222;pt_m_t_2015_5980222;pt_m_d_2015_5980222;pt_m_tt_2015_5980260;pt_m_t_2015_5980260;pt_m_d_2015_5980260;pt_m_tt_2018_5874358;pt_m_t_2018_5874358;pt_m_d_2018_5874358;pt_m_tt_2018_5878088;pt_m_t_2018_5878088;pt_m_d_2018_5878088;pt_m_tt_2018_5911249;pt_m_t_2018_5911249;pt_m_d_2018_5911249;pt_m_tt_2018_5934892;pt_m_t_2018_5934892;pt_m_d_2018_5934892;pt_m_tt_2018_5934906;pt_m_t_2018_5934906;pt_m_d_2018_5934906;pt_m_tt_2018_5952975;pt_m_t_2018_5952975;pt_m_d_2018_5952975;pt_m_tt_2018_5958354;pt_m_t_2018_5958354;pt_m_d_2018_5958354;pt_m_tt_2018_5961860;pt_m_t_2018_5961860;pt_m_d_2018_5961860;pt_m_tt_2018_5961890;pt_m_t_2018_5961890;pt_m_d_2018_5961890;pt_m_tt_2018_5961894;pt_m_t_2018_5961894;pt_m_d_2018_5961894;pt_m_tt_2018_5968821;pt_m_t_2018_5968821;pt_m_d_2018_5968821;pt_m_tt_2018_5975374;pt_m_t_2018_5975374;pt_m_d_2018_5975374;pt_m_tt_2018_5978639;pt_m_t_2018_5978639;pt_m_d_2018_5978639;pt_m_tt_2018_5980222;pt_m_t_2018_5980222;pt_m_d_2018_5980222;pt_m_tt_2018_5980260;pt_m_t_2018_5980260;pt_m_d_2018_5980260;Shape_Length;Shape_Area
44;55;43;091;341;Länsi-Pakila;33;17;7683;37;29;9534;24;16;4405;23;11;6490;26;18;4974;19;15;4648;32;26;10394;36;31;11012;21;15;6227;29;21;7246;24;18;7343;29;24;8422;35;30;8766;56;41;16504;35;30;10454;40;17;7828;32;27;9686;24;18;4575;26;11;6565;26;18;4092;23;17;4662;36;31;10462;37;27;10112;24;19;6242;32;26;7260;28;18;7164;32;26;8421;40;32;8771;55;34;16019;37;31;10398;44;26;8035;29;25;9584;22;20;4359;24;14;6565;25;19;4437;21;15;4662;35;27;10462;38;30;9839;23;17;6242;31;22;7260;26;18;7164;33;27;8414;39;33;8805;55;45;15667;38;29;10124;6647,276405837040329;2327157,449749823193997
45;43;44;091;342;Itä-Pakila;33;23;6180;36;27;7999;24;15;2969;36;26;8561;27;20;7428;19;15;5046;32;26;10394;46;40;13849;21;15;6626;29;21;7644;24;18;7735;29;24;8845;35;30;9302;56;49;18368;35;30;10782;41;22;5904;36;27;7997;27;17;2969;34;27;8612;29;21;6463;23;17;5046;36;31;10063;45;36;12464;24;19;6966;33;26;7256;28;18;7728;33;26;8903;40;32;9609;58;52;17929;37;31;10781;44;31;5904;32;25;7895;22;15;2907;32;19;8470;29;20;7334;21;15;5489;35;27;10955;48;38;12142;23;17;6625;31;22;6931;26;18;7629;33;27;8855;39;33;9418;58;49;18107;38;29;10854;6311,355347994838667;1805643,508767200401053
46;17;45;091;283;Metsälä;26;19;8768;26;22;10532;17;13;4940;28;22;8698;32;21;5131;16;11;3048;32;27;8383;42;37;10856;22;17;4614;26;18;4720;26;21;5723;22;18;6287;29;24;6751;54;47;18360;33;28;8156;38;31;9415;27;22;10529;18;13;5418;30;24;8020;30;22;5231;16;11;3068;34;29;8179;40;34;10680;24;18;4614;30;21;4797;27;21;5724;25;20;6279;32;28;6815;57;50;18324;35;30;8196;35;18;8621;23;18;10427;17;13;4905;30;23;8989;31;25;5172;15;11;3068;36;29;8005;43;35;11114;24;19;4614;29;20;4724;28;21;5551;24;20;6279;31;28;6815;53;47;16943;33;29;8160;3407,793330980714018;556656,037617256399244
47;66;46;091;284;Patola;23;16;8458;22;16;7637;13;7;2647;28;19;8818;28;23;6169;16;10;3037;32;26;7809;38;35;10845;20;15;4614;26;18;4720;23;18;5723;22;16;6276;29;23;6740;54;45;18348;33;27;8145;32;27;9096;18;14;7636;10;6;2648;26;19;8887;28;20;5204;12;9;3056;32;28;8092;39;32;10851;22;18;4614;29;21;4797;26;17;5724;21;18;6268;28;25;6804;53;49;18154;31;28;8185;32;14;8311;15;12;7533;9;6;2586;29;20;8613;30;23;5925;12;9;3056;33;26;8005;41;33;11018;22;16;4614;29;20;4724;26;17;5551;21;18;6268;28;25;6804;50;45;16846;30;26;8149;7958,076043402599680;2835878,046461741439998
48;35;47;091;285;Veräjämäki;32;23;9895;22;16;8814;13;7;3701;28;21;9915;31;23;7263;16;10;3087;34;28;7162;42;37;10895;25;19;4715;29;21;4476;29;24;5748;22;16;6326;29;23;6790;54;45;18399;33;27;8195;44;33;9875;18;14;8760;10;6;3701;26;19;9984;29;21;6298;12;9;3106;32;28;7309;43;39;10901;26;20;4714;30;23;4810;28;25;5730;21;18;6317;28;25;6854;53;49;18362;31;28;8235;42;22;9747;15;12;8660;9;6;3701;29;22;9989;30;23;7291;12;9;3106;33;27;7986;42;38;12302;28;21;4700;30;19;4587;30;25;5526;21;18;6317;28;25;6854;50;45;18800;30;26;8198;5901,269430054139775;1212306,254515215288848
49;30;48;091;286;Maunulanpuisto;37;27;9274;35;31;11189;26;22;5904;24;17;5998;25;19;2730;22;17;3811;35;30;8992;34;29;10215;26;20;5224;28;21;5300;30;24;6333;27;24;6610;36;32;7606;55;50;18163;37;32;8335;39;28;9476;32;29;11186;24;21;6076;24;17;6044;22;15;2763;25;20;3644;36;32;9035;34;28;9249;28;21;5223;30;23;5374;31;25;6333;28;24;6929;36;29;7838;54;46;18534;39;33;8434;43;26;9126;31;25;11084;25;20;5869;24;15;6037;23;16;3467;24;19;3695;39;32;8582;35;27;8506;31;24;5030;33;23;5301;33;26;6160;28;24;6368;36;29;6941;52;42;14334;39;29;8264;5089,130972477874820;1023897,787766042863950
50;12;49;091;287;Veräjälaakso;38;31;10690;26;22;7637;17;13;2581;33;26;10771;34;30;8285;20;15;4679;34;28;7162;43;40;15715;32;26;6451;36;26;6035;34;30;7560;26;22;7918;33;28;8383;59;51;19991;37;32;9787;50;33;11323;23;20;7636;15;12;2766;34;24;10841;34;27;7304;17;14;4552;34;28;7309;47;40;13156;33;28;6464;35;27;6114;35;31;7574;26;23;7763;33;31;8299;59;55;19905;36;33;9681;46;33;10543;20;17;7533;15;11;2882;33;28;10594;35;28;8174;18;14;4552;33;27;9643;48;41;12971;36;29;6451;34;24;6040;38;33;7545;27;23;7763;34;31;8299;56;50;18800;36;32;9644;2512,664577303232363;367874,195388161344454
51;32;50;091;457;Itäkeskus;49;37;13283;36;30;11761;21;17;6633;47;39;16334;47;40;13113;32;25;8709;12;9;2428;45;38;19019;17;15;6807;15;13;5851;20;18;7914;21;19;9128;29;27;9643;47;43;21134;25;23;10915;58;37;13742;38;31;11716;24;18;6690;47;39;16396;44;36;13152;32;31;8495;12;9;2427;46;39;19023;17;15;6806;15;13;5850;19;17;7914;21;19;9127;29;27;9641;47;45;21125;25;23;10914;54;44;13076;36;27;11662;23;18;6666;46;35;16311;43;36;13067;31;28;8513;12;9;2427;37;35;17448;17;15;6806;15;13;5850;20;18;7914;22;20;9127;30;28;9642;44;40;23234;25;22;10878;5592,317943440933050;1100850,730869001941755
52;25;51;091;010;Kruununhaka;41;33;14899;37;28;16232;33;27;10512;35;27;11556;36;28;8336;24;19;3498;19;16;4335;38;28;10009;12;9;1519;15;11;1666;4;4;285;11;9;1014;10;10;686;38;34;13081;16;13;2902;53;44;15365;35;28;16158;28;24;11098;36;27;11556;38;28;8312;21;18;3926;19;16;4099;38;30;10022;12;9;1519;15;9;1666;4;4;284;11;9;1069;10;10;684;38;35;12995;16;14;2902;47;33;14700;33;26;16057;28;23;11098;33;27;11556;39;28;8312;21;18;3926;17;15;4284;27;25;9435;10;8;1519;12;10;1666;4;4;284;11;9;1064;10;10;684;34;30;14978;15;12;2866;4672,880345053687051;1125177,863456257851794
53;28;52;091;020;Kluuvi;41;33;14899;30;19;15547;23;18;10512;22;15;10688;24;16;6493;12;10;3277;16;13;5692;26;19;8041;9;6;1519;11;8;2491;4;4;285;0;0;0;4;4;308;26;22;11635;11;8;1629;51;43;15297;27;19;15603;20;17;10561;23;15;10248;24;16;6490;12;10;3339;16;13;5692;26;20;8156;9;6;1519;11;8;2490;4;4;284;0;0;0;4;4;307;27;23;11638;11;8;1629;47;32;14700;24;17;15474;19;16;10561;22;15;10098;25;16;6490;11;9;3339;16;13;5692;22;19;8162;9;6;1519;11;8;2490;4;4;284;0;0;0;4;4;307;29;25;13706;10;6;1593;4382,625907622741579;1036375,929068264085799
54;12;53;091;030;Kaartinkaupunki;47;41;16142;33;24;15913;27;23;11184;29;24;11293;33;24;8073;19;15;3863;21;19;6697;35;28;9324;14;12;2524;16;14;3495;13;9;1554;6;5;398;0;0;0;36;32;12508;15;12;2251;59;51;17043;33;24;15913;28;25;11134;29;24;11293;33;24;8049;20;15;3865;21;19;6697;36;29;9391;14;12;2523;16;14;3495;13;11;1554;6;5;398;0;0;0;37;35;12724;15;12;2318;54;40;15852;29;21;15784;28;24;11134;29;24;11293;34;24;8049;19;15;3865;21;19;6697;26;23;8948;14;12;2523;16;14;3495;14;11;1554;6;5;398;0;0;0;34;29;14491;14;12;2378;2828,536045575443950;397929,940495698770974
55;26;54;091;040;Kamppi;44;38;15906;30;21;15690;23;20;10962;24;19;10942;29;19;7386;15;12;3640;18;14;6751;24;18;8170;11;8;2578;13;10;3549;10;7;1608;0;0;0;0;0;0;23;19;11147;8;5;628;54;46;16326;29;21;15690;23;20;10814;24;19;10941;29;19;7697;15;12;3642;18;15;6752;24;18;7718;11;8;2578;13;10;3550;10;7;1609;0;0;0;0;0;0;24;20;10695;8;7;567;50;36;15907;25;18;15562;23;19;10814;26;19;10941;28;19;7697;15;13;3593;17;15;6752;19;19;7148;10;8;2578;12;10;3550;10;8;1609;0;0;0;0;0;0;26;24;12691;7;5;623;4175,170530125862570;949297,502109045046382
56;17;55;091;050;Punavuori;53;45;16363;36;27;16133;31;26;11404;33;27;11514;37;28;7902;22;19;4083;25;22;7266;32;25;8682;18;16;3093;20;18;4064;17;15;2086;8;5;691;0;0;0;31;27;11659;13;9;1024;60;54;17300;36;27;16133;32;28;11354;34;27;11513;38;27;8269;23;19;4085;25;22;7266;33;25;8684;18;16;3092;20;18;4064;17;15;2123;8;5;691;0;0;0;31;28;11660;13;9;1019;56;44;16421;32;24;16005;29;27;11354;33;27;11513;39;27;8269;22;19;4085;25;22;7266;27;25;7506;19;16;3092;21;18;4064;17;16;2123;8;5;691;0;0;0;34;31;13050;12;9;1019;3146,867405768177832;462350,118124019587412
57;8;56;091;060;Eira;59;53;17545;47;37;17391;41;34;12709;43;36;12686;47;36;8836;33;26;5353;32;28;8514;37;30;9005;25;21;4341;27;23;5312;24;20;3181;16;10;1760;13;7;985;36;32;12381;19;15;1662;71;63;18324;47;39;17288;41;38;12710;45;34;12641;48;37;9424;34;30;5319;34;30;8374;38;30;9008;27;23;4200;29;25;5172;26;23;3201;17;10;1747;14;7;984;38;32;11984;19;15;1657;69;53;17582;43;35;17267;39;35;12565;44;34;12686;47;38;9397;32;29;5338;34;29;8374;35;31;8306;27;23;4200;29;24;5172;25;20;3198;16;11;1783;13;7;1135;43;39;15371;20;15;1657;1926,130282057816430;208875,937456265499350
58;23;57;091;070;Ullanlinna;56;47;16623;39;31;16449;33;30;11721;38;29;11981;42;32;8610;26;23;4399;29;24;7206;37;28;9548;22;17;3033;24;20;4004;20;15;2068;11;6;1065;5;5;362;37;32;12525;20;16;1932;66;60;17295;40;31;16450;35;31;11790;41;31;11830;41;32;8586;28;24;4441;29;26;7206;40;33;9277;22;19;3033;25;21;4004;21;18;2064;11;6;1064;5;5;362;40;33;12253;22;18;1928;62;48;16362;38;29;16321;34;30;11642;38;32;11968;41;28;8724;26;22;4483;28;26;7206;31;28;9524;21;19;3033;23;21;4004;21;16;2064;10;7;1109;5;5;362;38;34;14738;19;15;2032;6620,449646538909292;1404784,920852744951844
59;20;58;091;080;Katajanokka;53;46;15996;40;30;16372;34;29;11644;39;31;11786;42;32;8566;26;22;4322;25;23;6980;41;33;10208;18;16;2807;20;17;2764;13;10;1455;13;9;1214;13;12;928;41;36;13312;20;18;3092;62;55;15583;38;30;16372;33;30;11471;38;31;11786;40;31;8542;26;22;4324;25;23;6980;41;34;10211;18;16;2806;20;15;2716;15;10;1447;14;9;1319;13;11;928;43;40;13113;20;18;3091;56;44;16135;37;28;16244;32;29;11471;38;31;11786;43;31;8542;26;23;4298;24;23;5843;31;30;9624;18;16;2806;20;18;2787;15;11;1447;12;9;1319;13;11;928;39;35;15168;19;17;3055;6474,540589320644358;1868875,284500166773796
60;13;59;091;090;Kaivopuisto;59;50;17155;42;32;17067;39;33;12338;45;37;12447;48;39;9227;31;23;5016;33;28;8234;46;38;10540;26;21;4061;28;23;5033;24;19;2397;17;12;1765;14;10;1159;44;39;13787;27;23;3197;70;62;16614;44;39;17099;36;31;12172;44;34;12550;48;42;9306;31;26;4999;35;30;7739;46;39;10402;28;23;3566;30;25;4537;26;22;2424;17;12;1791;14;10;1159;47;42;13533;25;20;3668;71;60;16781;43;36;16970;38;32;12169;44;38;12684;45;36;9441;33;27;4996;33;28;7671;38;33;10155;27;21;3497;29;23;4469;25;16;2372;17;12;1825;13;10;1159;47;40;15747;25;20;2952;7389,455563429950416;2465861,366771683562547
61;12;60;091;111;Siltasaari;38;31;14359;36;26;16099;30;26;9958;29;24;11308;33;25;8017;20;18;2770;16;13;5241;33;26;10168;9;7;1233;11;9;1960;0;0;0;10;7;1009;17;15;1401;35;31;13067;13;11;3051;47;42;15023;31;29;15909;23;21;10574;29;24;11307;34;25;8063;17;14;2781;16;13;5538;35;28;10170;9;7;1208;11;9;1692;0;0;0;11;8;1008;17;15;1400;37;34;13072;14;12;3051;44;29;14229;28;24;15969;23;20;10850;29;24;11307;34;25;8063;17;14;2933;14;12;5538;24;23;9584;7;6;1364;9;8;1950;0;0;0;10;8;1008;17;16;1400;33;28;15127;12;10;3014;2432,749956321250465;308083,194558131275699
62;21;61;091;112;Linjat;38;30;13799;38;29;13833;31;26;9800;32;25;9198;31;26;6123;16;13;2005;16;12;4826;35;27;7645;9;7;638;11;10;1624;5;5;368;11;8;1308;18;15;1985;36;33;13389;14;12;3126;47;41;14126;38;29;14189;31;25;9010;33;26;8757;33;27;6094;17;13;2005;16;15;4826;36;28;7851;9;8;638;11;10;1625;5;5;368;11;9;1312;18;15;2008;37;35;12993;15;13;3126;44;29;13780;34;28;13918;30;27;8960;33;26;9248;33;27;6094;18;14;2082;16;14;4826;25;24;9491;9;7;638;11;9;1625;5;5;368;11;9;1312;18;16;2008;33;29;15034;14;11;2921;3461,234942309719372;672754,084914136095904
63;9;62;091;113;Torkkelinmäki;37;29;13631;38;29;14228;29;25;9204;32;25;9557;36;27;6337;16;12;2005;12;10;4481;35;27;8799;0;0;0;8;6;1228;7;7;483;11;8;1879;18;16;2423;36;32;14107;14;12;3666;47;39;14280;36;29;14134;30;25;9221;35;27;10206;37;26;6493;17;13;1931;12;10;4430;35;28;10786;0;0;0;8;6;1228;7;6;484;11;8;1879;18;16;2403;37;34;13882;14;12;3666;44;27;13486;35;28;16890;30;27;9231;34;30;9654;39;30;6410;16;14;1856;12;9;4430;25;24;10200;0;0;0;7;5;1228;7;6;484;11;9;1879;18;17;2394;33;29;15743;14;11;3630;1909,261256773424293;230601,941919379285537
64;49;63;091;362;Latokartano;43;34;9516;32;27;7700;18;14;2594;41;36;13411;41;34;10417;29;25;7210;22;17;3187;51;47;16699;29;24;7027;29;24;6606;33;27;8136;34;29;9884;41;36;9796;61;50;21602;39;34;11343;49;34;9787;31;25;7616;18;13;2612;43;37;13382;40;33;10102;28;24;6903;22;17;3277;52;47;14725;28;23;7114;29;21;6417;31;25;8263;34;28;9695;41;35;9694;61;55;21706;38;31;11482;48;39;9330;26;23;7548;15;13;2622;41;32;13392;41;33;10344;27;23;6903;22;17;3172;50;45;18078;27;24;7124;28;23;6481;31;27;8246;34;31;9758;42;38;9689;57;52;23437;38;34;11509;5913,397329590063237;2023354,270754218567163
65;30;64;091;383;Pihlajamäki;39;30;8432;25;20;6957;13;8;1823;36;30;12405;37;29;10086;24;18;6806;31;26;7292;49;39;14614;18;14;6336;24;17;6215;21;19;7412;28;19;9192;34;25;9642;52;40;20751;32;27;10492;48;31;8825;25;20;6603;12;9;1599;40;26;12463;37;29;9539;24;11;6028;30;26;7454;50;44;14793;18;15;6301;25;21;6527;23;19;7411;28;25;8450;34;31;8842;55;52;20857;31;28;10457;45;35;8038;23;17;6599;12;8;1628;39;29;12483;39;30;10374;25;18;6028;31;26;7058;45;40;14608;20;16;6301;24;18;6220;23;20;7394;30;26;8445;37;32;8836;54;48;22601;34;30;10488;4845,386505905325976;1364340,985436715185642
66;18;65;091;384;Tattariharju;43;32;9053;32;26;7256;16;12;2458;47;40;14495;44;37;13575;34;28;9953;37;32;9041;61;51;18430;34;25;9063;39;28;8945;37;29;10172;40;32;11943;47;38;12334;69;53;23759;49;41;13219;49;34;10898;33;27;7485;20;14;2459;52;39;13222;41;33;12374;37;29;9826;37;32;9087;65;54;18466;37;28;9063;41;30;9301;41;32;10173;44;37;11520;50;43;11708;72;63;22885;49;41;13497;48;39;9076;30;23;7453;17;11;2457;44;32;13474;41;33;12337;35;26;10042;36;31;9060;59;52;19772;36;28;9063;39;31;9228;39;31;10157;44;35;11326;51;44;11697;65;58;25315;47;40;13202;3862,055192137416725;515664,464902814128436
67;62;66;091;570;Talosaari;83;67;21391;76;61;19070;60;48;13942;81;68;25204;81;64;21820;60;50;17234;46;34;11595;84;67;27520;54;39;15681;54;37;14811;58;42;16874;60;43;18088;67;51;19170;84;68;30497;63;47;19876;90;62;18884;75;58;18567;59;42;13453;84;68;25019;81;63;23920;70;53;17410;50;34;11616;86;68;26905;55;39;15677;53;37;14721;57;41;16785;59;43;17999;67;51;18513;86;68;30010;63;47;19786;76;42;17540;70;40;13921;65;43;12920;86;66;24997;81;58;23860;75;53;17360;57;35;11603;82;60;26306;62;40;15664;60;38;14708;65;43;16772;67;45;17986;75;53;18500;88;65;31849;69;47;19736;7171,865860495950074;3133399,965589983854443
68;47;67;091;580;Karhusaari;81;61;21929;73;56;19889;57;42;14903;78;63;25863;78;59;22782;57;45;18195;43;30;12556;81;64;28482;51;36;16643;52;34;16142;56;39;17748;58;40;19419;64;47;19934;81;65;31458;61;44;20750;91;52;18884;75;53;19455;59;37;14218;83;62;25982;76;60;24882;67;52;18372;47;30;12578;80;64;27868;52;36;16639;51;34;15684;54;38;17747;57;40;18961;64;47;19475;82;65;30973;60;44;20748;84;55;19996;66;48;16377;59;38;13882;81;60;25959;77;61;24823;70;52;18323;52;33;12565;77;59;27268;57;39;16626;55;37;15671;60;42;17734;62;44;18948;70;51;19462;83;66;32812;64;47;20699;6902,922803648768422;2248401,637377169448882
69;144;68;091;591;Landbo;68;51;12057;50;33;8235;57;45;13512;78;64;25675;78;67;22293;57;47;17980;43;33;13056;81;68;26057;51;38;16559;54;36;16161;58;41;17635;59;43;18676;65;50;19067;81;69;31447;63;46;20715;62;31;13156;48;33;8195;59;41;12880;80;67;27460;79;64;24614;68;52;19086;49;33;13292;84;68;28534;54;38;17353;53;36;16397;56;40;18461;59;43;19675;66;50;20189;85;69;31687;62;46;21462;62;31;13086;48;29;9467;57;40;12598;83;64;26222;79;65;23730;70;50;17434;54;32;13121;79;57;27824;59;37;17182;57;35;16226;62;40;18290;64;43;19504;72;50;20018;85;63;33367;66;45;21254;13172,584314685931531;6943128,730466206558049
70;100;69;091;592;Puroniitty;107;77;24387;97;76;23134;80;58;18006;101;76;28904;101;78;25833;81;59;21298;68;45;15659;106;85;31159;76;53;19746;79;58;19647;83;62;20851;84;62;23401;90;69;23851;105;84;34561;88;67;23852;106;88;24845;90;73;23044;76;60;17930;97;76;29033;94;78;27933;82;64;22241;64;50;15630;101;80;31035;69;55;19690;67;53;18735;71;57;20798;73;60;22012;81;67;22526;101;84;34200;77;63;23799;93;66;24469;84;64;21026;77;62;16923;100;76;29302;94;77;27874;88;72;21369;69;54;15612;94;79;30315;74;59;19673;72;58;18718;77;62;20781;79;65;21995;87;72;22509;100;85;35858;81;67;23745;11316,663617299471298;4461905,903417268767953
71;30;70;091;311;Kotkavuori;59;52;18507;48;39;18226;42;35;13497;40;34;10036;46;36;10246;33;28;6175;31;27;9256;25;17;5434;24;20;5083;27;22;6054;23;21;4129;18;13;2655;23;19;2848;30;23;8847;13;10;882;70;55;19322;48;37;18207;42;38;13497;40;31;10104;48;40;10232;34;29;6159;32;28;9330;25;16;5501;25;21;5157;27;23;6128;24;20;4188;18;15;2642;23;18;2854;30;25;8872;13;10;882;57;42;18741;37;28;18201;36;31;13523;33;26;10293;41;31;10531;27;22;6282;23;21;9330;16;14;4893;17;14;5157;18;16;6128;16;14;4188;13;11;2913;20;17;2854;24;20;10436;9;7;882;5990,850805951194161;1745736,569463097024709
72;38;71;091;312;Vattuniemi;59;52;19099;48;39;18817;42;35;14089;42;35;10418;46;36;10838;33;28;6767;32;28;9848;29;18;5816;25;21;5675;27;23;6646;24;21;4720;18;13;3247;23;19;3440;33;24;9229;13;10;1812;70;55;19914;48;37;18800;42;38;14090;41;32;10376;48;37;10825;34;29;6704;32;28;10033;25;17;5773;25;21;5860;28;23;6831;24;20;4890;18;15;3234;23;18;3447;31;26;9144;14;10;1776;63;48;19903;44;36;19619;39;34;14940;36;30;10337;45;36;11838;31;28;7735;27;25;10748;19;18;5141;20;18;6574;22;20;7546;20;18;5605;16;14;4330;23;17;3446;26;23;10685;13;10;1776;6964,714849680974112;2688495,310107190627605
73;21;72;091;386;Pihlajisto;39;31;9266;25;20;7150;13;9;1823;36;30;11297;37;29;8917;24;18;5494;33;26;6675;54;44;14614;22;21;5990;28;22;6083;26;22;7099;30;24;8241;37;31;8697;57;46;20778;36;33;10146;51;36;10448;25;20;7148;14;9;1824;40;31;11520;37;29;7998;24;16;5366;31;25;6793;53;44;13614;22;20;6003;29;23;6175;26;22;7113;32;27;8256;38;34;8713;58;55;20181;36;34;10159;45;37;10236;23;17;7046;14;10;1841;39;31;11289;40;32;8525;25;18;5366;31;25;7627;48;44;13988;22;20;5990;28;23;6453;25;21;7084;33;27;8233;39;34;8624;56;49;19839;36;31;10302;3706,175471462219775;602911,522926752222702
74;59;73;091;391;Tapaninvainio;24;16;4381;26;21;4131;10;6;709;40;26;11968;39;31;10711;28;19;7469;42;34;11359;55;45;15277;34;26;9600;39;28;9802;37;27;10709;34;25;10708;41;32;11172;66;55;21388;45;36;12577;34;18;4162;24;17;4128;10;7;709;41;26;11969;40;31;9928;26;22;7488;38;32;11409;54;43;15448;33;26;9609;38;33;9925;37;30;10719;35;31;10699;42;39;11236;66;50;21398;45;38;12617;30;17;4162;21;13;4026;10;7;709;43;31;12442;42;31;10539;26;23;7488;39;35;11403;56;49;15264;35;28;9609;41;33;9315;38;32;10703;35;32;10699;43;40;11236;64;58;24937;44;40;12580;7430,151016541462013;2486503,535575144924223
75;77;74;091;401;Siltamäki;16;7;2627;18;13;2220;17;9;2346;42;21;11664;43;32;10711;31;25;8677;44;37;12696;55;42;16186;32;26;10256;39;32;11275;35;29;11365;39;32;12472;46;39;12929;66;51;21084;47;37;14449;25;7;2690;20;15;2617;18;12;2483;44;21;11664;44;31;9928;31;24;8677;44;37;12834;54;42;15852;33;26;10256;42;33;11275;37;30;11366;41;33;12625;48;40;12797;66;46;21118;46;38;14412;25;7;2620;20;15;2385;15;11;2437;46;37;13138;44;35;10539;30;25;8671;42;38;12497;58;47;16304;34;28;10250;44;35;11269;38;31;11344;39;34;12395;46;42;12786;68;58;26483;48;40;14370;9768,063452571659582;3134594,962333699688315
76;62;75;091;402;Tapulikaupunki;18;10;3155;9;7;651;11;6;2179;37;29;16983;39;29;13936;22;16;9708;42;35;13058;54;44;17516;38;29;11628;39;31;11510;36;30;12554;28;23;12947;35;29;13411;61;54;25019;39;33;14816;28;12;3217;9;7;648;8;6;2141;34;25;15111;37;27;13875;18;15;9689;39;36;13981;51;45;17484;34;31;11665;37;34;11626;34;31;12591;27;24;12900;34;32;13437;59;56;24565;37;34;14818;28;11;3147;7;3;640;8;6;2141;34;29;17118;39;30;13875;19;16;9689;43;40;13104;48;45;18576;37;33;11665;39;35;11552;37;33;12492;27;25;12900;35;33;13437;57;52;26894;36;34;14782;9276,989056092405008;2275541,072285041213036
77;32;76;091;403;Töyrynummi;31;22;4696;27;15;3524;18;9;2089;45;37;12830;43;37;12376;33;26;9777;49;38;12436;58;51;17586;38;29;11005;44;31;10887;40;31;11931;39;32;13016;46;39;13481;71;61;25089;50;43;14885;39;28;4226;24;17;3569;19;12;2090;48;36;12831;44;35;11593;32;26;9742;48;41;12804;58;48;16797;38;30;11043;45;38;11004;42;34;11969;41;35;12954;48;43;13490;72;63;22285;50;43;15038;39;27;4156;20;13;3467;16;11;2090;47;37;15357;46;37;12204;31;26;9890;47;42;12482;60;55;17482;37;32;11043;45;37;10930;41;36;11870;40;35;13102;47;42;13638;68;61;27275;48;43;15162;4795,635600715869259;1105597,211486113723367
