OID_;Join_Count;TARGET_FID;municipal;district;name;pt_m_tt_2013_5874358;pt_m_t_2013_5874358;pt_m_d_2013_5874358;pt_m_tt_2013_5878088;pt_m_t_2013_5878088;pt_m_d_2013_5878088;pt_m_tt_2013_5911249;pt_m_t_2013_5911249;pt_m_d_2013_5911249;pt_m_tt_2013_5934892;pt_m_t_2013_5934892;pt_m_d_2013_5934892;pt_m_tt_2013_5934906;pt_m_t_2013_5934906;pt_m_d_2013_5934906;pt_m_tt_2013_5952975;pt_m_t_2013_5952975;pt_m_d_2013_5952975;pt_m_tt_2013_5958354;pt_m_t_2013_5958354;pt_m_d_2013_5958354;pt_m_tt_2013_5961860;pt_m_t_2013_5961860;pt_m_d_2013_5961860;pt_m_tt_2013_5961890;pt_m_t_2013_5961890;pt_m_d_2013_5961890;pt_m_tt_2013_5961894;pt_m_t_2013_5961894;pt_m_d_2013_5961894;pt_m_tt_2013_5968821;pt_m_t_2013_5968821;pt_m_d_2013_5968821;pt_m_tt_2013_5975374;pt_m_t_2013_5975374;pt_m_d_2013_5975374;pt_m_tt_2013_5978639;pt_m_t_2013_5978639;pt_m_d_2013_5978639;pt_m_tt_2013_5980222;pt_m_t_2013_5980222;pt_m_d_2013_5980222;pt_m_tt_2013_5980260;pt_m_t_2013_5980260;pt_m_d_2013_5980260;pt_m_tt_2015_5874358;pt_m_t_2015_5874358;pt_m_d_2015_5874358;pt_m_tt_2015_5878088;pt_m_t_2015_5878088;pt_m_d_2015_5878088;pt_m_tt_2015_5911249;pt_m_t_2015_5911249;pt_m_d_2015_5911249;pt_m_tt_2015_5934892;pt_m_t_2015_5934892;pt_m_d_2015_5934892;pt_m_tt_2015_5934906;pt_m_t_2015_5934906;pt_m_d_2015_5934906;pt_m_tt_2015_5952975;pt_m_t_2015_5952975;pt_m_d_2015_5952975;pt_m_tt_2015_5958354;pt_m_t_2015_5958354;pt_m_d_2015_5958354;pt_m_tt_2015_5961860;pt_m_t_2015_5961860;pt_m_d_2015_5961860;pt_m_tt_2015_5961890;pt_m_t_2015_5961890;pt_m_d_2015_5961890;pt_m_tt_2015_5961894;pt_m_t_2015_5961894;pt_m_d_2015_5961894;pt_m_tt_2015_5968821;pt_m_t_2015_5968821;pt_m_d_2015_5968821;pt_m_tt_2015_5975374;pt_m_t_2015_5975374;pt_m_d_2015_5975374;pt_m_tt_2015_5978639;pt_m_t_2015_5978639;pt_m_d_2015_5978639;pt_m_tt_2015_5980222;pt_m_t_2015_5980222;pt_m_d_2015_5980222;pt_m_tt_2015_5980260;pt_m_t_2015_5980260;pt_m_d_2015_5980260;pt_m_tt_2018_5874358;pt_m_t_2018_5874358;pt_m_d_2018_5874358;pt_m_tt_2018_5878088;pt_m_t_2018_5878088;pt_m_d_2018_5878088;pt_m_tt_2018_5911249;pt_m_t_2018_5911249;pt_m_d_2018_5911249;pt_m_tt_2018_5934892;pt_m_t_2018_5934892;pt_m_d_2018_5934892;pt_m_tt_2018_5934906;pt_m_t_2018_5934906;pt_m_d_2018_5934906;pt_m_tt_2018_5952975;pt_m_t_2018_5952975;pt_m_d_2018_5952975;pt_m_tt_2018_5958354;pt_m_t_2018_5958354;pt_m_d_2018_5958354;pt_m_tt_2018_5961860;pt_m_t_2018_5961860;pt_m_d_2018_5961860;pt_m_tt_2018_5961890;pt_m_t_2018_5961890;pt_m_d_2018_5961890;pt_m_tt_2018_5961894;pt_m_t_2018_5961894;pt_m_d_2018_5961894;pt_m_tt_2018_5968821;pt_m_t_2018_5968821;pt_m_d_2018_5968821;pt_m_tt_2018_5975374;pt_m_t_2018_5975374;pt_m_d_2018_5975374;pt_m_tt_2018_5978639;pt_m_t_2018_5978639;pt_m_d_2018_5978639;pt_m_tt_2018_5980222;pt_m_t_2018_5980222;pt_m_d_2018_5980222;pt_m_tt_2018_5980260;pt_m_t_2018_5980260;pt_m_d_2018_5980260;Shape_Length;Shape_Area
34;55;33;091;333;Malminkartano;44;33;10642;40;30;15965;35;28;10331;26;15;3825;20;15;2817;22;17;6557;43;38;12626;38;32;8347;38;31;8636;40;36;10558;37;33;10990;29;25;9132;37;33;9726;62;52;13298;40;36;11091;40;25;10505;40;35;15694;32;27;10980;26;16;3900;19;16;2223;22;17;6547;43;37;12714;40;29;8481;39;33;10711;40;34;9565;38;33;11108;30;25;9129;38;33;9723;57;41;13210;41;36;11088;40;29;10523;42;30;15334;37;29;10310;24;15;3900;20;15;2223;23;18;6547;49;42;14193;43;35;8942;42;36;10566;44;38;10538;41;35;9753;31;26;9103;39;34;9696;60;50;14721;41;34;10664;7122,204519491110659;2241926,481780922040343
35;23;34;091;260;Koskela;37;29;10289;28;22;9243;19;13;4130;35;29;9931;35;25;6547;19;13;2635;30;23;6888;47;34;10550;17;14;3611;20;13;3490;21;18;4534;27;18;6449;33;25;6916;52;40;18025;31;27;7766;47;41;9974;24;20;9189;16;12;4130;35;25;10165;35;27;6753;18;10;2636;30;26;6968;47;35;10551;18;15;3576;22;16;3686;22;19;4534;27;23;5726;33;30;6117;55;49;17956;31;27;7732;44;28;10141;21;18;9089;16;12;4130;33;26;10230;37;29;6352;18;13;2636;32;24;6894;45;40;13329;19;16;3576;22;14;3495;22;18;4436;27;24;5721;34;31;6112;52;46;19840;33;28;7727;3867,054206064121445;778772,298747133463621
36;15;35;091;270;Vanhakaupunki;44;33;11717;36;31;11093;22;16;5275;40;31;10810;37;27;7148;28;20;3802;28;24;7493;49;36;11375;16;12;3273;20;14;3083;19;16;4374;24;16;5524;30;23;5980;49;36;17866;29;25;7428;54;37;12455;36;32;10293;23;18;5288;46;32;11060;43;30;6876;28;16;3518;29;23;7484;49;41;11464;17;12;3263;22;18;3200;21;16;4373;26;22;5566;32;28;5957;54;49;17641;30;25;7420;53;39;15641;37;29;10630;26;20;5656;44;34;10850;40;29;7343;28;22;3518;30;23;7484;44;37;13952;18;13;3263;23;15;3127;21;17;4276;29;23;5561;35;29;5898;51;45;19496;32;27;7383;3428,461287611450189;427942,703281894384418
37;27;36;091;281;Pirkkola;35;23;8299;38;32;11532;25;18;5861;23;14;5821;25;18;3716;23;19;4648;36;31;10447;34;29;10534;24;20;6227;32;27;7246;28;25;7343;27;24;7685;36;32;8278;55;50;15240;37;33;8964;39;23;8253;32;28;11258;24;20;6199;24;15;5821;22;15;2763;23;20;4662;36;32;10462;34;27;9191;25;21;6242;32;28;7260;29;26;7352;28;24;7682;36;29;8466;54;44;15275;39;33;8964;43;26;10044;29;25;11208;22;20;5841;24;14;6037;23;16;3467;24;19;4662;39;35;10462;35;27;8506;27;23;6242;35;31;7260;30;27;7335;28;23;7655;36;29;8466;52;42;14334;39;29;9061;4992,069936332277393;979669,121618619421497
38;36;37;091;282;Maunula;23;16;7905;37;31;10284;25;18;4901;23;15;6946;27;21;4566;19;14;4028;32;26;9369;36;30;11996;20;15;5601;28;21;5702;23;18;6710;29;24;7759;35;30;7801;56;47;16966;35;30;9757;32;20;8050;32;28;10336;24;19;4844;26;18;7215;27;18;3613;21;17;4021;34;29;9412;37;29;9858;22;18;5600;30;25;5775;26;17;6502;31;25;7756;38;31;8148;57;42;17002;35;30;9756;32;14;8311;29;24;10286;22;18;4782;25;16;7045;25;19;4322;20;14;4027;35;26;9827;38;29;9360;22;16;5607;30;21;5702;26;17;6501;32;26;7277;37;32;7850;55;45;15189;37;28;9716;5633,356006372051525;1229763,436694098170847
39;42;38;091;293;Pohjois-Haaga;37;18;9679;37;25;12523;27;20;7394;20;12;4628;17;12;1209;20;13;3935;40;32;9875;34;28;9020;32;26;5841;34;25;7149;34;28;6730;25;20;6505;33;28;7099;53;45;14899;34;29;7785;38;18;9823;34;29;12610;26;22;7408;22;14;5112;17;14;1208;18;14;3895;38;34;9695;34;28;8107;32;30;5732;35;27;7234;34;29;7949;24;21;6502;32;27;7096;51;39;14933;36;30;8120;43;26;11980;33;26;12559;27;21;7347;20;14;5158;17;14;1208;19;14;3831;42;36;9630;35;27;7953;36;30;5649;36;26;7161;36;29;7310;24;20;6476;33;26;7287;52;42;13781;35;26;7847;6021,149776087490864;1697376,381274175597355
40;26;39;091;294;Lassila;40;19;9764;37;25;14049;27;20;7982;20;11;3724;7;7;502;20;13;4191;41;33;10342;34;28;8246;34;27;6308;36;29;8344;34;28;8741;27;20;7322;35;28;7894;56;45;14583;38;31;9204;38;19;9909;36;27;13262;28;23;7996;23;14;3591;7;7;502;18;14;4195;38;34;10264;34;23;8107;35;29;9155;35;31;8021;35;29;8756;26;21;7336;34;29;7908;54;39;13210;37;32;9210;43;38;12645;38;26;12991;30;23;7935;20;12;3842;7;7;502;19;14;4230;43;37;10268;36;31;8075;37;31;6774;38;30;8333;37;30;8716;27;21;7371;35;29;7944;53;45;14378;37;30;9232;4708,652258711983450;1038565,419334482401609
41;53;40;091;301;Vanha Munkkiniemi;54;41;15075;41;31;15836;35;29;10613;27;18;3539;22;16;2349;22;17;3699;35;29;9536;16;10;3220;31;25;5330;35;31;6677;30;21;4832;22;19;4304;31;28;4992;41;33;9755;30;27;5624;57;43;15526;42;37;15884;34;29;10896;26;18;3404;21;16;2663;23;18;3700;35;31;9593;20;10;3219;31;27;5566;32;28;6443;29;24;4966;21;17;4295;29;26;4984;44;32;9628;32;28;5660;53;40;14458;42;33;15873;37;33;10628;25;19;3529;19;16;2663;21;17;3594;39;35;10294;17;12;3067;32;28;5425;35;30;7825;31;25;4970;22;18;4295;30;26;4984;33;25;8895;33;25;5786;8065,358931578488409;2966091,179722621571273
42;44;41;091;334;Hakuninmaa;39;25;9589;48;37;15853;40;33;9098;31;26;5968;31;24;6243;30;24;7096;44;38;13312;40;36;11332;40;35;9175;45;39;10483;40;37;10580;30;26;10036;38;34;10608;60;53;20793;40;36;11314;44;23;9452;46;41;12615;33;28;7552;33;22;5456;32;25;6079;28;24;7087;49;41;13254;45;37;11908;42;34;9453;45;40;10104;41;37;10552;32;25;10034;40;31;10628;59;47;14910;44;35;11542;42;22;9470;46;37;12597;36;30;7584;34;26;7310;32;25;5645;29;25;7087;50;41;13526;45;37;10989;43;35;9305;45;37;10324;42;34;10399;31;24;9913;39;31;10800;59;49;17929;41;31;11414;6642,043040382484833;1695427,584767914377153
43;29;42;091;335;Kuninkaantammi;39;25;9127;52;40;14820;42;35;9436;35;29;7945;35;30;7412;35;28;8925;47;41;13571;43;39;12829;43;38;9803;47;39;10821;43;37;10918;33;29;11255;42;37;11848;62;56;22854;43;39;12635;44;23;8990;42;38;12934;29;24;7870;38;25;8046;36;29;7568;34;28;8914;51;43;14013;48;42;13436;45;35;9792;47;41;10811;44;38;10891;34;27;11315;42;33;11991;61;50;17500;46;36;12845;42;22;9008;43;38;12915;28;24;7903;36;28;8019;34;27;8104;35;29;8204;51;43;14004;46;38;12421;45;37;9784;47;38;10802;44;36;10877;33;26;11060;41;33;11863;60;51;23759;43;33;12676;4738,000158794253366;1090100,831178641179577
