municipal,district,name_population,Year,all,finnish_sami,other,swedish,5874358,5878088,5911249,5934892,5934906,5952975,5958354,5961860,5961890,5961894,5968821,5975374,5978639,5980222,5980260,name_district
49,117,Lintumetsä,2017,2662.0,2186.0,411.0,65.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2018,2660.0,2198.0,394.0,68.0,51,47,45,13,22,35,55,26,48,50,47,39,47,44,40,Lintumetsä
49,117,Lintumetsä,2019,2765.0,2269.0,423.0,73.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2020,2832.0,2293.0,463.0,76.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2013,3731.0,2821.0,789.0,121.0,22,30,30,6,9,16,35,12,30,36,31,23,32,32,31,Perkkaa
49,118,Perkkaa,2014,3812.0,2809.0,892.0,111.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2015,3771.0,2730.0,933.0,108.0,21,29,27,6,10,16,37,13,33,35,30,24,32,27,31,Perkkaa
49,118,Perkkaa,2016,3836.0,2668.0,1065.0,103.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2017,3810.0,2628.0,1093.0,89.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2018,4438.0,3072.0,1264.0,102.0,44,28,27,6,10,16,40,17,34,36,32,24,32,31,31,Perkkaa
49,118,Perkkaa,2019,5749.0,3970.0,1620.0,159.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2020,6852.0,4658.0,2031.0,163.0,,,,,,,,,,,,,,,,
49,131,Nuijala,2013,6260.0,4894.0,1096.0,270.0,32,30,31,8,24,18,39,24,34,36,33,25,33,21,28,Nuijala
49,131,Nuijala,2014,6454.0,4942.0,1248.0,264.0,,,,,,,,,,,,,,,,
49,131,Nuijala,2015,6800.0,5132.0,1406.0,262.0,31,30,28,7,23,17,38,24,34,36,33,25,33,19,29,Nuijala
49,131,Nuijala,2016,6920.0,5136.0,1519.0,265.0,,,,,,,,,,,,,,,,
49,131,Nuijala,2017,6920.0,5059.0,1612.0,249.0,,,,,,,,,,,,,,,,
49,131,Nuijala,2018,6895.0,4945.0,1699.0,251.0,46,32,27,7,25,17,42,29,36,37,35,25,33,20,36,Nuijala
49,131,Nuijala,2019,6960.0,4914.0,1807.0,239.0,,,,,,,,,,,,,,,,
49,131,Nuijala,2020,6837.0,4793.0,1813.0,231.0,,,,,,,,,,,,,,,,
49,132,Kuninkainen,2013,2860.0,2031.0,628.0,201.0,37,30,31,8,23,18,39,24,34,36,33,25,33,24,34,Kuninkainen
49,132,Kuninkainen,2014,3009.0,2117.0,676.0,216.0,,,,,,,,,,,,,,,,
49,132,Kuninkainen,2015,3095.0,2081.0,774.0,240.0,32,30,28,7,17,17,38,22,34,36,33,25,33,25,35,Kuninkainen
49,132,Kuninkainen,2016,3157.0,2063.0,861.0,233.0,,,,,,,,,,,,,,,,
49,132,Kuninkainen,2017,3276.0,2133.0,904.0,239.0,,,,,,,,,,,,,,,,
49,132,Kuninkainen,2018,3538.0,2233.0,1044.0,261.0,46,32,27,7,24,17,42,28,36,37,35,25,33,26,36,Kuninkainen
49,132,Kuninkainen,2019,3594.0,2233.0,1108.0,253.0,,,,,,,,,,,,,,,,
49,132,Kuninkainen,2020,3642.0,2229.0,1169.0,244.0,,,,,,,,,,,,,,,,
49,133,Karakallio,2013,5547.0,4361.0,900.0,286.0,37,38,39,11,23,25,49,24,42,44,41,33,41,25,37,Karakallio
