from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5961890;440;30815;129;82;31045;136;120;35006;157;126;35407;58;32813;51;32741;32
5785641;5961890;403;28199;128;81;28440;144;123;35212;163;125;35212;59;33024;51;32952;32
5785642;5961890;404;28278;128;81;28440;147;125;35329;163;127;35329;59;32425;51;30577;32
5785643;5961890;408;28571;135;85;30500;158;129;35622;163;131;35622;59;35571;51;35298;32
5787544;5961890;433;30326;126;80;30505;135;113;34516;144;116;34917;57;32387;50;32315;31
5787545;5961890;434;30395;126;80;30505;135;114;34585;144;117;34986;57;32673;50;32602;31
5787546;5961890;437;30621;126;80;30505;136;117;34811;157;123;35212;58;31451;51;29603;32
5787547;5961890;401;28085;128;81;28440;152;130;35710;161;132;35710;58;31842;51;29994;32
5787548;5961890;398;27860;128;81;28440;149;126;35438;159;128;35438;58;31964;51;30116;32
5787549;5961890;400;27994;128;81;28440;152;130;35730;159;132;35730;59;32207;51;30359;32
5787550;5961890;437;30576;135;85;30500;157;119;46095;157;114;41572;59;35370;51;35096;32
5789447;5961890;394;27559;117;74;27743;92;75;33419;106;76;32150;53;30197;47;30125;28
5789448;5961890;394;27556;117;74;27740;92;76;33440;106;77;32171;53;30562;47;30490;28
5789449;5961890;395;27616;117;74;27876;92;76;33500;106;77;32231;55;30988;48;30916;29
5789450;5961890;437;30562;117;74;27876;136;116;34753;157;122;35154;55;31307;48;31235;29
5789451;5961890;437;30600;126;80;30505;136;117;34791;157;123;35192;57;32634;50;32562;31
5789452;5961890;393;27521;126;80;30505;149;124;32305;152;126;32305;58;31350;50;29502;31
5789453;5961890;394;27557;128;81;28440;149;125;32341;152;127;32341;58;31527;51;29679;32
5789454;5961890;395;27644;128;81;28440;149;126;32428;154;133;36462;58;31791;51;29943;31
5789455;5961890;397;27820;135;85;30533;154;129;32604;159;131;32604;59;32012;51;30164;32
5789456;5961890;435;30415;135;85;30533;151;117;45934;157;112;41412;61;35280;54;35007;36
5791353;5961890;399;27919;115;73;28049;95;80;33779;113;81;32510;53;29788;46;29716;28
5791354;5961890;396;27686;117;74;27586;92;77;33547;113;78;32278;54;30379;47;30307;29
5791355;5961890;389;27209;116;74;27498;87;72;33208;106;73;31939;54;30559;47;30488;28
