from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5975374;455;31876;138;107;32541;146;115;32541;48;31956;42;31994
5785641;5975374;418;29259;132;110;32747;144;118;32747;48;32167;43;32205
5785642;5975374;419;29338;132;112;32865;145;120;32865;55;31568;50;29830
5785643;5975374;423;29632;143;116;33158;149;124;33158;59;34125;54;32386
5787544;5975374;448;31386;120;100;32052;125;108;32052;47;31530;42;31568
5787545;5975374;449;31455;120;101;32121;130;109;32121;50;31817;45;31854
5787546;5975374;453;31681;138;104;32346;136;112;32346;53;30595;47;28856
5787547;5975374;416;29145;140;117;33246;147;125;33246;51;30986;46;29247
5787548;5975374;413;28920;132;113;32973;143;121;32973;50;31107;45;29368
5787549;5975374;415;29054;140;118;33266;147;126;33266;52;31350;47;29611
5787550;5975374;452;31636;198;179;31707;190;182;32541;56;33924;51;32185
5789447;5975374;409;28619;78;61;29285;100;69;29285;42;29341;37;29378
5789448;5975374;409;28616;78;61;29305;100;69;29305;43;29705;38;29743
5789449;5975374;410;28677;78;62;29366;100;70;29366;44;30131;39;30169
5789450;5975374;452;31622;131;104;32288;133;112;32288;48;30450;42;30487
5789451;5975374;452;31661;138;104;32326;136;112;32326;49;31777;44;31815
5789452;5975374;408;28581;132;112;29840;136;120;33926;51;30494;46;28755
5789453;5975374;409;28618;132;112;29876;136;121;33962;50;30671;44;28932
5789454;5975374;410;28704;132;113;29963;137;122;34049;50;30935;45;29196
5789455;5975374;413;28881;136;116;30140;140;125;34225;52;31155;46;29417
5789456;5975374;450;31476;192;177;31546;190;180;32380;54;33834;49;32095
5791353;5975374;414;28979;88;66;29645;100;74;29645;40;28931;35;28969
5791354;5975374;411;28747;78;63;29412;100;71;29412;41;29522;36;29560
5791355;5975374;404;28270;74;58;29074;100;66;29074;42;29703;37;29740
5791356;5975374;405;28332;78;63;29421;100;71;29421;45;30328;40;30365
5791357;5975374;406;28419;88;65;29490;100;73;29490;48;30442;43;30479
5791358;5975374;407;28470;132;110;29729;133;119;33814;51;29988;45;28249
5791359;5975374;404;28272;132;107;29531;133;116;33617;50;30312;44;28573
5791360;5975374;405;28327;132;108;29585;133;117;33671;51;30680;46;28941
5791361;5975374;410;28680;132;113;29939;137;122;34024;53;31034;47;29295
5791362;5975374;414;28991;140;117;30250;147;125;30250;54;31342;49;29603
5791363;5975374;450;31471;192;177;31542;190;179;32375;56;33730;51;31991
5793258;5975374;419;29365;94;71;30030;105;79;30030;43;30195;37;30233
5793259;5975374;415;29065;88;67;29730;105;75;29730;44;30035;39;30073
5793260;5975374;416;29099;88;68;29765;105;76;29765;44;29999;39;30037
5793261;5975374;402;28143;78;61;29209;100;69;29209;42;29780;37;29818
5793262;5975374;401;28038;78;61;29207;100;69;29207;45;30205;39;30242
5793263;5975374;401;28086;88;66;28790;105;74;28790;50;31311;44;31348
5793264;5975374;400;28017;126;104;29276;125;112;33361;51;29933;45;28194
5793265;5975374;401;28057;131;104;29316;128;113;33402;50;30265;44;28526
5793266;5975374;401;28066;131;104;29325;128;113;33411;53;30462;47;28723
5793267;5975374;412;28841;136;115;30100;140;124;34185;56;31257;51;29518
5793268;5975374;418;29238;144;121;30497;147;129;30497;56;31483;51;29744
5793269;5975374;448;31336;192;175;31407;188;178;32240;53;30296;47;28557
5793270;5975374;445;31156;192;173;31226;187;175;32060;55;33184;50;31446
5795164;5975374;421;29440;98;72;30105;105;80;30105;44;30319;39;30357
5795165;5975374;422;29521;98;74;30187;110;82;30187;49;32096;43;32133
5795166;5975374;421;29451;98;73;30117;105;81;30117;49;31945;44;31982
5795167;5975374;397;27817;78;62;28508;100;70;28508;43;30331;38;30368
5795168;5975374;397;27818;78;62;28509;100;70;28509;45;30892;40;30930
5795169;5975374;399;27899;80;64;28603;100;72;28603;48;31115;42;31152
5795170;5975374;396;27747;118;100;29006;120;109;33092;49;29671;43;27932
5795171;5975374;395;27666;113;99;28925;120;107;33010;50;29972;44;28233
5795172;5975374;400;28001;126;103;29259;125;112;33345;52;30415;46;28676
5795173;5975374;403;28229;132;107;29488;132;115;33574;53;30506;48;28767
5795174;5975374;401;28039;126;104;29298;125;113;33383;51;30140;45;28401
5795175;5975374;400;27976;126;103;29235;125;112;33320;52;30276;47;28537
5795176;5975374;446;31192;192;173;31263;188;176;32096;48;29800;43;28061
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5975374;423;29638;100;75;30304;110;83;30304;45;30598;39;30635
5797071;5975374;425;29755;100;77;30421;110;85;30421;47;31998;42;32035
5797072;5975374;399;27908;80;63;28599;100;71;28599;47;31714;41;31752
5797073;5975374;395;27624;78;59;28314;100;67;28314;47;31799;41;31836
5797074;5975374;393;27506;74;58;28210;100;66;28210;44;30663;39;30701
5797075;5975374;396;27714;78;61;28419;100;69;28419;46;30996;41;31034
5797076;5975374;392;27430;111;95;28689;118;103;28689;49;29618;43;27879
5797077;5975374;394;27557;113;97;28816;120;106;32901;53;30051;47;28312
5797078;5975374;398;27891;118;102;29149;122;111;33235;54;30588;49;28849
5797079;5975374;397;27798;118;100;29056;121;109;33142;52;30424;47;28686
5797080;5975374;398;27842;118;101;29101;122;110;33187;48;29635;43;27896
5797081;5975374;398;27829;118;101;29087;121;110;33173;52;30255;46;28516
5797082;5975374;395;27622;132;117;28526;142;125;28526;48;29787;43;28048
5798974;5975374;386;27025;94;66;26451;83;60;26451;36;26741;31;26779
5798975;5975374;429;29998;100;80;30664;110;88;30664;45;30945;40;30982
5798976;5975374;428;29993;100;80;30658;110;88;30658;47;30833;42;30870
5798977;5975374;429;30000;100;80;30665;110;88;30665;48;32038;42;32075
5798978;5975374;392;27439;78;61;28138;100;69;28138;46;31509;41;31546
5798979;5975374;389;27262;74;58;27961;100;66;27961;47;31867;41;31905
5798980;5975374;389;27262;74;58;27961;100;66;27961;45;31027;40;31064
5798981;5975374;393;27534;78;62;28233;100;70;28233;48;31415;42;31452
5798982;5975374;389;27262;110;93;28521;115;101;28521;48;29479;43;27740
5798983;5975374;388;27137;110;91;28396;115;99;28396;50;29419;45;27680
5798984;5975374;388;27130;105;91;28389;115;99;28389;52;29410;47;27671
5798985;5975374;393;27495;112;96;28753;118;104;28753;49;29302;43;27564
5798986;5975374;391;27357;110;94;28616;118;102;28616;49;29568;44;27829
