from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5874358;308;21582;78;50;19358;112;97;22103;127;96;21964;38;22293;34;22293;24
5785641;5874358;271;18966;75;47;16754;120;100;22308;135;99;22170;34;22504;30;22504;21
5785642;5874358;272;19045;75;47;16754;124;102;22426;135;101;22288;34;16987;30;16987;21
5785643;5874358;276;19338;84;53;18814;132;106;22719;135;105;22580;34;24269;30;24273;21
5787544;5874358;301;21093;76;48;18819;112;90;21613;115;89;21474;37;21867;33;21867;23
5787545;5874358;302;21162;76;48;18819;112;91;21682;115;90;21544;37;22154;33;22154;23
5787546;5874358;306;21388;76;48;18819;112;94;21908;127;93;21769;34;16013;29;16013;21
5787547;5874358;269;18852;75;47;16754;128;107;22807;133;106;22669;34;16404;29;16404;21
5787548;5874358;266;18626;75;47;16754;124;103;22535;131;102;22396;34;16525;30;16525;21
5787549;5874358;268;18761;75;47;16754;128;107;22827;131;106;22689;34;16769;30;16769;21
5787550;5874358;294;20576;84;53;18814;155;121;24780;127;84;28130;34;24068;30;24072;21
5789447;5874358;262;18326;64;40;16056;70;52;18846;79;50;18708;33;19678;29;19678;20
5789448;5874358;262;18323;64;40;16053;70;53;18867;79;50;18728;33;20042;29;20042;20
5789449;5874358;263;18384;64;41;16189;70;54;18927;79;51;18789;34;20468;30;20468;21
5789450;5874358;305;21329;64;41;16189;112;93;21850;127;92;21711;34;20787;30;20787;21
5789451;5874358;305;21367;76;48;18819;112;94;21888;127;93;21749;37;22114;33;22114;23
5789452;5874358;261;18288;76;48;18819;124;101;19402;125;101;19263;33;15912;29;15912;21
5789453;5874358;262;18324;75;47;16754;124;102;19438;125;101;19299;34;16089;29;16089;21
5789454;5874358;263;18411;75;47;16754;124;105;19525;127;106;22678;34;16353;29;16353;21
5789455;5874358;266;18588;84;53;18847;128;106;19701;131;105;19562;34;16574;30;16574;22
5789456;5874358;292;20416;84;53;18847;148;119;24619;127;82;27969;40;23978;36;23982;26
