from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5968821;449;31420;130;82;31646;137;119;34036;158;127;34036;61;32511;54;32549;33
5785641;5968821;411;28803;129;82;29042;144;122;34242;164;125;34242;62;32722;54;32759;33
5785642;5968821;413;28882;129;82;29042;148;124;34360;164;127;34360;62;32123;54;30384;33
5785643;5968821;417;29175;138;87;31101;159;128;34653;164;131;34653;62;34680;54;36373;33
5787544;5968821;442;30930;127;81;31107;135;112;33547;146;120;33547;60;32085;53;32123;32
5787545;5968821;443;30999;127;81;31107;135;113;33616;146;121;33616;60;32372;53;32409;32
5787546;5968821;446;31225;127;81;31107;137;116;33842;158;124;33842;62;31150;54;29411;33
5787547;5968821;410;28689;129;82;29042;153;129;34741;162;132;34741;62;31541;54;29802;33
5787548;5968821;407;28464;129;82;29042;150;125;34469;159;128;34469;62;31662;54;29923;33
5787549;5968821;409;28598;129;82;29042;153;129;34761;160;132;34761;62;31905;54;30166;33
5787550;5968821;445;31180;138;87;31101;158;119;45126;161;119;42666;62;34479;54;36172;33
5789447;5968821;402;28163;118;75;28344;93;73;30780;111;82;33244;56;29896;49;29933;30
5789448;5968821;402;28160;118;75;28341;93;73;30801;111;82;33264;56;30260;49;30298;30
5789449;5968821;403;28221;118;75;28477;93;74;30861;111;83;33325;57;30686;50;30724;30
5789450;5968821;445;31166;118;75;28477;137;115;33783;158;123;33783;57;31005;50;31042;30
5789451;5968821;446;31205;127;81;31107;137;116;33822;158;124;33822;60;32332;53;32370;32
5789452;5968821;402;28125;127;81;31107;150;123;31336;152;126;31336;61;31049;53;29310;33
5789453;5968821;402;28162;129;82;29042;150;124;31372;152;127;31372;62;31226;54;29487;33
5789454;5968821;404;28248;129;82;29042;150;125;31459;154;132;35492;61;31489;54;29751;33
5789455;5968821;406;28425;138;87;31134;155;128;31635;159;131;31635;62;31710;54;29971;33
5789456;5968821;443;31020;138;87;31134;152;117;44965;162;116;42505;65;34389;57;36082;38
5791353;5968821;407;28523;116;74;28650;96;78;31140;117;86;31140;56;29486;49;29523;29
5791354;5968821;404;28291;117;74;28187;93;74;30908;117;82;30908;57;30077;50;30115;30
5791355;5968821;397;27814;117;74;28100;88;70;30569;111;79;33033;57;30258;50;30295;30
5791356;5968821;398;27876;117;74;28048;93;74;30917;117;82;30917;58;30883;50;30920;30
5791357;5968821;399;27963;118;75;28477;96;77;30985;117;85;30985;57;30997;50;31034;30
5791358;5968821;400;28014;118;75;28477;146;122;31224;149;125;31224;57;30543;50;28804;30
5791359;5968821;397;27816;118;75;28477;140;119;31027;141;126;35060;61;30867;53;29128;33
5791360;5968821;398;27871;129;82;29042;143;120;31081;144;123;31081;61;31235;53;29496;33
5791361;5968821;403;28224;138;87;31134;150;125;31434;152;128;31434;61;31589;53;29850;33
5791362;5968821;408;28535;138;87;31134;155;129;31745;160;132;31745;62;31897;54;30158;33
5791363;5968821;443;31015;138;87;31134;152;117;44960;162;116;42500;65;34285;57;35978;38
5793258;5968821;413;28909;120;76;29145;106;83;31526;123;91;31526;58;30750;51;30788;31
5793259;5968821;409;28609;120;76;29088;99;79;31226;117;87;31226;57;30590;50;30628;30
5793260;5968821;409;28643;119;75;28674;99;79;31260;117;87;31260;57;30554;50;30592;30
5793261;5968821;396;27687;116;74;27835;93;73;30705;111;83;33169;57;30335;50;30372;30
5793262;5968821;394;27582;116;74;27877;93;73;30703;111;83;33167;58;30760;50;30797;30
5793263;5968821;395;27630;116;74;27877;101;78;30286;117;86;30286;58;31866;51;31903;30
5793264;5968821;394;27561;115;73;27589;140;115;30771;138;122;34805;61;30487;53;28748;32
5793265;5968821;394;27601;115;73;27527;140;116;30812;140;123;34845;61;30820;53;29081;32
5793266;5968821;394;27610;121;76;27571;140;116;30821;140;123;34854;61;31017;53;29278;33
5793267;5968821;405;28385;121;76;27571;153;127;31595;158;130;31595;61;31812;53;30073;33
5793268;5968821;411;28782;138;87;31134;164;144;31993;164;136;31993;62;32038;54;30299;33
5793269;5968821;441;30880;135;86;30654;166;126;45641;161;126;43182;65;30851;57;29112;38
5793270;5968821;439;30700;135;86;30654;160;124;45460;161;123;43001;65;33739;57;36177;38
5795164;5968821;414;28984;120;76;29088;107;84;31601;123;92;31601;58;30874;51;30912;31
5795165;5968821;415;29065;120;76;29088;109;85;31682;123;93;31682;58;32650;51;32688;31
5795166;5968821;414;28995;116;73;27564;107;84;31612;123;92;31612;61;32500;53;32537;33
5795167;5968821;391;27361;116;74;27801;93;74;30004;117;82;30004;58;30885;51;30923;31
5795168;5968821;391;27362;115;73;27589;93;74;30004;117;82;30004;59;31447;52;31485;32
5795169;5968821;392;27443;115;73;27589;93;75;30099;117;83;30099;59;31670;52;31707;32
5795170;5968821;390;27291;115;73;27527;140;112;30501;136;118;34535;59;30226;52;28487;31
5795171;5968821;389;27210;115;73;27429;140;110;30420;136;117;34454;61;30527;53;28788;32
5795172;5968821;393;27545;121;76;27571;140;115;30755;138;122;34788;61;30970;53;29231;33
5795173;5968821;397;27773;121;76;27571;140;118;30983;140;125;35017;61;31060;53;29321;33
5795174;5968821;394;27583;121;76;27571;140;116;30793;138;123;34827;61;30694;54;28955;33
5795175;5968821;393;27520;121;76;27571;140;115;30730;138;122;34764;61;30831;54;29092;33
5795176;5968821;439;30736;118;75;27382;160;124;45497;161;124;43038;62;30355;54;28616;34
5797069;5968821;399;27942;113;72;27959;127;89;29618;132;117;31063;-1;-1;-1;-1;-1
5797070;5968821;417;29182;113;72;27959;109;87;31799;123;95;31799;58;31153;51;31190;32
