from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5958354;486;33992;144;125;40281;53;34530
5785641;5958354;448;31375;150;128;40487;53;34847
5785642;5958354;449;31455;150;129;40604;55;35031
5785643;5958354;454;31748;160;134;40898;56;39137
5787544;5958354;479;33503;138;119;35959;60;35247
5787545;5958354;480;33572;138;120;36029;60;35238
5787546;5958354;-1;-1;-1;-1;-1;53;34057
5787547;5958354;447;31262;157;135;40986;51;34448
5787548;5958354;443;31037;149;131;40713;50;34570
5787549;5958354;445;31171;157;135;41006;52;34813
5787550;5958354;457;31961;205;192;40280;53;38936
5789447;5958354;439;30735;94;79;33192;55;34856
5789448;5958354;439;30733;99;79;33214;55;34589
5789449;5958354;-1;-1;-1;-1;-1;55;34832
5789450;5958354;-1;-1;-1;-1;-1;59;35150
5789451;5958354;-1;-1;-1;-1;-1;54;34065
5789452;5958354;439;30697;148;130;37580;52;33957
5789453;5958354;439;30733;148;131;37616;50;34133
5789454;5958354;440;30821;149;131;33785;50;34397
5789455;5958354;443;30997;149;134;37880;52;34618
5789456;5958354;454;31801;202;190;40120;51;38846
5791353;5958354;444;31096;104;84;33553;55;35146
5791354;5958354;441;30864;99;81;33321;54;34843
5791355;5958354;434;30387;94;76;32982;53;34403
5791356;5958354;435;30448;99;81;33330;55;34556
5791357;5958354;-1;-1;-1;-1;-1;59;35142
5791358;5958354;-1;-1;-1;-1;-1;52;33451
5791359;5958354;434;30389;144;126;37271;50;33774
5791360;5958354;435;30443;144;126;37326;52;34142
5791361;5958354;440;30797;149;132;37680;53;34497
5791362;5958354;444;31108;157;136;37990;54;34805
5791363;5958354;454;31796;202;190;40115;53;38742
5793258;5958354;450;31481;111;90;33938;55;35491
5793259;5958354;445;31181;107;86;33638;57;35356
5793260;5958354;446;31215;107;86;33672;56;34769
5793261;5958354;432;30259;99;80;33117;53;34279
5793262;5958354;431;30154;99;80;33115;55;34378
5793263;5958354;-1;-1;-1;-1;-1;58;34283
5793264;5958354;-1;-1;-1;-1;-1;52;33395
5793265;5958354;431;30174;138;121;33138;50;33728
5793266;5958354;431;30183;138;122;33147;53;33925
5793267;5958354;-1;-1;-1;-1;-1;56;34720
5793268;5958354;-1;-1;-1;-1;-1;57;34946
5793269;5958354;-1;-1;-1;-1;-1;54;33758
5793270;5958354;456;31916;197;185;39800;53;38953
5795164;5958354;451;31556;111;91;34013;57;35640
5795165;5958354;452;31638;111;92;34095;55;34307
5795166;5958354;-1;-1;-1;-1;-1;55;34156
5795167;5958354;428;29933;99;81;32415;52;33777
5795168;5958354;428;29934;99;81;32417;53;33865
5795169;5958354;429;30015;104;82;32511;56;34087
5795170;5958354;427;29863;138;119;32913;49;33134
5795171;5958354;425;29783;137;118;32833;50;33435
5795172;5958354;430;30117;138;121;33081;53;33877
5795173;5958354;-1;-1;-1;-1;-1;54;33968
5795174;5958354;431;30156;138;121;33120;52;33602
5795175;5958354;430;30092;138;120;33056;53;33739
5795176;5958354;456;31952;199;186;39836;50;33263
5797069;5958354;436;30514;110;98;31566;36;31932
5797070;5958354;454;31754;120;94;34211;57;35918
5797071;5958354;455;31871;124;95;34328;53;34209
5797072;5958354;-1;-1;-1;-1;-1;53;33925
5797073;5958354;425;29740;94;78;32222;52;34010
5797074;5958354;423;29623;94;76;32118;52;33636
5797075;5958354;426;29831;94;79;32327;54;33969
5797076;5958354;422;29547;136;115;32597;50;33081
