from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5911249;393;27543;108;69;25507;126;111;35053;142;111;35053;53;31236;46;31397;30
5785641;5911249;356;24927;105;66;22903;134;114;35259;150;114;35259;49;31447;43;31608;28
5785642;5911249;357;25006;105;66;22903;138;116;35377;150;116;35377;49;30848;43;24261;28
5785643;5911249;361;25299;101;64;23996;146;120;35670;150;120;35670;50;28448;43;28448;28
5787544;5911249;386;27054;105;67;24968;126;104;34564;130;104;34564;52;30810;45;30971;29
5787545;5911249;387;27123;105;67;24968;126;105;34633;130;105;34633;52;31096;45;31257;29
5787546;5911249;391;27349;105;67;24968;126;109;34858;142;109;34858;49;29874;42;23287;28
5787547;5911249;354;24813;105;66;22903;142;122;35758;149;122;35758;49;30265;42;23678;28
5787548;5911249;351;24588;105;66;22903;138;118;35485;147;118;35485;49;30387;42;23799;28
5787549;5911249;353;24722;105;66;22903;142;122;35778;147;122;35778;50;30630;43;24043;28
5787550;5911249;349;24447;101;64;23996;149;104;33430;147;104;33115;50;28246;43;28246;28
5789447;5911249;347;24287;94;59;22206;84;67;31797;94;65;31797;48;28620;41;28781;26
5789448;5911249;347;24284;94;59;22203;84;67;31817;94;65;31817;48;28985;41;29146;26
5789449;5911249;348;24344;94;59;22339;84;68;31878;94;66;31878;49;29411;42;29572;27
5789450;5911249;390;27290;94;59;22339;126;108;34800;142;108;34800;49;29730;42;29890;27
5789451;5911249;390;27328;105;67;24968;126;108;34838;142;108;34838;52;31057;45;31218;29
5789452;5911249;346;24249;105;67;24968;139;116;32352;141;116;32352;49;29774;42;23186;28
5789453;5911249;347;24285;105;66;22903;139;116;32388;141;116;32388;49;29950;42;23363;28
5789454;5911249;348;24372;105;66;22903;139;120;32475;143;122;35767;49;30214;42;23627;28
5789455;5911249;351;24548;101;64;24029;142;120;32652;147;120;32652;50;30435;43;23848;28
5789456;5911249;347;24286;101;64;24029;141;102;33269;147;102;32955;52;28157;46;28157;32
5791353;5911249;352;24647;98;62;23256;87;72;32157;100;70;32157;47;28211;41;28372;26
5791354;5911249;349;24414;93;59;22048;84;69;31924;100;67;31924;49;28802;42;28963;27
5791355;5911249;342;23937;93;59;21961;78;64;31586;94;62;31586;48;28982;42;29143;26
5791356;5911249;343;23999;93;59;21909;84;69;31934;100;67;31934;49;29608;42;29768;27
5791357;5911249;344;24087;94;59;22339;87;72;32002;100;70;32002;49;29722;42;29882;27
5791358;5911249;345;24138;94;59;22339;135;114;32241;139;114;32241;49;29268;42;22681;27
5791359;5911249;342;23940;94;59;22339;126;111;32043;129;111;32043;49;29591;42;23004;28
5791360;5911249;343;23994;105;66;22903;130;112;32098;133;112;32098;49;29959;42;23372;28
5791361;5911249;348;24348;101;64;24029;139;117;32451;141;117;32451;49;30314;42;23726;28
5791362;5911249;352;24659;101;64;24029;143;122;32762;147;122;32762;49;30622;43;24035;28
5791363;5911249;347;24281;101;64;24029;141;102;33264;147;102;32950;52;28052;46;28052;32
5793258;5911249;358;25032;96;61;23006;98;76;32543;106;76;32543;49;29475;43;29636;27
5793259;5911249;353;24732;96;61;22950;91;71;32242;100;71;32242;49;29315;42;29476;27
5793260;5911249;354;24767;95;60;22536;91;72;32277;100;72;32277;49;29279;42;29440;27
5793261;5911249;340;23810;92;58;21696;84;68;31721;94;66;31721;49;29060;42;29221;27
5793262;5911249;339;23706;92;58;21738;84;68;31719;94;66;31719;49;29485;42;29645;27
5793263;5911249;339;23753;92;58;21738;91;70;31302;100;70;31302;49;30590;42;30751;27
5793264;5911249;338;23685;91;58;21450;126;108;31788;126;108;31788;48;29212;41;22625;27
5793265;5911249;339;23725;91;58;21388;126;108;31828;128;108;31828;48;29545;41;22957;27
5793266;5911249;339;23734;96;61;21433;126;109;31837;128;109;31837;48;29742;42;23154;28
5793267;5911249;350;24509;96;61;21433;142;120;32612;146;120;32612;48;30537;42;23949;28
5793268;5911249;356;24906;101;64;24029;151;125;33009;150;125;33009;49;30763;43;24176;28
5793269;5911249;351;24582;102;64;23990;157;112;33945;147;112;33631;52;29575;46;22988;32
5793270;5911249;349;24402;102;64;23990;149;109;33765;147;109;33450;52;28161;46;28251;32
5795164;5911249;359;25107;96;61;22950;98;77;32618;106;77;32618;49;29599;42;29760;27
5795165;5911249;360;25189;96;61;22950;98;78;32699;106;78;32699;49;31375;42;31536;27
5795166;5911249;359;25119;91;58;21426;98;77;32629;106;77;32629;50;31225;43;31385;28
5795167;5911249;335;23485;92;58;21663;84;68;31020;100;66;31020;49;29610;42;29771;27
5795168;5911249;336;23486;91;58;21450;84;68;31021;100;66;31021;49;30172;43;30333;28
5795169;5911249;337;23566;91;58;21450;84;70;31115;100;68;31115;49;30394;43;30555;28
