from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5961860;430;30070;151;125;35836;164;130;35836;51;34133;45;34133
5785641;5961860;406;28389;148;128;36042;162;133;36042;51;34344;45;34344
5785642;5961860;407;28468;148;130;36160;163;135;36160;58;33745;52;31968
5785643;5961860;411;28761;158;134;36453;167;139;36453;62;36302;56;34525
5787544;5961860;423;29581;135;118;35347;143;123;35347;50;33707;44;33707
5787545;5961860;424;29650;135;119;35416;148;124;35416;53;33993;47;33993
5787546;5961860;427;29876;151;123;35642;154;128;35642;55;32771;49;30995
5787547;5961860;404;28275;156;135;36541;164;140;36541;54;33162;48;31386
5787548;5961860;401;28050;149;131;36268;160;136;36268;53;33284;47;31507
5787549;5961860;403;28184;156;136;36561;164;141;36561;55;33527;49;31750
5787550;5961860;440;30766;214;196;35002;206;197;35836;59;36100;53;34324
5789447;5961860;390;27306;93;75;30122;113;84;32580;45;31517;40;31517
5789448;5961860;394;27587;93;75;30142;113;84;32600;46;31882;40;31882
5789449;5961860;397;27806;93;76;30202;114;85;32661;47;32308;41;32308
5789450;5961860;426;29817;145;122;35583;151;127;35583;50;32626;45;32626
5789451;5961860;427;29855;151;122;35621;154;127;35621;52;33954;46;33954
5789452;5961860;396;27711;149;130;33135;154;135;33135;54;32670;48;30894
5789453;5961860;396;27747;149;130;33172;154;135;33172;53;32847;47;31071
5789454;5961860;398;27834;149;131;33258;155;140;33258;53;33111;47;31335
5789455;5961860;400;28011;153;134;33435;158;139;33435;55;33332;49;31555
5789456;5961860;437;30606;208;193;34842;206;195;35675;57;36011;51;34234
5791353;5961860;398;27852;104;84;32940;114;89;32940;43;31108;38;31108
5791354;5961860;395;27620;93;77;30249;113;86;32708;44;31699;39;31699
5791355;5961860;391;27400;89;72;29910;113;81;32369;45;31879;39;31879
5791356;5961860;392;27461;93;77;30258;114;86;32717;48;32504;42;32504
5791357;5961860;394;27549;104;83;32785;116;88;32785;51;32618;45;32618
5791358;5961860;394;27600;149;128;33024;152;133;33024;54;32165;48;30388
5791359;5961860;391;27402;149;125;32826;152;130;32826;52;32488;46;30712
5791360;5961860;392;27456;149;126;32881;152;131;32881;54;32856;48;31080
5791361;5961860;397;27810;149;131;33234;155;136;33234;56;33210;50;31434
5791362;5961860;402;28121;157;136;33545;164;141;33545;57;33519;51;31742
5791363;5961860;437;30600;208;193;34837;206;195;35670;59;35906;53;34130
5793258;5961860;403;28238;109;89;33326;120;94;33326;45;32372;40;32372
5793259;5961860;399;27938;104;85;33026;119;90;33026;47;32212;41;32212
5793260;5961860;400;27972;104;86;33060;119;91;33060;47;32176;42;32176
5793261;5961860;390;27272;93;76;30046;114;84;32504;45;31956;39;31956
5793262;5961860;388;27168;93;76;30044;116;84;32503;48;32381;42;32381
5793263;5961860;389;27216;104;84;32085;121;89;32085;53;33487;47;33487
5793264;5961860;388;27147;142;122;32571;143;127;32571;54;32109;48;30333
5793265;5961860;388;27187;148;122;32611;146;127;32611;53;32442;47;30665
5793266;5961860;389;27196;148;122;32620;146;127;32620;56;32639;50;30862
5793267;5961860;400;27971;152;133;33395;158;138;33395;59;33434;53;31657
5793268;5961860;405;28368;161;139;33792;164;144;33792;59;33660;53;31883
5793269;5961860;435;30466;208;191;34702;204;193;35536;55;32472;49;30696
5793270;5961860;433;30285;208;189;34522;203;190;35355;58;35361;52;33585
5795164;5961860;404;28313;113;91;33401;120;96;33401;47;32496;41;32496
5795165;5961860;406;28394;114;92;33482;125;97;33482;52;34272;46;34272
5795166;5961860;405;28324;113;91;33412;120;96;33412;52;34121;46;34121
5795167;5961860;385;26947;93;76;29345;116;85;31803;46;32507;41;32507
5795168;5961860;385;26948;93;76;29346;116;85;31804;48;33069;42;33069
5795169;5961860;386;27028;96;78;29440;116;87;31898;51;33291;45;33291
5795170;5961860;384;26877;135;118;32301;138;123;32301;51;31848;45;30071
5795171;5961860;383;26796;129;117;32220;138;122;32220;53;32149;47;30372
5795172;5961860;388;27130;142;121;32555;143;126;32555;55;32591;49;30815
5795173;5961860;391;27359;149;125;32783;150;130;32783;56;32682;50;30906
