from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5980222;489;34216;166;141;44874;178;151;44874;55;41342;48;41342
5785641;5980222;469;32805;164;143;45080;178;153;45080;56;41553;49;41553
5785642;5980222;470;32885;164;145;45198;179;155;45198;63;40954;56;39178
5785643;5980222;474;33178;173;149;45491;184;159;45491;67;43511;60;41734
5787544;5980222;482;33726;150;134;44385;159;144;44385;55;40916;48;40916
5787545;5980222;483;33795;150;135;44454;164;145;44454;57;41203;50;41203
5787546;5980222;486;34021;166;138;44680;170;148;44680;60;39980;53;38204
5787547;5980222;467;32691;172;151;45579;181;161;45579;59;40372;52;38595
5787548;5980222;464;32466;165;147;45307;177;157;45307;58;40493;51;38717
5787549;5980222;466;32600;172;151;45599;181;161;45599;60;40736;53;38960
5787550;5980222;503;35183;231;213;44041;223;215;44575;64;43310;57;41533
5789447;5980222;449;31452;111;90;41442;130;104;41618;50;38726;43;38726
5789448;5980222;453;31732;111;90;41462;130;104;41638;51;39091;44;39091
5789449;5980222;458;32080;111;91;41523;132;105;41699;52;39517;45;39517
5789450;5980222;485;33962;160;137;44621;167;147;44621;55;39836;48;39836
5789451;5980222;486;34001;166;137;44660;170;147;44660;57;41163;50;41163
5789452;5980222;459;32128;165;145;42173;169;153;46083;59;39880;52;38103
5789453;5980222;459;32164;165;145;42210;169;153;46119;58;40057;50;38280
5789454;5980222;461;32251;165;147;42297;171;155;46206;58;40320;51;38544
5789455;5980222;463;32427;169;149;42473;174;157;46382;59;40541;52;38765
5789456;5980222;500;35022;225;210;43880;223;213;44414;62;43220;55;41443
5791353;5980222;457;31997;121;99;41978;132;109;41978;48;38317;41;38317
5791354;5980222;454;31765;111;92;41569;130;106;41746;49;38908;42;38908
5791355;5980222;454;31794;106;87;41230;130;101;41407;50;39089;43;39089
5791356;5980222;455;31878;111;92;41578;132;106;41755;53;39714;46;39714
5791357;5980222;457;31965;121;99;41823;133;109;41823;56;39828;49;39828
5791358;5980222;457;32016;165;143;42062;167;151;45972;59;39374;51;37598
5791359;5980222;455;31819;165;141;41864;167;148;45774;57;39697;50;37921
5791360;5980222;455;31873;165;141;41919;167;149;45828;59;40065;52;38289
5791361;5980222;460;32226;165;146;42272;171;154;46182;61;40420;53;38643
5791362;5980222;465;32537;173;151;42583;181;161;42583;62;40728;55;38952
5791363;5980222;500;35017;225;210;43875;223;213;44409;64;43116;57;41339
5793258;5980222;463;32383;126;105;42364;138;115;42364;50;39581;43;39581
5793259;5980222;458;32083;121;100;42064;137;110;42064;51;39421;45;39421
5793260;5980222;459;32118;121;101;42098;137;111;42098;52;39385;45;39385
5793261;5980222;453;31689;111;91;41366;132;105;41543;50;39166;43;39166
5793262;5980222;451;31584;111;91;41364;132;105;41541;52;39591;45;39591
5793263;5980222;452;31632;121;99;41124;141;109;41124;57;40697;50;40697
5793264;5980222;451;31563;159;137;41609;160;145;45519;58;39318;51;37542
5793265;5980222;451;31604;164;137;41650;163;145;45559;58;39651;50;37874
5793266;5980222;452;31613;164;138;41659;163;145;45568;60;39848;53;38071
5793267;5980222;463;32387;168;149;42433;174;157;46343;64;40643;57;38866
5793268;5980222;468;32785;177;154;42831;181;164;42831;64;40869;57;39093
5793269;5980222;498;34882;225;208;43740;221;211;44275;60;39681;53;37905
5793270;5980222;496;34702;225;206;43560;219;208;44094;63;42570;56;40794
5795164;5980222;464;32458;130;106;42439;138;116;42439;51;39705;45;39705
5795165;5980222;465;32540;131;107;42520;143;117;42520;56;41481;49;41481
5795166;5980222;464;32470;130;106;42450;138;116;42450;57;41331;49;41331
5795167;5980222;448;31363;111;92;40665;133;105;40841;51;39716;44;39716
5795168;5980222;448;31364;111;92;40666;133;105;40842;53;40278;46;40278
5795169;5980222;449;31445;113;93;40760;136;107;40936;55;40500;48;40500
5795170;5980222;447;31293;151;133;41339;155;141;45249;56;39057;49;37281
5795171;5980222;446;31212;146;132;41258;155;140;45168;57;39358;50;37582
5795172;5980222;451;31547;159;137;41593;160;145;45502;60;39800;52;38024
5795173;5980222;454;31775;165;140;41821;166;148;45731;61;39891;54;38115
5795174;5980222;451;31585;159;137;41631;160;145;45540;58;39525;51;37749
5795175;5980222;450;31522;159;136;41568;160;144;45478;60;39662;53;37886
5795176;5980222;496;34738;225;206;43596;220;209;44130;56;39186;49;37409
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5980222;467;32657;133;109;42637;145;119;42637;52;39984;45;39984
5797071;5980222;468;32774;133;110;42754;146;120;42754;55;41384;48;41384
5797072;5980222;449;31455;113;93;40756;136;107;40933;55;41100;47;41100
5797073;5980222;445;31170;111;89;40471;135;103;40648;54;41185;47;41185
5797074;5980222;444;31052;106;87;40367;136;101;40543;52;40049;45;40049
5797075;5980222;447;31260;111;90;40576;136;104;40752;54;40382;47;40382
5797076;5980222;443;30976;144;129;41022;153;139;41022;57;39004;49;37228
5797077;5980222;444;31103;146;130;41149;155;138;45059;60;39436;53;37660
5797078;5980222;449;31437;151;135;41483;157;143;45392;62;39974;55;38197
5797079;5980222;448;31344;151;134;41390;156;142;45300;60;39810;53;38034
5797080;5980222;448;31389;151;134;41435;157;142;45344;56;39021;49;37245
5797081;5980222;448;31375;151;134;41421;156;142;45330;60;39641;52;37865
5797082;5980222;445;31168;165;150;40860;174;160;40860;55;39173;48;37396
5798974;5980222;416;29115;118;92;37822;103;75;32410;44;36127;37;36127
5798975;5980222;472;33017;133;114;42997;146;124;42997;53;40331;46;40331
5798976;5980222;472;33011;133;114;42992;146;124;42992;55;40218;48;40218
5798977;5980222;472;33018;133;114;42999;146;124;42999;56;41424;48;41424
5798978;5980222;443;30985;111;90;40295;136;104;40471;54;40895;47;40895
5798979;5980222;440;30808;106;87;40118;136;101;40294;54;41253;47;41253
5798980;5980222;440;30808;106;87;40118;136;101;40295;53;40413;46;40413
5798981;5980222;444;31080;111;91;40390;136;105;40566;55;40801;48;40801
5798982;5980222;440;30809;143;126;40855;150;134;44764;56;38865;49;37088
5798983;5980222;438;30683;143;124;40729;150;132;44639;58;38805;51;37028
5798984;5980222;438;30676;138;124;40722;150;132;44632;60;38796;53;37020
5798985;5980222;443;31041;145;129;41087;153;139;41087;57;38688;49;36912
5798986;5980222;441;30903;143;127;40949;153;137;40949;57;38954;50;37178
5798987;5980222;445;31159;146;131;41205;155;139;45114;59;39414;52;37637
5798988;5980222;439;30753;157;144;40444;164;154;40444;55;38648;48;36872
5800879;5980222;409;28619;102;81;37119;87;67;31914;43;35848;37;35848
5800880;5980222;413;28898;108;85;37397;95;71;32193;43;36123;37;36123
5800881;5980222;475;33222;133;117;43202;151;127;43202;41;35751;36;35751
5800882;5980222;441;30896;133;113;41241;146;123;41241;59;42926;52;42926
5800883;5980222;442;30932;133;113;41276;146;123;41276;58;42703;51;42703
5800884;5980222;441;30854;111;88;40187;136;102;40364;54;40711;46;40711
5800885;5980222;437;30590;104;85;39960;136;99;40137;53;40414;46;40414
5800886;5980222;435;30442;106;87;40104;136;101;40280;55;40705;48;40705
5800887;5980222;437;30562;111;91;40377;136;105;40554;56;40789;48;40789
5800888;5980222;429;30020;132;115;40066;141;123;43975;55;37981;48;36204
5800889;5980222;435;30424;138;121;40470;146;128;44379;56;38570;49;36793
5800890;5980222;436;30500;138;122;40545;146;130;44455;58;38482;51;36706
5800891;5980222;439;30710;143;125;40756;150;133;44666;55;38359;48;36583
5800892;5980222;438;30647;138;124;40693;150;132;44603;57;38833;50;37057
5800893;5980222;440;30809;143;126;40854;150;134;44764;59;39374;51;37598
5800894;5980222;438;30662;152;143;40353;164;153;40353;55;38654;48;36878
5800895;5980222;435;30422;149;139;40114;161;149;40114;55;38555;48;36778
5802783;5980222;407;28520;97;80;37020;87;66;31816;44;35845;38;35845
5802784;5980222;406;28401;97;78;36901;85;64;31697;45;35816;39;35816
5802785;5980222;410;28680;102;82;37180;87;68;31975;39;35322;34;35322
5802786;5980222;443;31034;133;115;41378;149;125;41378;41;35504;35;35504
5802787;5980222;440;30796;133;111;41141;146;121;41141;57;42737;49;42737
5802788;5980222;437;30598;133;109;40943;146;119;40943;57;42490;49;42490
5802789;5980222;437;30599;133;109;40943;146;119;40943;55;40952;48;40952
5802790;5980222;438;30668;111;89;40210;136;103;40386;54;40475;46;40475
5802791;5980222;431;30169;106;88;39567;136;102;39744;54;40748;47;40748
5802792;5980222;434;30406;111;91;39804;136;105;39980;54;41051;47;41051
5802793;5980222;426;29792;131;112;39838;140;119;43747;55;37922;47;36145
5802794;5980222;430;30127;133;116;40173;145;124;44083;55;38207;47;36431
5802795;5980222;430;30128;133;116;40174;145;124;44083;54;38208;47;36431
5802796;5980222;432;30241;137;118;40287;146;126;44197;56;38404;49;36628
5802797;5980222;437;30603;138;123;40648;147;131;44558;57;38725;50;36948
5802798;5980222;440;30777;143;126;40823;150;134;44732;58;38467;51;36691
5802799;5980222;430;30105;145;135;39796;152;145;39796;53;37968;46;36192
5802800;5980222;429;30026;144;133;39717;150;143;39717;54;38136;47;36359
5802801;5980222;434;30394;149;139;40086;158;149;40086;55;38495;48;36718
5804689;5980222;405;28355;96;77;36855;83;64;31650;43;35536;37;35536
5804690;5980222;403;28184;91;75;36684;79;61;31479;44;35528;38;35528
5804691;5980222;405;28384;102;82;37208;87;69;32004;43;35512;38;35512
5804692;5980222;408;28577;108;85;37400;95;71;32196;47;35951;41;35951
5804693;5980222;440;30797;133;112;41142;146;122;41142;58;42801;51;42801
5804694;5980222;434;30358;127;105;40702;141;115;40702;57;42406;49;42406
5804695;5980222;433;30284;125;104;40628;141;114;40628;54;41039;47;41039
5804696;5980222;429;30008;106;86;39432;136;100;39609;55;41488;47;41488
5804697;5980222;428;29940;100;84;39338;136;98;39514;54;41084;47;41084
5804698;5980222;435;30468;111;92;39866;136;106;40042;54;41152;47;41152
5804699;5980222;422;29570;131;108;39616;137;116;43525;54;37638;46;35862
5804700;5980222;422;29528;131;108;39574;137;116;43483;54;37578;47;35802
5804701;5980222;425;29778;131;111;39824;140;119;43733;56;37967;49;36191
5804702;5980222;426;29842;131;112;39888;140;120;43797;55;37786;48;36009
5804703;5980222;428;29991;132;114;40037;141;122;43947;54;37960;47;36184
5804704;5980222;431;30139;133;117;40185;145;124;44095;57;38359;49;36583
5804705;5980222;427;29861;140;131;39552;150;141;39552;53;37782;46;36006
5804706;5980222;426;29822;140;131;39513;150;141;39513;56;38071;49;36295
5804707;5980222;430;30096;145;134;39787;152;144;39787;58;38584;51;36808
5806593;5980222;405;28369;90;78;36869;83;64;31665;44;35633;37;35633
5806594;5980222;400;28000;89;72;36500;77;59;31295;43;35286;37;35286
5806595;5980222;400;27966;91;72;36466;77;58;31262;42;35168;36;35168
5806596;5980222;402;28151;97;79;36974;87;65;31770;40;34895;34;34895
5806597;5980222;408;28526;105;84;37350;95;71;32145;44;35804;38;35804
5806598;5980222;412;28836;115;92;37867;103;75;32456;44;36036;39;36036
5806599;5980222;431;30195;121;103;40539;141;113;40539;56;42157;48;42157
5806600;5980222;428;29967;121;100;40311;140;110;40311;57;42014;49;42014
5806601;5980222;425;29768;106;87;39545;136;101;39722;55;41409;47;41409
5806602;5980222;429;30050;106;86;39474;136;100;39651;55;41222;47;41222
5806603;5980222;431;30199;111;88;39623;136;102;39799;56;37583;48;35807
5806604;5980222;422;29565;131;108;39611;137;116;43521;54;37521;47;35744
5806605;5980222;418;29252;124;104;39298;137;112;43208;55;37383;47;35607
5806606;5980222;421;29440;130;107;39485;137;114;43395;54;37444;47;35668
5806607;5980222;423;29622;131;109;39668;140;117;43578;56;37806;48;36030
5806608;5980222;428;29942;132;114;39988;140;122;43898;57;38151;50;36375
5806609;5980222;432;30263;137;118;40309;146;126;44218;57;38332;49;36555
5806610;5980222;422;29506;139;126;39197;150;136;39197;53;37519;46;35742
5806611;5980222;424;29666;139;128;39357;150;138;39357;56;37924;49;36147
5806612;5980222;427;29912;140;132;39603;150;142;39603;58;38074;51;36298
5806613;5980222;450;31528;170;155;41220;176;165;41220;58;39373;51;37596
5808496;5980222;406;28407;93;82;37215;84;69;32010;44;35563;38;35563
5808497;5980222;410;28696;96;82;37196;87;69;31992;45;36012;39;36012
5808498;5980222;408;28592;98;81;37092;87;67;31888;44;35802;38;35802
5808499;5980222;396;27751;91;73;36575;79;60;31371;42;35026;36;35026
5808500;5980222;401;28042;97;77;36866;83;64;31661;39;34600;33;34600
5808501;5980222;413;28877;118;93;37907;103;76;32496;44;36114;38;36114
5808502;5980222;413;28889;118;93;37919;103;76;32508;47;36312;41;36312
5808503;5980222;433;30293;127;104;40637;141;114;40637;59;42286;51;42286
5808504;5980222;428;29980;121;100;40325;140;110;40325;56;41906;49;41906
5808505;5980222;423;29601;111;90;39769;136;104;39945;55;41585;48;41585
5808506;5980222;422;29515;111;90;39757;136;104;39933;55;37553;47;35777
5808507;5980222;419;29297;120;102;39151;137;110;43104;54;37357;46;35581
5808508;5980222;416;29112;120;99;38966;135;109;38966;53;37058;46;35282
5808509;5980222;415;29056;120;101;39101;134;109;43011;53;37134;46;35357
5808510;5980222;419;29357;130;105;39403;137;113;43312;56;37623;49;35846
5808511;5980222;418;29236;124;104;39282;137;112;43191;59;38024;52;36248
5808512;5980222;421;29480;139;126;39171;150;136;39171;58;38210;51;36433
5808513;5980222;418;29279;136;123;38970;147;133;38970;52;37008;45;35232
5808514;5980222;417;29193;136;122;38885;143;132;38885;52;37268;45;35492
5808515;5980222;421;29485;139;126;39176;150;136;39176;53;37532;46;35756
5808516;5980222;425;29722;139;129;39413;150;139;39413;56;37992;49;36215
5808517;5980222;430;30133;142;132;39066;150;138;43656;59;38177;52;36401
5808518;5980222;436;30518;149;137;39451;156;143;44041;60;39652;53;37875
5810399;5980222;402;28144;100;79;36838;88;73;36989;44;35167;38;35167
5810400;5980222;405;28321;102;82;37015;90;76;37167;46;35594;40;35594
5810401;5980222;413;28885;100;85;37385;94;71;32180;46;36148;40;36148
5810402;5980222;392;27430;91;75;36717;79;62;31513;42;34673;36;34673
5810403;5980222;393;27502;91;76;36731;79;62;31526;42;35000;36;35000
5810404;5980222;402;28148;97;79;36972;87;65;31767;42;34606;36;34606
5810405;5980222;413;28934;118;94;37964;103;77;32553;46;36266;40;36266
5810406;5980222;415;29039;118;95;38069;103;78;32658;46;36361;40;36361
5810407;5980222;417;29204;118;97;38234;104;80;32823;58;38029;50;36252
5810408;5980222;427;29916;121;99;40260;136;109;40260;56;37695;48;35918
5810409;5980222;419;29304;106;87;38728;136;101;38905;54;37319;47;35543
5810410;5980222;416;29115;104;85;38539;135;98;38715;55;37141;47;35365
5810411;5980222;420;29369;120;103;39222;137;111;43176;54;37305;47;35529
5810412;5980222;412;28819;109;91;38496;130;103;42626;53;37001;45;35225
5810413;5980222;409;28662;109;91;38531;130;103;42618;52;36788;45;35012
5810414;5980222;412;28833;116;94;38703;133;109;38698;54;37051;47;35274
