from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5934906;364;25503;136;109;25996;148;117;25996;45;28556;40;28556
5785641;5934906;327;22887;132;112;26202;146;120;26202;45;28767;40;28767
5785642;5934906;328;22966;132;113;26320;147;121;26320;53;28168;47;26392
5785643;5934906;332;23259;143;118;26612;151;126;26612;57;30725;51;35676
5787544;5934906;357;25014;119;102;25507;127;110;25507;44;28130;39;28130
5787545;5934906;358;25083;119;103;25576;132;111;25576;47;28417;42;28417
5787546;5934906;362;25309;136;106;25801;138;114;25801;50;27194;44;25418
5787547;5934906;325;22773;140;119;26701;149;127;26701;49;27586;43;25809
5787548;5934906;322;22547;134;115;26428;145;123;26428;48;27707;42;25931
5787549;5934906;324;22682;140;119;26721;149;127;26721;50;27950;44;26174
5787550;5934906;361;25264;200;181;25162;192;184;25996;54;30524;48;35474
5789447;5934906;318;22247;80;62;22740;97;70;22740;40;25940;34;25940
5789448;5934906;318;22244;80;63;22760;97;71;22760;41;26305;35;26305
5789449;5934906;319;22304;80;64;22821;98;72;22821;41;26731;36;26731
5789450;5934906;361;25250;129;105;25743;135;113;25743;45;27050;40;27050
5789451;5934906;361;25288;136;106;25781;138;114;25781;47;28377;41;28377
5789452;5934906;317;22209;134;113;23295;138;122;27381;49;27094;43;25317
5789453;5934906;318;22245;134;114;23331;138;123;27417;47;27271;42;25494
5789454;5934906;319;22332;134;115;23418;139;124;27504;48;27534;42;25758
5789455;5934906;322;22508;138;118;23594;142;126;27680;49;27755;44;25979
5789456;5934906;359;25103;194;179;25001;192;181;25835;52;30434;46;35385
5791353;5934906;323;22606;90;67;23100;98;75;23100;38;25531;33;25531
5791354;5934906;320;22374;80;64;22867;97;72;22867;39;26122;34;26122
5791355;5934906;313;21897;76;59;22528;97;67;22528;39;26303;34;26303
5791356;5934906;314;21959;80;64;22876;98;72;22876;42;26928;37;26928
5791357;5934906;315;22047;90;67;22945;99;75;22945;45;27042;40;27042
5791358;5934906;316;22098;134;112;23184;135;121;27269;49;26588;43;24812
5791359;5934906;313;21900;134;109;22986;135;118;27072;47;26911;41;25135
5791360;5934906;314;21954;134;110;23040;135;118;27126;49;27280;43;25503
5791361;5934906;319;22308;134;115;23394;139;124;27479;50;27634;45;25857
5791362;5934906;323;22619;142;119;23705;149;127;23705;52;27942;46;26166
5791363;5934906;359;25098;194;179;24996;192;181;25830;54;30330;48;35280
5793258;5934906;328;22992;94;73;23485;104;81;23485;40;26795;35;26795
5793259;5934906;324;22692;90;69;23185;103;77;23185;41;26635;36;26635
5793260;5934906;325;22727;90;69;23220;103;77;23220;42;26599;37;26599
5793261;5934906;311;21770;80;63;22664;98;71;22664;40;26380;34;26380
5793262;5934906;310;21666;80;63;22662;98;71;22662;42;26805;37;26805
5793263;5934906;310;21713;90;68;22245;107;76;22245;47;27911;42;27911
5793264;5934906;309;21644;128;105;22731;127;114;26816;48;26532;43;24756
5793265;5934906;310;21685;133;106;22771;130;115;26857;47;26865;42;25089
5793266;5934906;310;21694;133;106;22780;130;115;26866;50;27062;45;25286
5793267;5934906;321;22469;136;117;23555;142;126;27640;54;27857;48;26081
5793268;5934906;327;22866;146;123;23952;149;131;23952;54;28083;48;26307
5793269;5934906;357;24964;194;177;24862;190;179;25695;50;26896;44;25119
5793270;5934906;354;24783;194;174;24681;189;177;25515;53;29784;47;28008
5795164;5934906;330;23067;98;74;23560;104;82;23560;41;26919;36;26919
5795165;5934906;331;23149;100;75;23642;109;83;23642;46;28695;41;28695
5795166;5934906;330;23079;98;74;23572;104;82;23572;47;28545;41;28545
5795167;5934906;306;21445;80;64;21963;99;72;21963;41;26930;35;26930
5795168;5934906;306;21445;80;64;21964;99;72;21964;43;27492;37;27492
5795169;5934906;308;21526;82;65;22058;102;73;22058;45;27715;40;27715
5795170;5934906;305;21375;120;101;22461;122;110;26546;46;26271;40;24495
5795171;5934906;304;21294;115;100;22380;122;109;26465;47;26572;42;24796
5795172;5934906;309;21628;128;105;22714;127;114;26800;50;27015;44;25238
5795173;5934906;312;21857;134;108;22943;134;117;27028;51;27105;45;25329
5795174;5934906;310;21666;128;106;22752;127;114;26838;48;26739;43;24963
5795175;5934906;309;21604;128;105;22690;127;113;26775;50;26876;44;25100
5795176;5934906;355;24820;194;175;24718;190;177;25551;45;26400;40;24624
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5934906;332;23266;102;77;23759;111;85;23759;42;27198;37;27198
5797071;5934906;334;23383;102;79;23876;112;87;23876;45;28598;39;28598
5797072;5934906;308;21536;82;65;22054;102;73;22054;44;28314;39;28314
5797073;5934906;304;21251;80;61;21769;101;69;21769;44;28399;38;28399
5797074;5934906;302;21133;76;60;21665;102;68;21665;42;27263;36;27263
5797075;5934906;305;21342;80;63;21874;102;71;21874;44;27596;38;27596
5797076;5934906;301;21058;113;97;22144;120;105;22144;47;26218;41;24442
5797077;5934906;303;21184;115;99;22271;122;107;26356;50;26651;44;24874
5797078;5934906;307;21518;120;103;22604;124;112;26690;52;27188;46;25411
5797079;5934906;306;21425;120;102;22512;123;111;26597;50;27024;44;25248
5797080;5934906;307;21470;120;103;22556;124;112;26642;46;26235;40;24459
5797081;5934906;307;21456;120;103;22542;123;111;26628;49;26855;44;25079
5797082;5934906;304;21250;134;118;21981;144;126;21981;45;26387;40;24610
5798974;5934906;295;20653;93;51;23622;79;54;23622;33;23341;29;23341
5798975;5934906;338;23626;102;82;24119;112;90;24119;42;27545;37;27545
5798976;5934906;337;23620;102;82;24113;112;90;24113;45;27432;39;27432
5798977;5934906;338;23627;102;82;24120;112;90;24120;46;28638;40;28638
5798978;5934906;301;21066;80;62;21593;102;70;21593;44;28109;38;28109
5798979;5934906;298;20889;76;60;21416;102;68;21416;44;28467;39;28467
5798980;5934906;298;20890;76;60;21416;102;68;21416;43;27627;37;27627
5798981;5934906;302;21161;80;64;21688;102;72;21688;45;28015;39;28015
5798982;5934906;298;20890;112;94;21976;117;102;21976;46;26079;40;24302
5798983;5934906;297;20764;112;93;21851;117;101;21851;48;26019;42;24242
5798984;5934906;297;20758;107;93;21844;117;101;21844;50;26010;44;24234
5798985;5934906;302;21122;114;98;22208;120;106;22208;46;25902;41;24126
