from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5961860;430;30070;142;124;34419;51;31380
5785641;5961860;406;28388;148;127;34625;50;31697
5785642;5961860;407;28468;148;129;34742;53;31881
5785643;5961860;411;28761;157;134;36627;59;34438
5787544;5961860;423;29580;136;117;33930;58;32097
5787545;5961860;424;29650;136;118;33999;58;32088
5787546;5961860;-1;-1;-1;-1;-1;51;30907
5787547;5961860;404;28275;157;135;36715;49;31299
5787548;5961860;401;28050;148;130;34851;48;31420
5787549;5961860;403;28184;157;136;36735;50;31663
5787550;5961860;440;30765;204;190;34418;56;34237
5789447;5961860;390;27306;93;78;31163;53;31706
5789448;5961860;394;27586;97;78;31184;53;31439
5789449;5961860;-1;-1;-1;-1;-1;53;31682
5789450;5961860;-1;-1;-1;-1;-1;57;32000
5789451;5961860;-1;-1;-1;-1;-1;52;30915
5789452;5961860;396;27711;148;128;31632;50;30807
5789453;5961860;396;27746;148;128;31668;48;30984
5789454;5961860;398;27834;148;129;31755;48;31247
5789455;5961860;400;28010;148;132;31932;50;31468
5789456;5961860;437;30605;202;188;34258;54;34147
5791353;5961860;398;27852;102;83;31523;53;31996
5791354;5961860;395;27620;97;80;31291;52;31693
5791355;5961860;391;27400;93;75;30952;51;31253
5791356;5961860;392;27461;97;80;31300;53;31406
5791357;5961860;-1;-1;-1;-1;-1;57;31992
5791358;5961860;-1;-1;-1;-1;-1;50;30301
5791359;5961860;391;27402;144;123;31323;48;30624
5791360;5961860;392;27456;144;124;31378;49;30992
5791361;5961860;397;27810;148;129;31732;51;31347
5791362;5961860;402;28121;157;137;33719;52;31655
5791363;5961860;437;30600;202;188;34253;56;34043
5793258;5961860;403;28237;110;88;31909;53;32342
5793259;5961860;399;27938;106;84;31609;55;32206
5793260;5961860;400;27971;106;85;31642;54;31619
5793261;5961860;390;27273;97;78;31088;51;31129
5793262;5961860;388;27167;97;78;31086;53;31228
5793263;5961860;-1;-1;-1;-1;-1;56;31133
5793264;5961860;-1;-1;-1;-1;-1;50;30245
5793265;5961860;388;27187;136;120;31109;48;30578
5793266;5961860;389;27196;136;120;31117;51;30775
5793267;5961860;-1;-1;-1;-1;-1;54;31570
5793268;5961860;-1;-1;-1;-1;-1;54;31796
5793269;5961860;-1;-1;-1;-1;-1;51;30608
5793270;5961860;433;30285;198;183;33938;55;33497
5795164;5961860;404;28313;110;90;31984;54;32490
5795165;5961860;406;28394;110;91;32066;53;31157
5795166;5961860;-1;-1;-1;-1;-1;53;31006
5795167;5961860;385;26946;97;79;30386;50;30627
5795168;5961860;385;26947;97;79;30387;51;30715
5795169;5961860;386;27028;102;81;30481;54;30937
5795170;5961860;384;26876;136;118;30884;47;29984
5795171;5961860;383;26796;136;117;30803;48;30285
5795172;5961860;388;27130;136;119;31052;50;30727
5795173;5961860;-1;-1;-1;-1;-1;52;30818
5795174;5961860;388;27169;136;120;31090;50;30452
5795175;5961860;387;27105;136;119;31027;51;30589
5795176;5961860;433;30321;200;184;33974;48;30113
5797069;5961860;376;26342;106;91;30754;34;28255
5797070;5961860;407;28510;118;92;32182;55;32769
5797071;5961860;409;28627;122;94;32298;51;31059
5797072;5961860;-1;-1;-1;-1;-1;51;30775
5797073;5961860;382;26753;93;76;30193;50;30860
5797074;5961860;381;26636;93;75;30089;50;30486
5797075;5961860;383;26844;93;78;30297;52;30819
5797076;5961860;379;26560;136;113;30568;48;29931
5797077;5961860;381;26686;136;115;30694;51;30363
5797078;5961860;-1;-1;-1;-1;-1;53;30901
5797079;5961860;-1;-1;-1;-1;-1;51;30737
5797080;5961860;385;26972;136;119;30979;47;29948
5797081;5961860;385;26957;136;119;30965;51;30568
5797082;5961860;382;26752;155;138;33999;48;30100
5798974;5961860;357;24969;89;72;29381;-1;-1
5798975;5961860;412;28871;122;97;32543;56;33116
5798976;5961860;412;28866;122;97;32537;58;33003
5798977;5961860;-1;-1;-1;-1;-1;52;31099
5798978;5961860;-1;-1;-1;-1;-1;50;30570
5798979;5961860;377;26392;93;75;29840;51;30928
5798980;5961860;377;26391;93;75;29839;50;30304
5798981;5961860;381;26663;97;79;30111;53;30692
5798982;5961860;377;26392;131;111;30399;47;29792
5798983;5961860;375;26266;127;109;30274;50;29732
5798984;5961860;375;26259;127;109;30266;51;29723
5798985;5961860;380;26625;136;114;30632;48;29615
5798986;5961860;378;26486;131;112;30494;48;29881
5798987;5961860;382;26742;136;116;30750;51;30341
5798988;5961860;376;26336;147;129;29989;47;29575
5800879;5961860;350;24473;83;64;28885;36;27862
5800880;5961860;354;24752;87;68;29164;-1;-1
5800881;5961860;415;29076;127;100;32747;35;28024
5800882;5961860;378;26480;122;97;30786;51;30321
5800883;5961860;379;26516;122;97;30822;50;30098
5800884;5961860;-1;-1;-1;-1;-1;50;30387
5800885;5961860;374;26173;93;73;29682;49;30089
5800886;5961860;372;26025;93;75;29826;51;30047
5800887;5961860;373;26145;97;79;30098;53;30681
5800888;5961860;366;25603;122;100;29611;47;28908
5800889;5961860;372;26007;127;105;30014;48;29497
5800890;5961860;373;26083;127;106;30091;50;29409
