from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5961894;446;31208;133;84;31600;138;122;35977;160;129;35977;60;34362;53;34250;32
5785641;5961894;408;28591;132;84;28996;146;125;36183;166;127;36183;60;34573;53;34461;32
5785642;5961894;410;28670;132;84;28996;149;127;36301;166;129;36301;60;33975;53;32086;32
5785643;5961894;414;28963;136;86;31056;161;131;36594;166;133;36594;61;36418;53;36446;32
5787544;5961894;439;30718;130;82;31061;136;115;35488;149;122;35488;59;33937;52;33824;31
5787545;5961894;440;30787;130;82;31061;136;116;35557;149;123;35557;59;34223;52;34111;31
5787546;5961894;443;31013;130;82;31061;138;119;35783;160;126;35783;60;33001;53;31112;32
5787547;5961894;407;28477;132;84;28996;155;132;36682;164;134;36682;60;33392;53;31503;32
5787548;5961894;404;28252;132;84;28996;151;128;36410;162;130;36410;60;33513;53;31625;32
5787549;5961894;406;28386;132;84;28996;155;133;36702;163;135;36702;61;33757;53;31868;32
5787550;5961894;442;30968;136;86;31056;162;121;47066;163;120;42591;61;36217;53;36244;32
5789447;5961894;399;27951;121;76;28299;97;76;32721;114;83;32721;55;31747;49;31634;28
5789448;5961894;399;27948;121;76;28296;97;76;32741;114;83;32741;55;32112;49;31999;28
5789449;5961894;400;28009;121;77;28432;97;77;32802;114;84;32802;56;32538;50;32425;29
5789450;5961894;442;30954;121;77;28432;138;119;35724;160;126;35724;56;32856;50;32744;29
5789451;5961894;443;30993;130;82;31061;138;119;35762;160;126;35762;59;34184;52;34071;31
5789452;5961894;399;27913;130;82;31061;151;127;33276;155;129;33276;60;32900;52;31011;32
5789453;5961894;399;27950;132;84;28996;151;127;33313;155;129;33313;60;33077;53;31188;32
5789454;5961894;401;28036;132;84;28996;151;128;33400;157;135;37433;60;33341;53;31452;32
5789455;5961894;403;28213;136;86;31089;157;131;33576;162;133;33576;61;33562;53;31673;32
5789456;5961894;440;30808;136;86;31089;155;119;46906;164;118;42430;63;36127;56;36155;36
5791353;5961894;404;28311;119;75;28605;100;81;33081;120;88;33081;55;31337;48;31225;28
5791354;5961894;401;28079;120;76;28141;97;78;32849;120;85;32849;56;31928;49;31816;29
5791355;5961894;394;27602;120;76;28054;92;73;32510;114;80;32510;56;32109;49;31997;29
5791356;5961894;395;27664;120;76;28002;97;78;32858;120;85;32858;57;32734;50;32622;29
5791357;5961894;396;27751;121;77;28432;100;80;32926;120;87;32926;56;32848;50;32736;29
5791358;5961894;397;27802;121;77;28432;148;125;33165;152;127;33165;56;32395;50;30506;29
5791359;5961894;394;27604;121;77;28432;142;122;32968;144;129;37001;60;32718;52;30829;32
5791360;5961894;395;27659;132;84;28996;145;123;33022;147;125;33022;60;33086;52;31197;32
5791361;5961894;400;28012;136;86;31089;151;128;33375;155;130;33375;60;33440;52;31551;32
