from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5978639;464;32464;139;119;34039;48;29716
5785641;5978639;426;29847;146;122;34245;48;30034
5785642;5978639;428;29927;146;124;34362;50;30218
5785643;5978639;432;30220;156;131;35636;56;32774
5787544;5978639;457;31975;133;112;33549;55;30434
5787545;5978639;458;32044;133;113;33618;55;30424
5787546;5978639;-1;-1;-1;-1;-1;48;29244
5787547;5978639;425;29734;156;132;35724;47;29635
5787548;5978639;422;29509;146;126;34470;45;29756
5787549;5978639;423;29643;156;132;35744;47;30000
5787550;5978639;460;32224;200;190;35018;53;32573
5789447;5978639;417;29207;87;73;30782;50;30043
5789448;5978639;417;29205;92;73;30803;50;29775
5789449;5978639;-1;-1;-1;-1;-1;50;30018
5789450;5978639;-1;-1;-1;-1;-1;54;30337
5789451;5978639;-1;-1;-1;-1;-1;49;29251
5789452;5978639;417;29170;144;123;31251;47;29143
5789453;5978639;417;29206;144;123;31287;45;29320
5789454;5978639;418;29293;145;124;31374;45;29584
5789455;5978639;421;29469;145;127;31551;47;29805
5789456;5978639;458;32064;197;187;34858;51;32483
5791353;5978639;422;29568;97;78;31143;50;30332
5791354;5978639;419;29336;92;75;30911;49;30029
5791355;5978639;412;28859;87;70;30571;48;29589
5791356;5978639;413;28920;92;75;30920;50;29742
5791357;5978639;-1;-1;-1;-1;-1;54;30329
5791358;5978639;-1;-1;-1;-1;-1;47;28638
5791359;5978639;412;28861;140;118;30942;45;28961
5791360;5978639;413;28916;140;119;30997;47;29329
5791361;5978639;418;29269;145;124;31351;48;29683
5791362;5978639;423;29580;154;133;32728;50;29992
5791363;5978639;458;32059;197;187;34853;53;32379
5793258;5978639;428;29953;105;84;31528;51;30678
5793259;5978639;424;29654;101;79;31228;52;30543
5793260;5978639;424;29687;101;80;31262;51;29955
5793261;5978639;410;28732;92;74;30707;48;29465
5793262;5978639;409;28627;92;74;30705;50;29564
5793263;5978639;-1;-1;-1;-1;-1;53;29470
5793264;5978639;-1;-1;-1;-1;-1;47;28582
5793265;5978639;409;28646;133;115;30728;45;28914
5793266;5978639;409;28655;133;115;30737;48;29111
5793267;5978639;-1;-1;-1;-1;-1;52;29906
5793268;5978639;-1;-1;-1;-1;-1;52;30133
5793269;5978639;-1;-1;-1;-1;-1;49;28945
5793270;5978639;453;31745;193;183;34538;52;31834
5795164;5978639;429;30029;105;85;31603;52;30826
5795165;5978639;430;30110;105;86;31685;50;29493
5795166;5978639;-1;-1;-1;-1;-1;50;29342
5795167;5978639;406;28405;92;74;30005;48;28963
5795168;5978639;406;28406;92;74;30006;48;29051
5795169;5978639;407;28487;97;76;30101;51;29274
5795170;5978639;405;28336;133;113;30503;45;28320
5795171;5978639;404;28255;133;112;30423;46;28622
5795172;5978639;408;28590;133;114;30671;48;29064
5795173;5978639;-1;-1;-1;-1;-1;49;29155
5795174;5978639;409;28628;133;115;30709;47;28789
5795175;5978639;408;28565;133;114;30646;48;28925
5795176;5978639;454;31780;195;183;34574;45;28449
5797069;5978639;414;28987;105;91;28271;31;27118
5797070;5978639;432;30226;114;87;31801;53;31105
5797071;5978639;433;30343;118;89;31918;48;29395
5797072;5978639;-1;-1;-1;-1;-1;48;29112
5797073;5978639;403;28212;87;72;29812;48;29197
5797074;5978639;401;28095;87;70;29708;47;28822
5797075;5978639;404;28303;87;73;29917;49;29155
5797076;5978639;400;28019;132;108;30187;45;28268
5797077;5978639;402;28145;133;110;30313;49;28700
5797078;5978639;-1;-1;-1;-1;-1;50;29237
5797079;5978639;-1;-1;-1;-1;-1;48;29074
5797080;5978639;406;28431;133;114;30599;44;28284
5797081;5978639;406;28417;133;114;30584;48;28904
5797082;5978639;403;28211;152;132;31005;45;28436
5798974;5978639;394;27614;89;71;26898;-1;-1
5798975;5978639;437;30587;118;93;32162;53;31452
5798976;5978639;437;30582;118;93;32157;55;31340
5798977;5978639;-1;-1;-1;-1;-1;49;29435
5798978;5978639;-1;-1;-1;-1;-1;47;28907
5798979;5978639;398;27851;87;70;29459;48;29265
5798980;5978639;398;27851;87;70;29459;48;28641
5798981;5978639;402;28122;92;74;29730;50;29028
5798982;5978639;398;27851;128;106;30019;44;28128
5798983;5978639;396;27726;123;104;29893;47;28068
5798984;5978639;396;27718;123;104;29886;49;28060
5798985;5978639;401;28084;132;109;30251;45;27952
5798986;5978639;399;27945;128;107;30113;45;28218
5798987;5978639;403;28201;133;111;30369;48;28677
5798988;5978639;397;27795;143;124;29608;44;27912
5800879;5978639;387;27118;83;64;26401;34;26752
5800880;5978639;391;27397;88;68;26681;-1;-1
5800881;5978639;440;30792;123;96;32366;33;26887
5800882;5978639;399;27939;118;92;30405;49;28658
5800883;5978639;400;27975;118;92;30441;48;28435
5800884;5978639;-1;-1;-1;-1;-1;47;28723
5800885;5978639;395;27632;87;68;29301;46;28426
5800886;5978639;393;27484;87;70;29445;48;28384
5800887;5978639;394;27604;92;74;29717;50;29017
5800888;5978639;387;27062;118;95;29230;45;27244
5800889;5978639;392;27466;123;100;29634;45;27833
5800890;5978639;393;27542;123;102;29710;47;27746
5800891;5978639;396;27753;128;105;29920;43;27623
5800892;5978639;396;27689;123;104;29857;45;28060
5800893;5978639;398;27851;128;106;30019;47;28226
5800894;5978639;396;27704;143;122;29518;44;27918
5800895;5978639;392;27464;137;119;29277;44;27818
5802783;5978639;386;27019;83;63;26303;34;26685
5802784;5978639;384;26900;83;61;26184;36;26916
5802785;5978639;388;27179;83;65;26463;-1;-1
5802786;5978639;-1;-1;-1;-1;-1;32;26640
5802787;5978639;398;27839;118;90;30305;46;28469
5802788;5978639;395;27641;114;88;30107;46;28222
5802789;5978639;395;27642;114;88;30108;48;28964
5802790;5978639;396;27710;87;72;29550;47;28487
5802791;5978639;389;27211;87;70;28908;46;28028
5802792;5978639;392;27449;92;74;29145;47;28213
5802793;5978639;383;26834;116;91;29001;44;27185
5802794;5978639;388;27170;118;96;29337;44;27470
5802795;5978639;388;27170;118;96;29338;43;27471
5802796;5978639;390;27284;123;98;29451;44;27667
5802797;5978639;395;27645;123;103;29812;46;27986
5802798;5978639;397;27820;128;106;29988;47;27719
5802799;5978639;388;27148;131;115;28961;43;27231
