from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5944005;5934906;203;14192;55;48;18348;27;17955
5944006;5934906;207;14518;57;53;18674;27;17906
5944007;5934906;211;14795;61;56;18946;30;18351
5944008;5934906;215;15085;66;61;19236;28;18654
5944009;5934906;219;15358;67;64;19509;33;19156
5944010;5934906;227;15875;74;66;20043;32;19309
5944011;5934906;234;16390;71;66;21363;32;20367
5944012;5934906;239;16721;72;67;21472;32;20353
5944013;5934906;241;16885;72;67;23290;32;20480
5944014;5934906;245;17150;69;63;23045;33;20953
5944015;5934906;249;17447;69;67;23242;33;21010
5944016;5934906;253;17694;69;65;22412;35;21458
5944017;5934906;258;18028;70;61;19829;36;21885
5944018;5934906;261;18280;73;69;22709;36;21634
5944019;5934906;263;18402;77;71;22830;33;25099
5944020;5934906;268;18777;82;71;20720;35;25225
5944021;5934906;270;18870;83;72;21799;35;24987
5944022;5934906;271;18996;83;71;21673;34;24978
5944023;5934906;276;19308;87;72;21789;33;24972
5944024;5934906;279;19531;87;75;22012;32;24720
5944025;5934906;282;19770;92;78;22231;34;24834
5944026;5934906;290;20315;100;86;22776;35;25288
5944027;5934906;313;21884;116;104;28882;35;25313
5944028;5934906;304;21267;106;96;28266;33;25175
5944029;5934906;308;21568;113;100;25032;37;25543
5945687;5934906;306;21406;82;69;33056;32;25024
5945688;5934906;302;21166;82;67;20524;31;24795
5945689;5934906;299;20923;77;64;20281;31;24556
5945690;5934906;296;20700;75;60;20057;32;24362
5945691;5934906;294;20564;73;58;19921;31;24083
5945692;5934906;288;20189;73;59;19960;31;24310
5945693;5934906;291;20347;77;63;20270;32;24641
5945694;5934906;285;19923;77;61;19341;31;24028
5945695;5934906;287;20066;77;63;19456;32;23956
5945696;5934906;277;19375;73;59;18764;31;22642
5945697;5934906;275;19243;69;57;18633;29;22655
5945698;5934906;259;18151;70;59;18743;29;22243
5945699;5934906;256;17915;78;66;19213;27;21149
5945700;5934906;246;17225;72;63;18363;25;20650
5945701;5934906;246;17192;74;65;18481;25;20713
5945702;5934906;238;16691;74;65;18475;23;19886
5945703;5934906;237;16556;72;63;18194;26;19942
5945704;5934906;233;16275;79;69;18624;25;19519
5945705;5934906;230;16086;71;58;18860;35;20127
5945706;5934906;227;15902;68;57;19343;32;19882
5945707;5934906;224;15665;64;53;19107;26;19790
5945708;5934906;220;15418;63;55;15818;26;19884
5945709;5934906;215;15079;58;49;18985;25;18027
5945710;5934906;212;14867;56;48;13769;27;18226
5945711;5934906;209;14608;53;44;13509;25;18054
5945712;5934906;205;14322;57;48;13763;25;17786
5945713;5934906;201;14073;50;40;13171;26;17743
5945714;5934906;198;13833;49;40;13172;24;15921
5945715;5934906;195;13660;50;43;15531;24;15820
5945716;5934906;191;13354;50;44;15786;24;15810
5945717;5934906;187;13093;52;40;15488;24;15202
5945718;5934906;185;12917;52;39;15429;24;15009
5945719;5934906;177;12418;48;37;11596;21;14576
5945720;5934906;175;12261;48;37;11638;20;14355
5945721;5934906;173;12105;51;41;14568;20;14261
5945722;5934906;168;11753;49;40;10879;20;14273
5945723;5934906;164;11472;44;36;10598;21;14514
5945724;5934906;160;11173;45;35;10552;19;14007
5945725;5934906;157;10968;45;35;10526;20;14088
5945726;5934906;153;10710;51;38;10761;23;14391
5945727;5934906;150;10521;51;41;10972;20;14519
5945728;5934906;148;10367;53;46;9992;21;12214
5945729;5934906;145;10149;55;48;9866;21;12207
5945730;5934906;140;9791;53;43;9534;20;11778
5945731;5934906;136;9553;53;43;9501;19;11452
5945732;5934906;131;9196;52;45;9479;18;11105
5945733;5934906;130;9088;53;46;9715;16;10409
5945734;5934906;135;9453;58;50;8912;16;10388
5945735;5934906;123;8604;48;37;8520;16;10209
5945736;5934906;117;8206;44;32;8123;15;9943
5945737;5934906;113;7889;40;30;7975;19;10420
5945738;5934906;111;7759;44;33;8250;20;10787
5945739;5934906;115;8022;52;39;9080;16;9321
5945740;5934906;111;7786;56;44;8967;15;9012
5945741;5934906;110;7697;56;42;8879;19;9891
5945742;5934906;96;6739;54;42;8677;15;8513
5945743;5934906;91;6357;48;41;8097;18;9487
5945744;5934906;89;6209;43;34;7606;19;9133
5945745;5934906;84;5913;46;41;5973;21;9387
5945746;5934906;82;5775;41;30;7235;17;8097
5945747;5934906;80;5565;37;35;6710;16;7792
5945748;5934906;75;5260;34;26;6130;15;7484
5945749;5934906;71;4992;27;23;5734;17;7262
5945750;5934906;68;4733;31;26;5931;14;6438
5945751;5934906;67;4722;37;32;6520;14;6371
5945752;5934906;62;4317;40;34;7126;14;6053
5945753;5934906;63;4392;44;38;7415;15;6119
5945754;5934906;62;4367;46;40;7581;14;6254
5945755;5934906;62;4353;50;42;6951;12;4843
5945756;5934906;57;3983;51;34;6052;13;4684
5945757;5934906;37;2560;35;29;3896;11;4280
5945758;5934906;34;2360;30;27;3696;14;3898
5945759;5934906;32;2255;30;27;3730;14;3819
5945760;5934906;28;1948;25;20;3532;12;3579
5945761;5934906;29;2033;27;24;2128;13;2979
5945762;5934906;29;2002;25;22;2495;10;2573
5945763;5934906;27;1868;23;19;2285;10;2360
5945764;5934906;27;1911;22;18;2224;10;2383
5945765;5934906;27;1893;19;15;2126;10;2222
5945766;5934906;28;1934;18;15;2118;10;2348
5945767;5934906;29;2058;19;16;2623;13;2506
5945768;5934906;33;2276;19;15;2566;13;2769
5945769;5934906;36;2512;20;17;2689;12;3444
5945770;5934906;41;2841;24;20;4108;17;3722
5945771;5934906;44;3106;24;15;3782;15;3715
5945772;5934906;47;3281;19;10;3472;14;3625
5945773;5934906;51;3548;27;17;3922;16;4568
5945774;5934906;59;4124;33;24;4394;14;4785
5945775;5934906;68;4765;39;30;4819;14;5177
5945776;5934906;65;4549;33;25;5096;15;5259
5945777;5934906;66;4598;31;21;4826;15;4976
5945778;5934906;69;4847;32;25;6065;16;5268
5945779;5934906;75;5219;37;27;5662;15;5514
5945780;5934906;78;5446;39;29;5756;18;5921
5945781;5934906;84;5896;41;31;6342;18;6583
5945782;5934906;87;6076;42;30;7565;18;6674
5945783;5934906;91;6377;40;31;7763;20;7077
5945784;5934906;95;6669;44;37;8079;22;7602
5945785;5934906;102;7135;51;43;9762;22;7786
5945786;5934906;100;7010;50;41;9638;26;8196
5945788;5934906;112;7852;53;45;8893;25;8086
5945789;5934906;114;7961;57;46;9002;23;8131
5945790;5934906;118;8282;63;51;9323;34;15773
5945791;5934906;122;8538;65;55;9579;34;15732
5945792;5934906;-1;-1;-1;-1;-1;41;16241
5945794;5934906;147;10283;69;64;13934;40;14073
5945795;5934906;147;10304;67;60;13666;35;13782
5945796;5934906;147;10259;63;56;13366;31;13503
5945797;5934906;148;10350;59;52;13165;30;13902
5945798;5934906;152;10663;53;47;12768;28;13740
5945799;5934906;157;10969;54;46;12662;28;13647
5945800;5934906;163;11383;52;44;12504;29;13492
5945801;5934906;166;11637;54;47;12732;29;19848
5945802;5934906;170;11928;49;44;13906;27;19235
5945803;5934906;175;12229;45;40;13612;28;17308
5945804;5934906;181;12660;51;46;14022;31;18401
