from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5975374;455;31876;134;85;32055;126;110;32616;149;118;32616;61;31956;54;31994;32
5785641;5975374;418;29259;132;84;29450;134;113;32822;155;116;32822;63;32167;56;32205;32
5785642;5975374;419;29338;132;84;29450;137;115;32940;155;118;32940;63;31568;56;29830;32
5785643;5975374;423;29632;141;89;31510;148;119;33233;155;122;33233;63;34125;56;32386;32
5787544;5975374;448;31386;131;83;31516;125;103;32127;137;111;32127;60;31530;54;31568;31
5787545;5975374;449;31455;131;83;31516;125;104;32196;137;112;32196;60;31817;54;31854;31
5787546;5975374;453;31681;131;83;31516;126;107;32422;149;115;32422;62;30595;56;28856;32
5787547;5975374;416;29145;132;84;29450;142;120;33321;154;123;33321;62;30986;56;29247;32
5787548;5975374;413;28920;132;84;29450;139;116;33049;151;119;33049;63;31107;56;29368;32
5787549;5975374;415;29054;132;84;29450;142;121;33341;153;124;33341;63;31350;56;29611;32
5787550;5975374;452;31636;141;89;31510;154;110;43768;165;122;37476;63;33924;56;32185;32
5789447;5975374;409;28619;121;77;28753;87;64;29360;101;72;29360;56;29341;50;29378;29
5789448;5975374;409;28616;121;77;28750;87;64;29380;101;72;29380;56;29705;50;29743;29
5789449;5975374;410;28677;122;77;28886;87;65;29441;101;73;29441;57;30131;51;30169;29
5789450;5975374;452;31622;122;77;28886;126;107;32363;149;115;32363;57;30450;51;30487;29
5789451;5975374;452;31661;131;83;31516;126;107;32402;149;115;32402;60;31777;54;31815;31
5789452;5975374;408;28581;131;83;31516;139;115;29915;144;118;29915;62;30494;55;28755;32
5789453;5975374;409;28618;132;84;29450;139;115;29952;144;118;29952;62;30671;56;28932;32
5789454;5975374;410;28704;132;84;29450;139;116;30039;146;123;34072;62;30935;56;29196;32
5789455;5975374;413;28881;141;89;31543;144;119;30215;151;122;30215;63;31155;56;29417;32
5789456;5975374;450;31476;141;89;31543;147;108;43608;165;120;37315;69;33834;62;32095;38
5791353;5975374;414;28979;120;76;29059;89;69;29720;107;77;29720;55;28931;49;28969;28
5791354;5975374;411;28747;121;76;28596;87;66;29488;107;74;29488;57;29522;51;29560;29
5791355;5975374;404;28270;121;76;28508;81;61;29149;101;69;29149;56;29703;50;29740;29
5791356;5975374;405;28332;120;76;28457;87;66;29497;107;74;29497;57;30328;51;30365;29
5791357;5975374;406;28419;122;77;28886;89;68;29565;107;76;29565;57;30442;51;30479;29
5791358;5975374;407;28470;122;77;28886;135;113;29804;141;116;29804;57;29988;51;28249;29
5791359;5975374;404;28272;122;77;28886;129;110;29606;133;117;33640;62;30312;55;28573;32
5791360;5975374;405;28327;132;84;29450;132;111;29661;136;114;29661;62;30680;55;28941;32
5791361;5975374;410;28680;141;89;31543;139;116;30014;144;119;30014;62;31034;55;29295;32
5791362;5975374;414;28991;141;89;31543;144;120;30325;153;123;30325;63;31342;56;29603;32
5791363;5975374;450;31471;141;89;31543;147;108;43603;165;120;37310;69;33730;62;31991;38
5793258;5975374;419;29365;123;78;29553;98;74;30106;113;82;30106;57;30195;51;30233;30
5793259;5975374;415;29065;123;78;29497;93;70;29806;107;78;29806;57;30035;51;30073;29
5793260;5975374;416;29099;122;77;29083;93;71;29840;107;79;29840;57;29999;51;30037;29
5793261;5975374;402;28143;120;76;28243;87;64;29285;101;72;29285;57;29780;51;29818;29
5793262;5975374;401;28038;120;76;28286;87;64;29283;101;72;29283;57;30205;51;30242;29
5793263;5975374;401;28086;120;76;28286;94;69;28866;107;77;28866;57;31311;51;31348;29
5793264;5975374;400;28017;119;75;27997;129;107;29351;129;113;33385;62;29933;55;28194;31
