from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5978639;464;32464;144;115;33114;154;123;33114;50;32539;44;32577
5785641;5978639;426;29847;140;118;33319;152;126;33319;50;32750;44;32788
5785642;5978639;428;29927;140;120;33437;153;128;33437;57;32152;51;30413
5785643;5978639;432;30220;150;124;33730;157;132;33730;61;34708;55;32969
5787544;5978639;457;31974;127;108;32624;133;116;32624;49;32113;43;32151
5787545;5978639;458;32043;127;109;32693;138;117;32693;52;32400;46;32437
5787546;5978639;461;32269;144;113;32919;144;121;32919;54;31178;48;29439
5787547;5978639;425;29733;148;125;33818;155;133;33818;53;31569;47;29830
5787548;5978639;422;29508;140;122;33546;151;130;33546;52;31690;46;29951
5787549;5978639;423;29642;148;126;33838;155;134;33838;54;31933;48;30194
5787550;5978639;460;32225;206;188;32280;198;190;33113;58;34507;52;32768
5789447;5978639;417;29207;86;69;29857;108;77;29857;44;29924;38;29961
5789448;5978639;417;29204;86;69;29878;108;77;29878;45;30289;39;30326
5789449;5978639;418;29265;86;70;29938;108;78;29938;46;30714;40;30752
5789450;5978639;460;32211;138;112;32860;141;120;32860;49;31033;44;31071
5789451;5978639;461;32249;144;112;32899;144;120;32899;51;32360;45;32398
5789452;5978639;417;29169;140;120;30413;144;129;34498;53;31077;47;29338
5789453;5978639;417;29206;140;120;30449;144;129;34535;52;31254;46;29515
5789454;5978639;418;29293;140;122;30536;145;130;34622;52;31518;46;29779
5789455;5978639;421;29469;144;124;30712;148;133;34798;54;31738;47;30000
5789456;5978639;458;32064;200;185;32119;198;188;32952;56;34417;50;32678
5791353;5978639;422;29567;96;74;30217;108;82;30217;42;29514;36;29552
5791354;5978639;419;29335;86;71;29985;108;79;29985;43;30105;37;30143
5791355;5978639;412;28858;82;66;29646;108;74;29646;44;30286;38;30323
5791356;5978639;413;28920;86;71;29994;108;79;29994;47;30911;41;30949
5791357;5978639;414;29007;96;74;30062;108;82;30062;50;31025;44;31062
5791358;5978639;415;29058;140;118;30301;141;127;34387;53;30571;47;28833
5791359;5978639;412;28861;140;115;30104;141;124;34189;51;30895;45;29156
5791360;5978639;413;28915;140;116;30158;141;125;34244;53;31263;47;29524
5791361;5978639;418;29268;140;121;30511;145;130;34597;55;31617;49;29878
5791362;5978639;423;29579;148;126;30822;155;134;30822;56;31925;50;30186
5791363;5978639;458;32059;200;185;32114;198;188;32948;58;34313;52;32574
5793258;5978639;428;29953;102;80;30603;113;88;30603;44;30778;39;30816
5793259;5978639;424;29653;96;75;30303;113;83;30303;46;30618;40;30656
5793260;5978639;424;29687;96;76;30337;113;84;30337;46;30582;40;30620
5793261;5978639;410;28731;86;70;29782;108;78;29782;44;30363;38;30401
5793262;5978639;409;28626;86;70;29780;108;78;29780;47;30788;41;30825
