from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5980222;489;34216;151;96;34439;155;142;46626;179;148;46626;64;41342;55;41342;36
5785641;5980222;469;32805;150;95;33153;162;145;46831;185;146;46831;66;41553;57;41553;36
5785642;5980222;470;32885;150;95;33153;165;146;46949;185;147;46949;66;40954;57;39178;36
5785643;5980222;474;33178;159;101;35213;176;150;47242;185;151;47242;66;43511;57;41734;36
5787544;5980222;482;33726;148;94;33899;153;135;46136;166;138;46136;63;40916;54;40916;35
5787545;5980222;483;33795;148;94;33899;153;136;46205;166;139;46205;63;41203;54;41203;35
5787546;5980222;486;34021;148;94;33899;155;139;46431;179;145;46431;65;39980;56;38204;36
5787547;5980222;467;32691;150;95;33153;170;152;47330;184;153;47330;65;40372;56;38595;36
5787548;5980222;464;32466;150;95;33153;167;148;47058;181;149;47058;66;40493;57;38717;36
5787549;5980222;466;32600;150;95;33153;170;152;47350;183;153;47350;66;40736;57;38960;36
5787550;5980222;503;35183;159;101;35213;182;138;57714;189;146;51090;66;43310;57;41533;36
5789447;5980222;449;31452;139;88;31801;117;95;43369;128;98;43369;59;38726;50;38726;32
5789448;5980222;453;31732;139;88;31804;117;95;43390;128;98;43390;59;39091;51;39091;32
5789449;5980222;458;32080;139;88;32494;117;96;43450;128;99;43450;60;39517;51;39517;33
5789450;5980222;485;33962;139;88;32494;155;138;46372;179;144;46372;60;39836;51;39836;33
5789451;5980222;486;34001;148;94;33899;155;139;46411;179;145;46411;63;41163;54;41163;35
5789452;5980222;459;32128;148;94;33899;167;146;43924;174;147;43924;65;39880;56;38103;35
5789453;5980222;459;32164;150;95;33153;167;147;43961;174;148;43961;65;40057;56;38280;36
5789454;5980222;461;32251;150;95;33153;167;148;44048;176;153;48082;65;40320;56;38544;36
5789455;5980222;463;32427;159;101;35246;171;150;44224;181;151;44224;66;40541;57;38765;36
5789456;5980222;500;35022;159;101;35246;174;135;57554;189;143;50929;72;43220;63;41443;42
5791353;5980222;457;31997;137;87;31362;120;100;43729;134;103;43729;58;38317;50;38317;32
5791354;5980222;454;31765;138;88;32133;117;97;43497;134;100;43497;60;38908;51;38908;33
5791355;5980222;454;31794;138;87;32046;111;92;43158;128;95;43158;59;39089;51;39089;33
