from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5958354;486;33992;150;120;35567;161;127;35567;58;40340;51;40340
5785641;5958354;448;31376;144;123;35773;159;130;35773;58;40551;51;40551
5785642;5958354;449;31455;144;124;35891;160;131;35891;66;39952;58;38176
5785643;5958354;454;31748;155;129;36184;163;136;36184;65;41835;57;42046
5787544;5958354;479;33503;132;113;35078;140;122;35078;57;39914;50;39914
5787545;5958354;480;33572;132;114;35147;145;123;35147;60;40201;53;40201
5787546;5958354;483;33798;150;117;35372;150;124;35372;63;38978;55;37202
5787547;5958354;447;31262;152;130;36272;161;137;36272;62;39370;54;37593
5787548;5958354;443;31036;144;126;35999;157;133;35999;61;39491;53;37715
5787549;5958354;445;31171;152;130;36292;161;137;36292;63;39734;55;37958
5787550;5958354;457;31962;210;191;34733;200;193;35567;62;41633;54;41845
5789447;5958354;439;30736;91;73;32311;114;82;32311;52;37724;46;37724
5789448;5958354;439;30733;91;73;32331;114;82;32331;53;38089;46;38089
5789449;5958354;440;30793;91;74;32392;114;83;32392;54;38515;47;38515
5789450;5958354;482;33739;143;116;35314;148;123;35314;58;38834;51;38834
5789451;5958354;483;33777;150;117;35352;150;124;35352;60;40161;52;40161
5789452;5958354;439;30698;144;124;32866;150;134;36952;62;38878;54;37101
5789453;5958354;439;30734;144;125;32902;150;134;36988;60;39055;53;37278
5789454;5958354;440;30821;144;126;32989;151;136;37075;61;39318;53;37542
5789455;5958354;443;30998;148;128;33166;154;138;37251;62;39539;55;37763
5789456;5958354;454;31801;204;189;34572;200;191;35406;60;41544;52;41755
5791353;5958354;444;31096;101;78;32670;114;87;32670;50;37315;44;37315
5791354;5958354;441;30864;91;75;32438;114;84;32438;52;37906;45;37906
5791355;5958354;434;30386;87;70;32099;114;79;32099;52;38087;45;38087
5791356;5958354;435;30448;91;75;32447;114;84;32447;55;38712;48;38712
5791357;5958354;436;30536;101;78;32516;114;87;32516;58;38826;51;38826
5791358;5958354;437;30587;144;123;32755;147;132;36840;61;38372;54;36596
5791359;5958354;434;30389;144;120;32557;147;130;36643;60;38695;52;36919
5791360;5958354;435;30443;144;120;32611;147;130;36697;62;39064;54;37287
5791361;5958354;440;30797;144;126;32965;151;135;37050;63;39418;56;37641
5791362;5958354;444;31108;152;130;33276;161;137;33276;65;39726;57;37950
5791363;5958354;454;31796;204;189;34567;200;191;35401;62;41439;54;41651
5793258;5958354;450;31482;106;84;33056;119;93;33056;53;38579;46;38579
5793259;5958354;445;31181;101;80;32756;119;89;32756;54;38419;47;38419
5793260;5958354;446;31216;101;80;32791;119;89;32791;55;38383;48;38383
5793261;5958354;432;30259;91;74;32235;114;83;32235;52;38164;45;38164
5793262;5958354;431;30155;91;74;32233;114;83;32233;55;38589;48;38589
5793263;5958354;431;30202;101;79;31816;119;88;31816;60;39695;53;39695
5793264;5958354;430;30134;138;116;32302;139;126;36387;61;38316;54;36540
5793265;5958354;431;30174;143;117;32342;142;126;36428;60;38649;53;36872
5793266;5958354;431;30183;143;117;32351;142;127;36437;63;38846;56;37070
5793267;5958354;442;30958;148;128;33126;154;138;37211;67;39641;59;37865
5793268;5958354;448;31355;156;134;33523;161;141;33523;67;39867;59;38091
5793269;5958354;459;32097;204;187;34433;198;189;39405;63;38679;55;36903
5793270;5958354;456;31916;204;184;34252;196;187;39225;62;41548;54;41850
5795164;5958354;451;31556;110;85;33131;119;94;33131;54;38703;47;38703
5795165;5958354;452;31638;110;86;33213;124;95;33213;59;40479;52;40479
5795166;5958354;451;31568;110;85;33143;119;94;33143;59;40329;52;40329
5795167;5958354;428;29934;91;75;31534;114;84;31534;54;38714;47;38714
5795168;5958354;428;29934;91;75;31535;114;84;31535;56;39276;48;39276
5795169;5958354;429;30015;93;76;31629;114;85;31629;58;39498;51;39498
5795170;5958354;427;29864;130;112;32032;135;122;36118;59;38055;51;36279
5795171;5958354;425;29783;125;111;31951;135;121;36036;60;38356;53;36580
5795172;5958354;430;30117;138;116;32285;139;126;36371;62;38798;55;37022
5795173;5958354;434;30346;144;119;32514;146;129;36599;64;38889;56;37113
5795174;5958354;431;30155;138;116;32323;139;126;36409;61;38523;54;36747
5795175;5958354;430;30093;138;115;32261;139;125;36346;63;38660;55;36884
5795176;5958354;456;31953;204;185;34289;197;187;39261;58;38184;51;36407
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5958354;454;31755;112;88;33330;124;97;33330;55;38982;48;38982
5797071;5958354;455;31872;112;89;33447;124;98;33447;58;40382;50;40382
5797072;5958354;429;30025;93;76;31625;114;85;31625;57;40098;50;40098
5797073;5958354;425;29740;91;72;31340;114;81;31340;57;40183;49;40183
5797074;5958354;423;29622;87;70;31236;114;79;31236;54;39047;47;39047
5797075;5958354;426;29831;91;73;31445;114;82;31445;56;39380;49;39380
5797076;5958354;422;29547;123;108;31715;133;117;31715;59;38002;52;36226
5797077;5958354;424;29674;125;109;31842;135;119;35927;63;38434;55;36658
5797078;5958354;429;30007;130;114;32175;137;124;36261;65;38972;57;37195
5797079;5958354;427;29914;130;113;32082;136;123;36168;62;38808;55;37032
5797080;5958354;428;29959;130;114;32127;137;123;36213;59;38019;51;36243
5797081;5958354;428;29945;130;113;32113;136;123;36199;62;38639;55;36863
5797082;5958354;425;29739;144;129;31552;154;136;35692;58;38171;51;36394
5798974;5958354;416;29142;109;84;33355;97;71;30062;46;35125;40;35125
5798975;5958354;459;32115;112;93;33690;124;102;33690;55;39329;48;39329
5798976;5958354;459;32110;112;93;33684;124;102;33684;57;39216;50;39216
5798977;5958354;459;32116;112;93;33691;124;102;33691;58;40422;51;40422
5798978;5958354;422;29555;91;73;31164;114;82;31164;57;39893;49;39893
5798979;5958354;420;29378;87;71;30987;114;80;30987;57;40251;50;40251
5798980;5958354;420;29379;87;71;30987;114;80;30987;56;39411;48;39411
