from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5961894;446;31208;142;122;36827;49;31484
5785641;5961894;408;28590;148;125;37033;49;31801
5785642;5961894;410;28670;148;127;37150;52;31985
5785643;5961894;414;28964;158;134;38429;53;36150
5787544;5961894;439;30718;136;115;36337;57;32201
5787545;5961894;440;30787;136;116;36407;57;32192
5787546;5961894;-1;-1;-1;-1;-1;50;31011
5787547;5961894;407;28477;156;135;38518;48;31402
5787548;5961894;404;28252;147;128;37259;47;31524
5787549;5961894;406;28386;156;136;38537;49;31767
5787550;5961894;442;30968;202;193;37811;50;35949
5789447;5961894;399;27951;90;76;33570;52;31810
5789448;5961894;399;27949;95;76;33591;52;31543
5789449;5961894;-1;-1;-1;-1;-1;52;31786
5789450;5961894;-1;-1;-1;-1;-1;55;32104
5789451;5961894;-1;-1;-1;-1;-1;51;31019
5789452;5961894;399;27913;146;125;34039;48;30911
5789453;5961894;399;27949;146;126;34075;47;31087
5789454;5961894;401;28036;147;127;34163;47;31351
5789455;5961894;403;28213;147;130;34339;49;31572
5789456;5961894;440;30808;200;191;37651;48;35859
5791353;5961894;404;28311;100;81;33931;52;32100
5791354;5961894;401;28079;95;78;33699;51;31797
5791355;5961894;394;27602;90;73;33359;50;31357
5791356;5961894;395;27664;95;78;33708;52;31510
5791357;5961894;-1;-1;-1;-1;-1;56;32096
5791358;5961894;-1;-1;-1;-1;-1;49;30405
5791359;5961894;394;27604;142;121;33731;47;30728
5791360;5961894;395;27659;142;122;33785;48;31096
5791361;5961894;400;28013;147;127;34139;50;31451
5791362;5961894;405;28323;156;137;35522;51;31759
5791363;5961894;440;30803;200;190;37646;50;35755
5793258;5961894;410;28697;108;86;34316;52;32445
5793259;5961894;406;28397;104;82;34016;53;32310
5793260;5961894;406;28430;104;83;34050;53;31723
5793261;5961894;392;27475;95;76;33495;50;31233
5793262;5961894;391;27370;95;76;33493;52;31332
5793263;5961894;-1;-1;-1;-1;-1;55;31237
5793264;5961894;-1;-1;-1;-1;-1;48;30349
5793265;5961894;391;27390;136;118;33516;47;30682
5793266;5961894;391;27398;136;118;33525;50;30879
5793267;5961894;-1;-1;-1;-1;-1;53;31674
5793268;5961894;-1;-1;-1;-1;-1;53;31900
5793269;5961894;-1;-1;-1;-1;-1;50;30712
5793270;5961894;436;30488;195;186;37332;50;35966
5795164;5961894;411;28772;108;87;34391;53;32594
5795165;5961894;412;28854;108;89;34473;51;31261
5795166;5961894;-1;-1;-1;-1;-1;52;31110
5795167;5961894;388;27149;95;77;32793;49;30731
5795168;5961894;388;27150;95;77;32794;50;30819
5795169;5961894;389;27231;100;79;32889;53;31041
5795170;5961894;387;27079;136;116;33291;46;30088
5795171;5961894;386;26998;135;115;33211;47;30389
5795172;5961894;390;27333;136;117;33459;49;30831
5795173;5961894;-1;-1;-1;-1;-1;51;30922
5795174;5961894;391;27371;136;118;33498;49;30556
5795175;5961894;390;27308;136;117;33434;50;30693
5795176;5961894;436;30524;198;187;37367;47;30217
5797069;5961894;396;27730;107;95;31522;33;28886
5797070;5961894;414;28970;117;90;34589;54;32872
5797071;5961894;416;29086;121;92;34706;50;31163
5797072;5961894;-1;-1;-1;-1;-1;50;30879
5797073;5961894;385;26955;90;74;32600;49;30964
5797074;5961894;383;26838;90;73;32496;49;30590
5797075;5961894;386;27047;90;76;32705;51;30923
5797076;5961894;382;26763;134;111;32975;47;30035
5797077;5961894;384;26889;135;113;33101;50;30467
5797078;5961894;-1;-1;-1;-1;-1;52;31005
5797079;5961894;-1;-1;-1;-1;-1;49;30841
5797080;5961894;388;27174;136;117;33387;46;30052
5797081;5961894;388;27160;136;117;33372;50;30672
5797082;5961894;385;26955;152;136;33798;46;30204
5798974;5961894;377;26357;91;75;30149;-1;-1
5798975;5961894;419;29331;121;95;34950;54;33220
5798976;5961894;419;29325;121;95;34945;57;33107
5798977;5961894;-1;-1;-1;-1;-1;51;31203
5798978;5961894;-1;-1;-1;-1;-1;49;30674
5798979;5961894;380;26594;90;73;32247;49;31032
5798980;5961894;380;26594;90;73;32247;49;30408
5798981;5961894;384;26866;95;77;32519;51;30796
5798982;5961894;380;26594;130;109;32807;46;29896
5798983;5961894;378;26469;126;107;32681;48;29836
5798984;5961894;378;26461;126;107;32674;50;29827
5798985;5961894;383;26827;134;112;33040;47;29719
5798986;5961894;381;26689;130;110;32901;47;29985
5798987;5961894;385;26944;135;114;33157;49;30445
5798988;5961894;379;26538;144;127;32396;46;29679
5800879;5961894;369;25861;84;66;26459;35;28520
5800880;5961894;373;26140;90;72;29932;-1;-1
5800881;5961894;422;29535;126;98;35154;34;28655
5800882;5961894;381;26683;121;95;33194;50;30425
