from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5980222;489;34216;165;146;46658;55;38082
5785641;5980222;469;32805;170;149;46864;55;38399
5785642;5980222;470;32885;170;150;46981;58;38583
5785643;5980222;474;33178;179;155;47275;63;41140
5787544;5980222;482;33727;159;142;41667;62;38800
5787545;5980222;483;33796;159;143;41736;62;38790
5787546;5980222;-1;-1;-1;-1;-1;55;37610
5787547;5980222;467;32692;176;156;47363;54;38001
5787548;5980222;464;32467;169;152;47090;53;38122
5787549;5980222;466;32601;176;156;47383;55;38365
5787550;5980222;503;35182;221;207;45413;60;40939
5789447;5980222;449;31452;114;96;38403;58;38408
5789448;5980222;453;31732;119;96;38425;58;38141
5789449;5980222;-1;-1;-1;-1;-1;57;38384
5789450;5980222;-1;-1;-1;-1;-1;61;38702
5789451;5980222;-1;-1;-1;-1;-1;56;37617
5789452;5980222;459;32128;167;151;43957;54;37509
5789453;5980222;459;32163;167;152;43993;52;37686
5789454;5980222;461;32251;169;154;39492;53;37950
5789455;5980222;463;32427;169;156;44257;54;38170
5789456;5980222;500;35022;220;204;45253;58;40849
5791353;5980222;457;31998;123;101;38764;57;38698
5791354;5980222;454;31766;119;98;38532;57;38395
5791355;5980222;454;31795;114;93;38192;56;37955
5791356;5980222;455;31878;119;98;38541;58;38108
5791357;5980222;-1;-1;-1;-1;-1;61;38694
5791358;5980222;-1;-1;-1;-1;-1;54;37003
5791359;5980222;455;31819;164;147;43648;52;37327
5791360;5980222;455;31874;164;148;43703;54;37695
5791361;5980222;460;32227;169;153;44057;55;38049
5791362;5980222;465;32538;176;157;44367;57;38357
5791363;5980222;500;35017;220;204;45248;60;40745
5793258;5980222;463;32384;132;107;39149;58;39044
5793259;5980222;458;32084;128;102;38849;59;38908
5793260;5980222;459;32118;128;103;38883;58;38321
5793261;5980222;453;31690;119;97;38328;55;37831
5793262;5980222;451;31584;119;97;38326;57;37930
5793263;5980222;-1;-1;-1;-1;-1;60;37836
5793264;5980222;-1;-1;-1;-1;-1;54;36947
5793265;5980222;451;31604;159;145;38845;53;37280
5793266;5980222;452;31613;159;145;38854;56;37477
5793267;5980222;-1;-1;-1;-1;-1;59;38272
5793268;5980222;-1;-1;-1;-1;-1;59;38498
5793269;5980222;-1;-1;-1;-1;-1;56;37311
5793270;5980222;496;34702;216;200;44933;59;40199
5795164;5980222;464;32459;132;108;39224;59;39192
5795165;5980222;465;32541;132;109;39306;57;37859
5795166;5980222;-1;-1;-1;-1;-1;57;37708
5795167;5980222;448;31363;119;98;37626;55;37329
5795168;5980222;448;31364;119;98;37627;56;37417
5795169;5980222;449;31445;123;99;37722;58;37639
5795170;5980222;447;31293;159;142;38621;52;36686
5795171;5980222;446;31213;157;141;38540;53;36987
5795172;5980222;451;31548;159;144;38789;55;37430
5795173;5980222;-1;-1;-1;-1;-1;56;37520
5795174;5980222;451;31586;159;144;38827;54;37154
5795175;5980222;450;31522;159;143;38764;56;37291
5795176;5980222;496;34738;218;200;44969;52;36815
5797069;5980222;436;30488;121;106;39184;39;34957
5797070;5980222;467;32657;141;111;39422;60;39471
5797071;5980222;468;32773;146;119;40035;56;37761
5797072;5980222;-1;-1;-1;-1;-1;55;37478
5797073;5980222;445;31170;114;95;37433;55;37562
5797074;5980222;444;31053;114;93;37329;55;37188
5797075;5980222;447;31261;114;96;37538;57;37521
5797076;5980222;443;30977;156;138;38304;52;36633
5797077;5980222;444;31103;157;140;38430;56;37066
5797078;5980222;-1;-1;-1;-1;-1;57;37603
5797079;5980222;-1;-1;-1;-1;-1;55;37439
5797080;5980222;448;31389;159;144;38716;52;36650
5797081;5980222;448;31374;159;144;38702;55;37270
