from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5975374;455;31876;131;111;33466;46;29133
5785641;5975374;418;29259;137;114;33672;46;29451
5785642;5975374;419;29339;137;116;33789;49;29635
5785643;5975374;423;29632;147;122;35042;54;32191
5787544;5975374;448;31387;125;104;32977;54;29851
5787545;5975374;449;31456;125;105;33046;53;29841
5787546;5975374;-1;-1;-1;-1;-1;46;28661
5787547;5975374;416;29146;147;124;35131;45;29052
5787548;5975374;413;28921;137;117;33898;44;29173
5787549;5975374;415;29055;147;124;35150;46;29416
5787550;5975374;452;31636;191;181;34424;51;31990
5789447;5975374;409;28619;79;65;30209;49;29460
5789448;5975374;409;28617;84;65;30231;49;29192
5789449;5975374;-1;-1;-1;-1;-1;49;29435
5789450;5975374;-1;-1;-1;-1;-1;52;29754
5789451;5975374;-1;-1;-1;-1;-1;48;28668
5789452;5975374;408;28582;137;114;30679;45;28560
5789453;5975374;409;28618;137;115;30715;44;28737
5789454;5975374;410;28705;137;116;30802;44;29001
5789455;5975374;413;28881;137;119;30979;45;29222
5789456;5975374;450;31476;189;179;34265;50;31900
5791353;5975374;414;28980;89;70;30570;48;29749
5791354;5975374;411;28748;84;67;30338;48;29446
5791355;5975374;404;28271;79;62;29999;47;29006
5791356;5975374;405;28332;84;67;30347;49;29159
5791357;5975374;-1;-1;-1;-1;-1;53;29746
5791358;5975374;-1;-1;-1;-1;-1;45;28055
5791359;5975374;404;28273;132;110;30370;43;28378
5791360;5975374;405;28328;132;111;30425;45;28746
5791361;5975374;410;28681;137;116;30778;47;29100
5791362;5975374;414;28992;147;125;32135;48;29408
5791363;5975374;450;31471;189;179;34260;51;31796
5793258;5975374;420;29365;97;75;30955;49;30095
5793259;5975374;415;29066;93;71;30656;50;29959
5793260;5975374;416;29099;93;72;30689;50;29372
5793261;5975374;402;28144;84;65;30135;46;28882
5793262;5975374;401;28039;84;65;30133;48;28981
5793263;5975374;-1;-1;-1;-1;-1;51;28887
5793264;5975374;-1;-1;-1;-1;-1;45;27999
5793265;5975374;401;28058;125;107;30155;44;28331
5793266;5975374;401;28067;125;107;30164;47;28528
5793267;5975374;-1;-1;-1;-1;-1;50;29323
5793268;5975374;-1;-1;-1;-1;-1;50;29550
5793269;5975374;-1;-1;-1;-1;-1;47;28362
5793270;5975374;445;31157;185;174;33945;50;31251
5795164;5975374;421;29441;97;76;31031;50;30243
5795165;5975374;422;29522;97;78;31112;48;28910
5795166;5975374;-1;-1;-1;-1;-1;49;28759
5795167;5975374;397;27817;84;66;29433;46;28380
5795168;5975374;397;27818;84;66;29434;47;28468
5795169;5975374;399;27899;89;68;29528;49;28691
