from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5978639;464;32464;137;87;32625;134;118;33189;157;126;33189;63;32539;56;32577;33
5785641;5978639;426;29847;136;86;30021;142;121;33395;163;124;33395;65;32750;58;32788;33
5785642;5978639;428;29927;136;86;30021;145;123;33513;163;126;33513;65;32152;58;30413;33
5785643;5978639;432;30220;144;91;32081;156;127;33806;163;130;33806;65;34708;58;32969;33
5787544;5978639;457;31974;134;85;32086;133;111;32700;145;119;32700;62;32113;55;32151;32
5787545;5978639;458;32043;134;85;32086;133;112;32769;145;120;32769;62;32400;55;32437;32
5787546;5978639;461;32269;134;85;32086;134;116;32994;157;124;32994;65;31178;58;29439;33
5787547;5978639;425;29733;136;86;30021;150;128;33894;162;131;33894;65;31569;58;29830;33
5787548;5978639;422;29508;136;86;30021;147;125;33621;159;128;33621;65;31690;58;29951;33
5787549;5978639;423;29642;136;86;30021;150;129;33914;161;132;33914;65;31933;58;30194;33
5787550;5978639;460;32225;144;91;32081;161;117;44233;170;127;38381;65;34507;58;32768;33
5789447;5978639;417;29207;124;79;29324;95;72;29933;109;80;29933;58;29924;52;29961;30
5789448;5978639;417;29204;124;79;29321;95;72;29953;109;80;29953;58;30289;52;30326;30
5789449;5978639;418;29265;125;79;29457;95;73;30014;109;81;30014;59;30714;53;30752;30
5789450;5978639;460;32211;125;79;29457;134;115;32936;157;123;32936;59;31033;53;31071;30
5789451;5978639;461;32249;134;85;32086;134;115;32974;157;123;32974;62;32360;55;32398;32
5789452;5978639;417;29169;134;85;32086;147;123;30488;152;126;30488;64;31077;57;29338;33
5789453;5978639;417;29206;136;86;30021;147;123;30524;152;126;30524;65;31254;58;29515;33
5789454;5978639;418;29293;136;86;30021;147;125;30611;154;131;34645;64;31518;58;29779;33
5789455;5978639;421;29469;145;91;32114;152;127;30788;159;130;30788;65;31738;58;30000;33
5789456;5978639;458;32064;145;91;32114;153;115;44072;170;125;38220;71;34417;64;32678;39
5791353;5978639;422;29567;123;78;29630;97;77;30292;115;85;30292;57;29514;51;29552;29
5791354;5978639;419;29335;124;78;29166;95;74;30060;115;82;30060;59;30105;53;30143;30
5791355;5978639;412;28858;124;78;29079;89;69;29721;109;77;29721;58;30286;52;30323;30
5791356;5978639;413;28920;124;78;29027;95;74;30069;115;82;30069;59;30911;53;30949;30
5791357;5978639;414;29007;125;79;29457;97;77;30138;115;85;30138;59;31025;53;31062;30
5791358;5978639;415;29058;125;79;29457;143;121;30377;149;124;30377;59;30571;53;28833;30
5791359;5978639;412;28861;125;79;29457;137;118;30179;141;125;34213;64;30895;57;29156;33
5791360;5978639;413;28915;136;86;30021;140;119;30233;144;122;30233;64;31263;57;29524;33
5791361;5978639;418;29268;145;91;32114;147;124;30587;152;127;30587;64;31617;57;29878;33
5791362;5978639;423;29579;145;91;32114;152;129;30898;161;132;30898;65;31925;58;30186;33
5791363;5978639;458;32059;145;91;32114;153;115;44067;170;125;38216;71;34313;64;32574;39
5793258;5978639;428;29953;127;80;30124;106;83;30678;121;91;30678;59;30778;53;30816;31
5793259;5978639;424;29653;126;80;30068;101;78;30378;115;86;30378;59;30618;53;30656;30
5793260;5978639;424;29687;125;79;29654;101;79;30413;115;87;30413;59;30582;53;30620;30
5793261;5978639;410;28731;123;78;28814;95;73;29857;109;81;29857;59;30363;53;30401;30
5793262;5978639;409;28626;123;78;28856;95;73;29855;109;81;29855;59;30788;53;30825;30
