from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5961890;440;30815;147;116;34930;155;122;31540;51;32813;45;32741
5785641;5961890;403;28199;141;119;35136;153;125;31746;51;33024;45;32952
5785642;5961890;404;28278;141;121;35254;154;126;31864;58;32425;52;30577
5785643;5961890;408;28571;152;125;35547;158;131;32156;59;35571;52;35298
5787544;5961890;433;30326;129;109;34441;133;111;34970;50;32387;44;32315
5787545;5961890;434;30395;129;110;34510;138;112;35039;53;32673;47;32602
5787546;5961890;437;30621;147;113;34736;144;115;35265;55;31451;49;29603
5787547;5961890;401;28085;149;126;35635;155;132;32245;54;31842;48;29994
5787548;5961890;398;27860;141;122;35363;151;128;31972;53;31964;47;30116
5787549;5961890;400;27994;149;126;35655;155;132;32264;55;32207;49;30359
5787550;5961890;437;30576;207;188;34097;194;181;35485;56;35370;49;35096
5789447;5961890;394;27559;87;70;31674;104;71;32203;45;30197;39;30125
5789448;5961890;394;27556;87;70;31694;104;72;32224;46;30562;40;30490
5789449;5961890;395;27616;87;71;31755;104;72;32284;47;30988;41;30916
5789450;5961890;437;30562;140;112;34677;141;114;35206;50;31307;44;31235
5789451;5961890;437;30600;147;113;34716;144;115;35245;52;32634;46;32562
5789452;5961890;393;27521;141;120;32229;145;129;36315;54;31350;48;29502
5789453;5961890;394;27557;141;121;32266;145;130;36351;53;31527;47;29679
5789454;5961890;395;27644;141;122;32353;146;131;36438;53;31791;47;29943
5789455;5961890;397;27820;145;125;32529;149;134;36614;55;32012;48;30164
5789456;5961890;435;30415;201;186;33936;194;178;35324;55;35280;47;35007
5791353;5961890;399;27919;97;75;32034;104;76;32563;43;29788;37;29716
5791354;5961890;396;27686;87;71;31802;104;73;32331;44;30379;38;30307
5791355;5961890;389;27209;83;67;31463;104;68;31992;45;30559;39;30488
5791356;5961890;390;27271;87;72;31811;104;73;32340;48;31185;42;31113
5791357;5961890;391;27359;97;74;31879;104;76;32408;51;31299;45;31227
5791358;5961890;392;27410;141;119;32118;142;128;36204;54;30845;48;28997
5791359;5961890;389;27212;141;116;31920;142;125;36006;52;31168;46;29320
5791360;5961890;390;27266;141;117;31975;142;126;36060;54;31536;48;29688
5791361;5961890;395;27620;141;122;32328;146;131;36414;56;31891;50;30042
5791362;5961890;399;27931;149;126;32639;155;132;29249;57;32199;51;30351
5791363;5961890;434;30410;201;186;33931;194;178;35319;56;35176;49;34902
5793258;5961890;404;28304;103;80;32420;110;82;32949;45;31052;40;30980
5793259;5961890;400;28004;97;76;32120;110;78;32649;47;30892;41;30820
5793260;5961890;401;28039;97;76;32154;110;78;32683;47;30856;41;30784
5793261;5961890;387;27082;87;70;31599;104;72;32128;45;30637;39;30565
5793262;5961890;385;26978;87;70;31597;104;72;32126;48;31062;42;30990
5793263;5961890;386;27026;97;75;31180;110;77;31709;53;32167;46;32096
5793264;5961890;385;26957;135;112;31665;133;114;32194;54;30789;47;28941
5793265;5961890;386;26997;140;113;31706;136;115;32235;53;31122;47;29273
5793266;5961890;386;27006;140;113;31715;136;115;32244;55;31319;49;29471
5793267;5961890;397;27781;145;124;32489;149;133;36575;59;32114;53;30266
5793268;5961890;403;28178;153;130;32887;155;136;29496;59;32340;53;30492
5793269;5961890;433;30276;201;184;33796;191;176;35185;55;31152;49;29304
5793270;5961890;430;30095;201;181;33616;188;174;35004;56;35284;49;35101
5795164;5961890;405;28380;107;81;32495;110;83;33024;46;31176;41;31104
5795165;5961890;407;28461;107;82;32576;116;84;33105;52;32952;45;32880
5795166;5961890;406;28391;107;81;32506;110;83;33035;52;32802;46;32730
5795167;5961890;382;26757;87;71;30897;104;73;31426;46;31187;40;31115
5795168;5961890;382;26758;87;71;30898;104;73;31427;48;31749;42;31677
5795169;5961890;383;26838;89;72;30992;104;74;31522;51;31971;45;31899
5795170;5961890;381;26687;127;109;31395;128;110;31924;51;30528;45;28680
5795171;5961890;380;26606;122;107;31314;128;109;31843;52;30829;46;28981
5795172;5961890;385;26940;135;112;31649;133;114;32178;55;31271;49;29423
5795173;5961890;388;27169;141;115;31877;140;117;32406;56;31362;50;29514
5795174;5961890;385;26978;135;113;31687;133;115;32216;54;30996;47;29148
5795175;5961890;385;26916;135;112;31624;133;114;32153;55;31133;49;29285
5795176;5961890;430;30132;201;182;33652;189;174;35041;51;30657;45;28808
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5961890;408;28578;109;84;32693;116;86;33222;47;31454;42;31383
5797071;5961890;410;28695;109;86;32810;116;88;33339;50;32854;44;32783
5797072;5961890;384;26848;89;72;30989;104;74;31518;50;32571;44;32499
5797073;5961890;379;26563;87;68;30704;104;70;31233;49;32656;43;32584
5797074;5961890;378;26445;83;67;30599;104;69;31128;47;31520;41;31448
5797075;5961890;381;26654;87;70;30808;104;72;31337;49;31853;43;31781
5797076;5961890;377;26370;120;104;31078;124;106;31608;52;30475;46;28627
5797077;5961890;379;26497;122;106;31205;127;108;31734;55;30907;49;29059
5797078;5961890;383;26830;127;111;31539;130;112;32068;57;31444;51;29596
5797079;5961890;382;26738;127;109;31446;129;111;31975;55;31281;49;29433
5797080;5961890;383;26782;127;110;31491;130;112;32020;51;30492;45;28644
5797081;5961890;382;26768;127;110;31477;129;112;32006;55;31112;49;29264
5797082;5961890;379;26562;141;125;30916;146;123;31471;51;30643;45;28795
5798974;5961890;371;25965;105;77;29182;92;66;26100;39;27598;34;27526
5798975;5961890;413;28938;109;89;33053;116;91;33582;48;31801;42;31730
5798976;5961890;413;28932;109;89;33048;116;91;33577;50;31689;44;31617
5798977;5961890;413;28940;109;89;33055;116;91;33584;51;32894;45;32823
5798978;5961890;377;26378;87;69;30527;104;71;31056;49;32366;43;32294
5798979;5961890;374;26201;83;67;30350;104;69;30879;50;32724;43;32652
5798980;5961890;374;26202;83;67;30351;104;69;30880;48;31884;42;31812
5798981;5961890;378;26473;87;71;30622;104;73;31151;50;32271;44;32200
5798982;5961890;374;26202;119;102;30911;122;103;31440;51;30335;45;28487
5798983;5961890;373;26077;119;100;30785;122;102;31314;53;30275;47;28427
5798984;5961890;372;26070;114;100;30778;122;102;31307;55;30267;49;28419
5798985;5961890;378;26434;121;105;31143;125;107;31672;52;30159;46;28311
5798986;5961890;376;26296;119;103;31005;124;105;31534;52;30425;46;28577
5798987;5961890;379;26552;122;107;31261;127;108;31790;54;30884;48;29036
5798988;5961890;374;26146;132;119;30500;136;117;31055;50;30119;44;28271
5800879;5961890;364;25469;88;65;25980;77;59;25604;38;27319;33;27247
5800880;5961890;368;25748;94;69;26259;85;63;25883;39;27594;34;27522
5800881;5961890;416;29143;109;92;33258;121;94;33787;36;27222;32;27150
5800882;5961890;376;26290;109;88;31297;116;90;31826;54;34396;48;34325
5800883;5961890;376;26326;109;89;31332;116;91;31862;54;34174;47;34102
5800884;5961890;375;26247;87;68;30420;104;70;30949;49;32182;43;32110
5800885;5961890;371;25983;81;65;30193;104;66;30722;48;31885;42;31813
5800886;5961890;369;25835;83;67;30336;104;69;30865;51;32176;44;32104
5800887;5961890;371;25956;87;71;30610;104;72;31139;51;32260;45;32188
5800888;5961890;363;25413;108;90;30122;112;92;30651;51;29451;44;27603
5800889;5961890;369;25817;114;96;30526;117;98;31054;51;30040;45;28192
5800890;5961890;370;25893;114;97;30601;118;99;31130;53;29953;47;28105
5800891;5961890;373;26104;119;100;30812;122;102;31342;50;29830;44;27982
5800892;5961890;372;26041;114;99;30749;122;101;31278;52;30304;46;28456
5800893;5961890;374;26202;119;102;30910;122;103;31440;54;30845;48;28997
5800894;5961890;372;26055;129;118;30409;136;116;30964;50;30125;44;28277
5800895;5961890;369;25816;126;115;30170;132;113;30725;50;30025;44;28177
5802783;5961890;362;25371;83;63;25882;77;57;25506;39;27316;34;27244
5802784;5961890;361;25251;83;62;25763;75;56;25387;40;27287;35;27215
5802785;5961890;365;25530;88;66;26041;77;60;25665;34;26792;30;26721
5802786;5961890;378;26427;109;90;31434;120;92;31963;36;26974;32;26903
5802787;5961890;374;26190;109;87;31197;116;89;31726;52;34208;46;34136
5802788;5961890;371;25992;109;84;30999;116;86;31528;52;33961;46;33889
5802789;5961890;371;25992;109;84;30999;116;86;31528;50;32423;44;32351
5802790;5961890;372;26061;87;68;30442;104;70;30971;49;31946;43;31874
5802791;5961890;365;25563;83;67;29800;104;69;30329;49;32219;43;32147
5802792;5961890;369;25799;87;70;30036;104;72;30565;50;32521;43;32450
5802793;5961890;360;25185;107;87;29894;110;89;30423;50;29393;44;27544
5802794;5961890;365;25521;109;92;30229;116;94;30758;50;29678;44;27830
5802795;5961890;365;25521;109;92;30230;116;94;30759;50;29679;44;27830
5802796;5961890;366;25635;113;94;30343;117;95;30872;51;29875;45;28027
5802797;5961890;371;25996;114;99;30704;119;100;31234;52;30195;46;28347
5802798;5961890;374;26170;119;101;30879;122;103;31408;53;29938;47;28090
5802799;5961890;364;25499;122;110;29852;124;111;30408;48;29439;43;27591
5802800;5961890;363;25420;121;109;29773;123;110;30328;49;29607;43;27758
5802801;5961890;368;25788;126;114;30142;129;112;30697;50;29966;45;28117
5804689;5961890;360;25205;81;61;25716;72;55;25340;38;27007;33;26935
5804690;5961890;358;25034;77;59;25545;69;52;25169;39;26999;35;26927
5804691;5961890;360;25235;88;66;26070;77;60;25694;39;26982;34;26911
5804692;5961890;363;25427;94;69;26262;85;63;25886;42;27422;37;27350
5804693;5961890;374;26191;109;87;31198;116;89;31727;54;34271;47;34200
5804694;5961890;368;25752;103;81;30758;110;83;31288;52;33877;46;33805
5804695;5961890;367;25678;101;80;30684;110;81;31213;49;32510;43;32438
5804696;5961890;363;25402;83;65;29665;104;67;30194;50;32959;44;32887
5804697;5961890;362;25333;77;64;29570;104;66;30099;50;32555;43;32483
5804698;5961890;369;25861;87;71;30098;104;73;30627;50;32623;43;32551
5804699;5961890;357;24963;107;84;29672;107;86;30201;49;29109;43;27261
5804700;5961890;356;24921;107;83;29630;107;85;30159;49;29049;43;27201
5804701;5961890;360;25171;107;87;29880;110;89;30409;51;29438;45;27590
5804702;5961890;361;25235;107;88;29944;110;90;30473;50;29257;44;27408
5804703;5961890;363;25385;108;90;30093;112;92;30622;49;29431;43;27583
5804704;5961890;365;25533;109;92;30241;116;94;30770;52;29830;46;27982
5804705;5961890;361;25254;117;107;29608;121;108;30164;48;29253;42;27405
5804706;5961890;360;25215;117;106;29569;121;107;30124;51;29542;46;27694
5804707;5961890;364;25489;122;110;29843;124;111;30398;53;30055;47;28207
5806593;5961890;360;25220;75;61;25731;72;55;25355;39;27104;34;27032
5806594;5961890;355;24850;75;56;25361;66;50;24985;38;26757;33;26685
5806595;5961890;355;24816;77;55;25328;66;49;24952;38;26639;33;26567
5806596;5961890;357;25001;83;63;25836;77;57;25460;35;26365;31;26294
5806597;5961890;363;25376;91;68;26211;85;62;25835;39;27275;34;27203
5806598;5961890;367;25686;102;78;29227;92;66;26146;40;27507;35;27435
5806599;5961890;366;25588;97;78;30595;110;80;31124;51;33628;45;33556
5806600;5961890;362;25360;97;75;30367;109;77;30896;52;33485;46;33413
5806601;5961890;359;25162;83;67;29778;104;69;30307;50;32880;44;32808
5806602;5961890;363;25444;83;66;29707;104;68;30236;50;32693;44;32621
5806603;5961890;366;25592;87;68;29855;104;70;30384;51;29054;45;27206
5806604;5961890;357;24959;107;84;29667;107;86;30196;49;28991;43;27143
5806605;5961890;352;24646;100;79;29354;106;81;29883;50;28854;44;27006
5806606;5961890;355;24833;106;82;29541;107;84;30070;49;28915;43;27067
5806607;5961890;357;25016;107;85;29724;110;86;30253;51;29277;45;27429
5806608;5961890;362;25336;108;89;30044;110;91;30574;52;29622;46;27774
5806609;5961890;367;25656;113;94;30365;117;96;30894;52;29802;46;27954
5806610;5961890;356;24899;115;102;29253;121;102;29808;48;28989;43;27141
5806611;5961890;358;25059;115;104;29413;121;105;29968;51;29395;45;27546
5806612;5961890;362;25306;117;107;29659;123;108;30214;53;29545;47;27697
5806613;5961890;385;26922;146;130;31276;150;128;31831;53;30843;47;28995
5808496;5961890;361;25276;78;66;26077;73;60;25701;39;27034;34;26962
5808497;5961890;365;25546;82;66;26058;77;60;25682;40;27482;35;27411
5808498;5961890;363;25442;84;64;25954;77;58;25578;39;27272;34;27201
5808499;5961890;351;24602;76;57;25437;69;51;25061;37;26497;33;26425
5808500;5961890;356;24892;83;61;25728;72;55;25352;34;26070;30;25999
5808501;5961890;368;25727;105;78;29268;92;67;26186;39;27584;34;27513
5808502;5961890;368;25739;105;78;29280;92;67;26198;42;27782;37;27711
5808503;5961890;367;25686;103;80;30693;110;82;31222;54;33757;47;33685
5808504;5961890;362;25374;97;75;30381;109;77;30910;51;33376;45;33305
5808505;5961890;357;24994;87;70;30001;104;72;30530;50;33055;44;32984
5808506;5961890;356;24909;87;70;29989;104;72;30518;50;29024;44;27176
5808507;5961890;353;24691;96;77;29207;106;79;29736;49;28828;43;26980
5808508;5961890;350;24506;96;75;29022;103;76;29551;48;28529;42;26681
5808509;5961890;349;24449;96;77;29157;103;78;31692;48;28604;42;26756
5808510;5961890;354;24750;106;81;29459;106;83;29988;51;29093;45;27245
5808511;5961890;352;24629;100;79;29338;106;81;29867;54;29495;48;27647
