from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5958354;486;33992;143;91;32845;143;127;39179;165;134;39179;66;40340;57;40340;35
5785641;5958354;448;31376;140;88;30241;151;130;39385;171;132;39385;66;40551;57;40551;35
5785642;5958354;449;31455;140;88;30241;155;131;39503;171;133;39503;66;39952;57;38176;35
5785643;5958354;454;31748;137;86;31549;166;136;39796;171;138;39796;66;41835;57;42046;35
5787544;5958354;479;33503;140;89;32306;142;120;38690;153;127;38690;65;39914;56;39914;34
5787545;5958354;480;33572;140;89;32306;142;121;38759;153;128;38759;65;40201;56;40201;34
5787546;5958354;483;33798;140;89;32306;143;124;38984;165;131;38984;65;38978;56;37202;34
5787547;5958354;447;31262;140;88;30241;160;137;39884;169;139;39884;65;39370;56;37593;34
5787548;5958354;443;31036;140;88;30241;156;133;39611;166;135;39611;66;39491;57;37715;34
5787549;5958354;445;31171;140;88;30241;160;137;39904;167;139;39904;66;39734;57;37958;35
5787550;5958354;457;31962;137;86;31549;166;126;50268;168;125;45793;66;41633;57;41845;35
5789447;5958354;439;30736;129;81;29543;102;80;35923;119;87;35923;61;37724;52;37724;31
5789448;5958354;439;30733;129;81;29540;102;81;35943;119;88;35943;61;38089;52;38089;31
5789449;5958354;440;30793;129;81;29676;102;82;36004;119;89;36004;62;38515;53;38515;32
5789450;5958354;482;33739;129;81;29676;143;123;38926;165;130;38926;62;38834;53;38834;32
5789451;5958354;483;33777;140;89;32306;143;124;38964;165;131;38964;65;40161;56;40161;34
5789452;5958354;439;30698;140;89;32306;156;131;36478;159;133;36478;65;38878;56;37101;34
5789453;5958354;439;30734;140;88;30241;156;132;36514;159;134;36514;65;39055;56;37278;34
5789454;5958354;440;30821;140;88;30241;156;133;36601;161;140;40635;65;39318;56;37542;34
5789455;5958354;443;30998;137;86;31582;162;136;36778;166;138;36778;66;39539;57;37763;35
5789456;5958354;454;31801;137;86;31582;160;124;50107;168;123;45632;68;41544;60;41755;39
5791353;5958354;444;31096;131;83;30594;104;85;36283;125;92;36283;60;37315;52;37315;31
