from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5961890;440;30816;136;119;35138;48;29789
5785641;5961890;403;28198;142;122;35344;48;30106
5785642;5961890;404;28278;142;124;35461;50;30290
5785643;5961890;408;28572;151;128;35754;53;35372
5787544;5961890;433;30326;129;112;34648;55;30506
5787545;5961890;434;30395;129;113;34717;55;30497
5787546;5961890;-1;-1;-1;-1;-1;48;29316
5787547;5961890;401;28085;149;129;35843;47;29707
5787548;5961890;398;27860;141;125;35570;45;29829
5787549;5961890;400;27994;149;129;35863;47;30072
5787550;5961890;437;30576;199;189;36297;50;35170
5789447;5961890;394;27559;87;71;29158;50;30115
5789448;5961890;394;27557;91;73;31902;50;29848
5789449;5961890;-1;-1;-1;-1;-1;50;30091
5789450;5961890;-1;-1;-1;-1;-1;54;30409
5789451;5961890;-1;-1;-1;-1;-1;49;29324
5789452;5961890;393;27521;139;125;32436;47;29216
5789453;5961890;394;27557;139;125;32472;45;29392
5789454;5961890;395;27644;141;123;29751;45;29656
5789455;5961890;397;27821;141;129;32736;47;29877
5789456;5961890;435;30416;197;187;36137;48;35081
5791353;5961890;399;27919;96;78;32242;50;30404
5791354;5961890;396;27687;91;74;32010;49;30102
5791355;5961890;389;27210;87;68;28948;48;29662
5791356;5961890;390;27272;91;75;32019;50;29815
5791357;5961890;-1;-1;-1;-1;-1;54;30401
5791358;5961890;-1;-1;-1;-1;-1;47;28710
5791359;5961890;389;27212;136;120;32128;45;29033
5791360;5961890;390;27267;136;121;32182;47;29401
5791361;5961890;395;27620;141;126;32536;48;29756
5791362;5961890;399;27931;149;130;32847;50;30064
5791363;5961890;434;30411;197;187;36132;50;34976
5793258;5961890;404;28305;103;83;32627;50;30750
5793259;5961890;400;28005;100;79;32327;52;30615
5793260;5961890;401;28038;100;79;32361;51;30028
5793261;5961890;387;27083;91;73;31806;48;29538
5793262;5961890;385;26978;91;73;31804;50;29637
5793263;5961890;-1;-1;-1;-1;-1;53;29542
5793264;5961890;-1;-1;-1;-1;-1;47;28654
5793265;5961890;386;26997;129;117;31913;45;28987
5793266;5961890;386;27006;129;117;31922;48;29184
5793267;5961890;-1;-1;-1;-1;-1;52;29979
5793268;5961890;-1;-1;-1;-1;-1;52;30205
5793269;5961890;-1;-1;-1;-1;-1;49;29017
5793270;5961890;430;30096;192;183;35817;50;35188
5795164;5961890;405;28380;103;84;32702;52;30899
5795165;5961890;407;28462;103;85;32784;50;29566
5795166;5961890;-1;-1;-1;-1;-1;50;29415
5795167;5961890;382;26757;91;74;31104;48;29036
5795168;5961890;382;26758;91;74;31105;48;29124
5795169;5961890;383;26838;96;75;31200;51;29346
5795170;5961890;381;26687;129;113;31602;45;28393
5795171;5961890;380;26606;128;111;31522;46;28694
5795172;5961890;385;26941;129;116;31856;48;29136
5795173;5961890;-1;-1;-1;-1;-1;49;29227
5795174;5961890;385;26979;129;117;31895;47;28861
5795175;5961890;385;26916;129;116;31831;48;28998
5795176;5961890;430;30132;195;183;35853;45;28522
5797069;5961890;391;27338;105;90;27546;31;27191
5797070;5961890;408;28578;112;87;32900;52;31177
5797071;5961890;410;28694;116;89;33017;48;29468
5797072;5961890;-1;-1;-1;-1;-1;48;29184
5797073;5961890;379;26563;87;70;28188;48;29269
5797074;5961890;378;26446;87;69;28084;47;28895
5797075;5961890;381;26654;87;72;28293;49;29228
5797076;5961890;377;26371;127;108;31286;45;28340
5797077;5961890;379;26497;128;110;31412;49;28772
5797078;5961890;-1;-1;-1;-1;-1;50;29310
5797079;5961890;-1;-1;-1;-1;-1;48;29146
5797080;5961890;383;26782;129;114;31698;44;28357
5797081;5961890;382;26768;129;114;31683;48;28977
5797082;5961890;379;26562;145;129;31123;45;28508
5798974;5961890;371;25965;91;73;29178;-1;-1
5798975;5961890;413;28939;116;92;33261;53;31525
5798976;5961890;413;28933;116;92;33256;55;31412
5798977;5961890;-1;-1;-1;-1;-1;49;29508
5798978;5961890;-1;-1;-1;-1;-1;47;28979
5798979;5961890;374;26202;87;69;27835;48;29337
5798980;5961890;374;26202;87;69;27835;48;28713
5798981;5961890;378;26474;91;74;30830;50;29101
5798982;5961890;374;26202;124;106;31118;44;28200
5798983;5961890;373;26077;120;104;30992;47;28141
5798984;5961890;372;26069;120;104;30985;49;28132
5798985;5961890;378;26435;127;109;31351;45;28024
5798986;5961890;376;26296;124;107;31212;45;28290
5798987;5961890;379;26552;128;111;31468;48;28750
5798988;5961890;374;26146;137;123;30707;44;27984
5800879;5961890;364;25469;85;66;28682;34;26825
5800880;5961890;368;25748;90;70;28961;-1;-1
5800881;5961890;416;29143;120;95;33465;33;26960
5800882;5961890;376;26291;116;92;31505;49;28730
5800883;5961890;376;26326;116;92;31540;48;28507
5800884;5961890;-1;-1;-1;-1;-1;47;28796
5800885;5961890;371;25983;87;67;27677;46;28498
5800886;5961890;369;25835;87;69;27821;48;28456
5800887;5961890;371;25955;91;74;30817;50;29090
5800888;5961890;363;25414;116;94;30329;45;27316
5800889;5961890;369;25817;119;100;30733;45;27905
5800890;5961890;370;25893;119;101;30809;47;27818
5800891;5961890;373;26104;124;104;31020;43;27695
5800892;5961890;372;26040;120;103;30956;45;28132
5800893;5961890;374;26202;124;106;31118;47;28298
5800894;5961890;372;26056;137;122;30617;44;27990
5800895;5961890;369;25815;131;119;30376;44;27891
5802783;5961890;362;25370;85;65;28583;34;26758
5802784;5961890;361;25252;85;63;28464;36;26989
5802785;5961890;365;25530;85;67;28743;-1;-1
5802786;5961890;-1;-1;-1;-1;-1;32;26712
5802787;5961890;374;26190;116;90;31404;46;28541
5802788;5961890;371;25992;112;87;31206;46;28294
5802789;5961890;371;25993;112;87;31207;48;29037
5802790;5961890;372;26062;87;70;27926;47;28559
5802791;5961890;365;25563;87;69;27284;46;28100
5802792;5961890;369;25800;91;74;30244;47;28286
5802793;5961890;360;25185;112;91;30100;44;27258
5802794;5961890;365;25521;116;96;30436;44;27543
5802795;5961890;365;25521;116;96;30437;43;27544
5802796;5961890;366;25635;119;98;30550;44;27740
5802797;5961890;371;25996;120;103;30911;46;28058
5802798;5961890;374;26171;124;105;31087;47;27791
5802799;5961890;364;25499;126;114;30060;43;27304
5802800;5961890;363;25420;126;113;29981;43;27472
5802801;5961890;368;25788;131;118;30349;45;27831
5804689;5961890;360;25205;85;62;28417;34;26745
5804690;5961890;358;25035;84;60;28247;35;26736
5804691;5961890;360;25235;85;67;28771;34;26720
5804692;5961890;363;25427;90;70;28964;38;27159
5804693;5961890;374;26191;116;90;31405;48;28605
5804694;5961890;368;25752;103;84;30965;46;28211
5804695;5961890;367;25678;103;83;30892;48;29123
5804696;5961890;363;25401;87;67;27149;45;27751
5804697;5961890;362;25333;87;66;27055;45;27841
5804698;5961890;369;25861;91;74;30306;47;28387
5804699;5961890;357;24963;107;88;29879;43;26974
5804700;5961890;356;24922;104;87;29838;43;26914
5804701;5961890;360;25172;112;91;30087;45;27303
5804702;5961890;360;25235;112;92;30150;44;27122
5804703;5961890;363;25385;113;94;30301;43;27297
5804704;5961890;365;25533;119;96;30448;46;27717
5804705;5961890;361;25255;122;111;29816;42;27118
5804706;5961890;360;25216;122;110;29777;46;27407
5804707;5961890;-1;-1;-1;-1;-1;47;27920
5806593;5961890;360;25220;84;62;28433;36;27259
5806594;5961890;355;24851;84;57;28063;34;26494
5806595;5961890;355;24817;84;57;28029;33;26377
5806596;5961890;357;25001;85;64;28538;31;26103
5806597;5961890;363;25376;89;69;28913;35;27012
5806598;5961890;367;25686;91;74;29223;36;27245
5806599;5961890;366;25588;100;81;30802;45;27962
5806600;5961890;362;25361;100;78;30575;46;27819
5806601;5961890;359;25161;87;69;27262;45;27673
5806602;5961890;363;25444;87;68;27191;45;27870
5806603;5961890;366;25592;87;70;27339;45;26919
5806604;5961890;357;24959;107;88;29875;43;26857
5806605;5961890;352;24646;101;83;29562;44;26719
5806606;5961890;355;24833;102;86;29749;43;26780
5806607;5961890;357;25016;108;89;29932;45;27142
5806608;5961890;362;25337;112;93;30252;46;27487
5806609;5961890;367;25656;119;98;30572;46;27668
5806610;5961890;356;24900;120;106;29461;43;26854
5806611;5961890;358;25059;122;108;29620;46;27260
5806612;5961890;362;25305;122;107;29732;47;27410
5806613;5961890;385;26922;148;135;31482;47;28709
5808496;5961890;361;25277;84;67;28779;36;27316
5808497;5961890;365;25546;85;67;28759;36;27279
5808498;5961890;363;25443;85;66;28655;35;27010
5808499;5961890;351;24601;84;58;28138;33;26235
5808500;5961890;356;24892;85;62;28429;30;25808
5808501;5961890;368;25727;91;74;29264;35;27322
5808502;5961890;368;25739;91;74;29276;38;27520
5808503;5961890;367;25686;103;83;30900;48;28090
5808504;5961890;362;25375;100;78;30589;46;27730
5808505;5961890;357;24995;91;73;30209;44;27389
5808506;5961890;356;24909;87;72;27474;44;27363
5808507;5961890;353;24691;98;81;29414;43;26693
5808508;5961890;350;24506;97;79;29230;42;26394
5808509;5961890;349;24449;97;81;29364;42;26470
5808510;5961890;354;24751;102;85;29666;45;26959
5808511;5961890;352;24630;101;83;29545;48;27360
5808512;5961890;-1;-1;-1;-1;-1;47;27546
5808513;5961890;352;24673;115;102;29233;42;26344
5808514;5961890;351;24588;112;101;29149;41;26604
5808515;5961890;355;24878;120;105;29439;42;26868
5808516;5961890;359;25116;120;104;29504;46;27328
5808517;5961890;365;25527;119;101;29328;48;27513
5808518;5961890;370;25911;127;107;29713;49;28988
5810399;5961890;357;25013;87;67;28196;-1;-1
5810400;5961890;360;25190;87;69;28374;38;27457
5810401;5961890;368;25735;88;70;28948;38;27416
5810402;5961890;347;24281;84;60;28281;33;25881
5810403;5961890;348;24352;84;60;28295;33;26209
5810404;5961890;357;24998;85;64;28535;33;25815
5810405;5961890;-1;-1;-1;-1;-1;37;27475
5810406;5961890;370;25889;94;77;29426;36;28004
5810407;5961890;-1;-1;-1;-1;-1;46;27839
5810408;5961890;-1;-1;-1;-1;-1;44;27504
5810409;5961890;353;24697;87;69;26445;44;27129
5810410;5961890;350;24508;87;66;26256;44;26951
5810411;5961890;354;24763;102;82;29486;43;26641
5810412;5961890;346;24213;90;73;26214;42;26337
5810413;5961890;344;24056;87;74;26248;42;26124
5810414;5961890;346;24228;93;76;26420;44;26387
5810415;5961890;352;24634;101;83;29550;47;26703
5810416;5961890;347;24317;110;96;26155;43;26132
5810417;5961890;347;24285;110;96;26123;41;26211
5810418;5961890;351;24543;111;101;29104;43;26650
5810419;5961890;358;25078;122;108;29639;45;27333
5810420;5961890;361;25299;119;103;29431;47;27396
5810421;5961890;364;25515;119;101;29316;48;27503
5810422;5961890;368;25756;125;104;29558;47;28823
5810423;5961890;381;26700;144;125;29363;42;27874
5810457;5961890;351;24569;84;69;28274;34;24933
5810458;5961890;347;24284;80;65;28019;35;25487
5810462;5961890;343;24034;72;52;27824;37;26913
5810463;5961890;343;24029;69;49;27601;37;26985
5810464;5961890;344;24070;69;51;27803;38;27242
5812300;5961890;351;24579;86;60;27763;-1;-1
5812301;5961890;354;24810;86;64;27994;-1;-1
5812302;5961890;359;25116;91;68;28300;41;27677
