from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5934906;364;25503;104;66;25783;127;113;31287;151;120;26071;45;28556;40;28556;27
5785641;5934906;327;22887;103;65;23178;135;116;31493;157;118;26277;48;28767;42;28767;27
5785642;5934906;328;22966;103;65;23178;138;117;31611;157;119;26395;48;28168;42;26392;27
5785643;5934906;332;23259;112;71;25238;149;122;31904;157;124;26688;48;30725;42;35676;27
5787544;5934906;357;25014;101;64;25244;125;106;30798;139;113;25582;45;28130;39;28130;26
5787545;5934906;358;25083;101;64;25244;125;107;30867;139;114;25651;45;28417;39;28417;26
5787546;5934906;362;25309;101;64;25244;127;110;31093;151;117;25877;47;27194;41;25418;27
5787547;5934906;325;22773;103;65;23178;143;123;31992;156;125;26776;47;27586;41;25809;27
5787548;5934906;322;22547;103;65;23178;140;119;31720;153;121;26504;47;27707;42;25931;27
5787549;5934906;324;22682;103;65;23178;143;123;32012;155;125;26796;48;27950;42;26174;27
5787550;5934906;361;25264;112;71;25238;170;134;44730;162;119;41862;48;30524;42;35474;27
5789447;5934906;318;22247;92;58;22481;89;66;28031;103;73;22815;41;25940;36;25940;23
5789448;5934906;318;22244;92;58;22478;89;67;28051;103;74;22836;41;26305;36;26305;23
5789449;5934906;319;22304;92;59;22614;89;67;28112;103;75;22896;42;26731;37;26731;24
5789450;5934906;361;25250;92;59;22614;127;109;31034;151;116;25818;42;27050;37;27050;24
5789451;5934906;361;25288;101;64;25244;127;110;31072;151;117;25856;45;28377;39;28377;26
5789452;5934906;317;22209;101;64;25244;140;117;28586;146;119;23370;47;27094;41;25317;26
5789453;5934906;318;22245;103;65;23178;140;118;28623;146;120;23407;47;27271;41;25494;27
5789454;5934906;319;22332;103;65;23178;140;119;28710;148;125;27527;47;27534;41;25758;27
5789455;5934906;322;22508;112;71;25271;145;121;28886;153;124;23670;48;27755;42;25979;27
5789456;5934906;359;25103;112;71;25271;164;131;44569;163;117;41701;54;30434;48;35385;33
5791353;5934906;323;22606;90;57;22787;91;70;23175;109;78;23175;40;25531;35;25531;23
5791354;5934906;320;22374;92;58;22324;89;68;28159;109;75;22943;41;26122;36;26122;24
5791355;5934906;313;21897;91;58;22237;83;63;27820;103;70;22604;41;26303;36;26303;24
5791356;5934906;314;21959;91;58;22185;89;68;28168;109;75;22952;42;26928;37;26928;24
5791357;5934906;315;22047;92;59;22614;91;70;23020;109;78;23020;42;27042;37;27042;24
5791358;5934906;316;22098;92;59;22614;137;116;28475;143;118;23259;42;26588;37;24812;24
5791359;5934906;313;21900;92;59;22614;131;113;28277;135;119;27095;47;26911;41;25135;26
5791360;5934906;314;21954;103;65;23178;134;114;28332;138;116;23116;47;27280;41;25503;26
